llm_name,condition,eval_row_id,article_key,filler_variant_id,filler_pack_id,filler_family,target_position,gold_epu,disagreement_flag,newspaper,year,orig_content_len,eval_content_len,was_truncated,truncation_fraction,target_est_tokens,total_chars,total_est_tokens,pred_epu,result,valid_prediction,parse_ok,parse_fail,parse_error,confidence,focus_excerpt,excerpt_in_target,fp,fn,raw_text,prompt_char_len,prompt_est_tokens
deepseek-ai/deepseek-v3.2,short,Midcentury_7569__fv0__center,Midcentury_7569,0,civic_notice_1,civic_notices,center,1,0,NYT,1993,5832,2989,1,0.48748285322359397,748,3000,750,0,0.0,1,1,0,ok,0.1,"In a three-pronged indication of a weakening economy, fresh reports today showed a plunge in new-home sales and unsettling, albeit moderate, declines in consumer confidence and the Government's chief forecasting index.",0,0,1,"{""epu"": 0, ""confidence"": 0.1, ""focus_excerpt"": ""In a three-pronged indication of a weakening economy, fresh reports today showed a plunge in new-home sales and unsettling, albeit moderate, declines in consumer confidence and the Government's chief forecasting index.""}",4106,1027
deepseek-ai/deepseek-v3.2,short,Current_840__fv0__center,Current_840,0,transit_1,transit_summaries,center,1,1,DMNB,1995,3268,2989,1,0.08537331701346385,748,3000,750,1,1.0,1,1,0,ok,0.75,uncertainty over budget negotiations between President Clinton and Congress could prompt the Fed to take a wait-and-see approach,0,0,0,"```json
{
    ""epu"": 1,
    ""confidence"": 0.75,
    ""focus_excerpt"": ""uncertainty over budget negotiations between President Clinton and Congress could prompt the Fed to take a wait-and-see approach""
}
```",4105,1027
deepseek-ai/deepseek-v3.2,short,Current_1795__fv0__center,Current_1795,0,catalog_1,catalog_metadata,center,0,0,SFC,2008,7887,2989,1,0.6210219348294662,748,3000,750,1,0.0,1,1,0,ok,0.8,"Thanks to a new U.S. policy, Nid Paw hopes to become one of 18,000 Burmese refugees allowed to settle in the United States in 2008. Before the change in law, the Patriot Act had barred refugee status...",0,1,0,"```json
{
  ""epu"": 1,
  ""confidence"": 0.8,
  ""focus_excerpt"": ""Thanks to a new U.S. policy, Nid Paw hopes to become one of 18,000 Burmese refugees allowed to settle in the United States in 2008. Before the change in law, the Patriot Act had barred refugee status...""
}
```",4106,1027
deepseek-ai/deepseek-v3.2,short,Current_292__fv0__center,Current_292,0,encyclopedia_1,encyclopedia_neutral,center,0,1,MIHB,1990,2734,2734,0,0.0,684,3000,750,1,0.0,1,1,0,ok,0.8,"To ease the economic backlash on East Germany, West Germany plans to expand its Deutschmarks to the east, uniting the economies, he said. 'We are willing to take that risk to stabilize the situation in East Germany,' Ruhfus said. But East Germany has to start to overcome its decades of socialist pla",0,1,0,"{
  ""epu"": 1,
  ""confidence"": 0.8,
  ""focus_excerpt"": ""To ease the economic backlash on East Germany, West Germany plans to expand its Deutschmarks to the east, uniting the economies, he said. 'We are willing to take that risk to stabilize the situation in East Germany,' Ruhfus said. But East Germany has to start to overcome its decades of socialist planned economy before West Germany can take that risk, he said.""
}",4104,1026
deepseek-ai/deepseek-v3.2,short,Midcentury_6605__fv0__center,Midcentury_6605,0,encyclopedia_1,encyclopedia_neutral,center,1,0,NYT,1985,9963,2989,1,0.6999899628625916,748,3000,750,1,1.0,1,1,0,ok,0.9,"uncertainties, extraordinary both in their number and potential for disaster... Keeping An Eye on Washington",0,0,0,"{
  ""epu"": 1,
  ""confidence"": 0.9,
  ""focus_excerpt"": ""uncertainties, extraordinary both in their number and potential for disaster... Keeping An Eye on Washington""
}",4106,1027
deepseek-ai/deepseek-v3.2,short,Midcentury_7618__fv0__center,Midcentury_7618,0,archive_1,archive_boilerplate,center,1,0,NYT,2001,7843,2989,1,0.6188958306770369,748,3000,750,1,1.0,1,1,0,ok,0.75,the incoming administration's top thinker on economic matters. The appointment came the same day Mr. Bush presided over a conference in Austin to promote the tax cuts Mr. Lindsey has designed as a way to protect the nation against an economic slump,0,0,0,"{
  ""epu"": 1,
  ""confidence"": 0.75,
  ""focus_excerpt"": ""the incoming administration's top thinker on economic matters. The appointment came the same day Mr. Bush presided over a conference in Austin to promote the tax cuts Mr. Lindsey has designed as a way to protect the nation against an economic slump""
}",4106,1027
deepseek-ai/deepseek-v3.2,short,Current_79__fv0__center,Current_79,0,civic_notice_1,civic_notices,center,0,0,LAT,2007,15467,2989,1,0.8067498545289973,748,3000,750,0,1.0,1,1,0,ok,0.85,generals believed that clearly demonstrating the IDF's superiority would shore up the Israeli deterrent,1,0,0,"{
  ""epu"": 0,
  ""confidence"": 0.85,
  ""focus_excerpt"": ""generals believed that clearly demonstrating the IDF's superiority would shore up the Israeli deterrent""
}",4106,1027
deepseek-ai/deepseek-v3.2,short,Midcentury_8077__fv0__center,Midcentury_8077,0,catalog_1,catalog_metadata,center,0,0,WPO,1994,3811,2989,1,0.21569141957491467,748,3000,750,0,1.0,1,1,0,ok,0.95,The European Union's representative in the United States called for a new transatlantic free-trade agreement to meet the challenge of moves toward free trade in the Pacific region.,0,0,0,"{
  ""epu"": 0,
  ""confidence"": 0.95,
  ""focus_excerpt"": ""The European Union's representative in the United States called for a new transatlantic free-trade agreement to meet the challenge of moves toward free trade in the Pacific region.""
}",4106,1027
deepseek-ai/deepseek-v3.2,short,Current_654__fv0__center,Current_654,0,catalog_1,catalog_metadata,center,0,0,SFC,2000,6665,2989,1,0.5515378844711178,748,3000,750,0,1.0,1,1,0,ok,0.8,Concerns about future prospects for the world's biggest software company prompted a huge sell-off in Microsoft shares yesterday,1,0,0,"{""epu"": 0, ""confidence"": 0.8, ""focus_excerpt"": ""Concerns about future prospects for the world's biggest software company prompted a huge sell-off in Microsoft shares yesterday""}",4106,1027
deepseek-ai/deepseek-v3.2,short,Midcentury_4968__fv0__center,Midcentury_4968,0,civic_notice_1,civic_notices,center,1,0,WPO,1989,6209,2989,1,0.5186020293122886,748,3000,750,1,1.0,1,1,0,ok,0.85,"pushed both by the economic austerity program of China's leaders, who have cut back many of the privileges of Guangdong province, where most of the toy factories are located, and by the June 4 crackdown",0,0,0,"{
  ""epu"": 1,
  ""confidence"": 0.85,
  ""focus_excerpt"": ""pushed both by the economic austerity program of China's leaders, who have cut back many of the privileges of Guangdong province, where most of the toy factories are located, and by the June 4 crackdown""
}",4106,1027
