article_key,condition,llm_name,single_focus_epu_pred,single_focus_epu_correct,single_focus_confidence,single_focus_focus_excerpt,single_focus_excerpt_in_target,single_focus_json_valid,single_focus_parse_status,single_focus_raw_json,single_focus_who_pred,single_focus_who_correct,single_focus_who_requested,single_focus_who_present,single_focus_actions_pred,single_focus_actions_correct,single_focus_actions_requested,single_focus_actions_present,single_focus_effects_pred,single_focus_effects_correct,single_focus_effects_requested,single_focus_effects_present,single_focus_mention_foreign_pred,single_focus_mention_foreign_correct,single_focus_mention_foreign_requested,single_focus_mention_foreign_present,single_focus_mainly_foreign_pred,single_focus_mainly_foreign_correct,single_focus_mainly_foreign_requested,single_focus_mainly_foreign_present,single_focus_requested_task_count,single_focus_task_completion_count,single_focus_completion_share,single_focus_aux_mean
Midcentury_7569,single_focus,google/gemini-3.1-pro-preview,1.0,1.0,0.95,uncertainty over the fate of the Administration's budget and health plans is widely cited as a soaree of restraint.,0,1,ok,"{
  ""epu"": 1,
  ""confidence"": 0.95,
  ""focus_excerpt"": ""uncertainty over the fate of the Administration's budget and health plans is widely cited as a soaree of restraint.""
}",,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,0,0,,
Current_840,single_focus,google/gemini-3.1-pro-preview,1.0,1.0,0.95,uncertainty over budget negotiations between President Clinton and Congress could prompt the Fed to take a wait-and-see approach,0,1,ok,"{
  ""epu"": 1,
  ""confidence"": 0.95,
  ""focus_excerpt"": ""uncertainty over budget negotiations between President Clinton and Congress could prompt the Fed to take a wait-and-see approach""
}",,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,0,0,,
Current_1795,single_focus,google/gemini-3.1-pro-preview,0.0,1.0,1.0,But the change also makes Nid Paw and other refugees uncertain about the lives they will leave behind,1,1,ok,"{
  ""epu"": 0,
  ""confidence"": 1,
  ""focus_excerpt"": ""But the change also makes Nid Paw and other refugees uncertain about the lives they will leave behind""
}",,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,0,0,,
Current_292,single_focus,google/gemini-3.1-pro-preview,0.0,1.0,0.85,"In the midst of change and uncertainty, the alliance remains a reliable guarantor of peace",1,1,ok,"{
  ""epu"": 0,
  ""confidence"": 0.85,
  ""focus_excerpt"": ""In the midst of change and uncertainty, the alliance remains a reliable guarantor of peace""
}",,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,0,0,,
Midcentury_6605,single_focus,google/gemini-3.1-pro-preview,1.0,1.0,0.99,"Will Congress, for example, find the will to cut Federal spending, which in turn would tend to reduce the budget deficit, interest rates and perhaps even the international value of the dollar? Will taxes be raised and, if so, how will the increased bur­den be distributed?",1,1,ok,"{
  ""epu"": 1,
  ""confidence"": 0.99,
  ""focus_excerpt"": ""Will Congress, for example, find the will to cut Federal spending, which in turn would tend to reduce the budget deficit, interest rates and perhaps even the international value of the dollar? Will taxes be raised and, if so, how will the increased bur\u00adden be distributed?""
}",,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,0,0,,
Midcentury_7618,single_focus,google/gemini-3.1-pro-preview,0.0,0.0,0.85,Democrats criticized the tax cut as a giveaway to the rich that threatened the drive to reduce government debt. The warnings were echoed by many mainstream economists,0,1,ok,"{
  ""epu"": 0,
  ""confidence"": 0.85,
  ""focus_excerpt"": ""Democrats criticized the tax cut as a giveaway to the rich that threatened the drive to reduce government debt. The warnings were echoed by many mainstream economists""
}",,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,0,0,,
Current_79,single_focus,google/gemini-3.1-pro-preview,0.0,1.0,1.0,"As depicted by [Tom Segev], the standoff between [Levi Eshkol] and his generals was as much cultural as strategic.",1,1,ok,"{
  ""epu"": 0,
  ""confidence"": 1.0,
  ""focus_excerpt"": ""As depicted by [Tom Segev], the standoff between [Levi Eshkol] and his generals was as much cultural as strategic.""
}",,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,0,0,,
Midcentury_8077,single_focus,google/gemini-3.1-pro-preview,0.0,1.0,1.0,continuing uncertainty over what BCCI assets are left,1,1,ok,"{
  ""epu"": 0,
  ""confidence"": 1.0,
  ""focus_excerpt"": ""continuing uncertainty over what BCCI assets are left""
}",,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,0,0,,
Current_654,single_focus,google/gemini-3.1-pro-preview,1.0,0.0,0.95,expects the market to remain turbulent until a clear direction for interest rates emerges from next month's Federal Reserve meeting.,1,1,ok,"{
  ""epu"": 1,
  ""confidence"": 0.95,
  ""focus_excerpt"": ""expects the market to remain turbulent until a clear direction for interest rates emerges from next month's Federal Reserve meeting.""
}",,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,0,0,,
Midcentury_4968,single_focus,google/gemini-3.1-pro-preview,1.0,1.0,0.95,the feeling of uncertainty over *irthe future of China's economic liberal­ization program,1,1,ok,"{
  ""epu"": 1,
  ""confidence"": 0.95,
  ""focus_excerpt"": ""the feeling of uncertainty over *irthe future of China's economic liberal\u00adization program""
}",,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,0,0,,
