article_key,llm_name,gold_epu,disagreement_flag,single_acc,single_long_control_acc,primary_first_acc,primary_last_acc,primary_first_pred,primary_last_pred,order_flip
Midcentury_7569,google/gemini-3.1-pro-preview,1,0,1.0,1.0,1.0,1.0,1,1,0
Current_840,google/gemini-3.1-pro-preview,1,1,1.0,1.0,1.0,1.0,1,1,0
Current_1795,google/gemini-3.1-pro-preview,0,0,1.0,1.0,1.0,1.0,0,0,0
Current_292,google/gemini-3.1-pro-preview,0,1,1.0,1.0,1.0,1.0,0,0,0
Midcentury_6605,google/gemini-3.1-pro-preview,1,0,1.0,1.0,1.0,1.0,1,1,0
Midcentury_7618,google/gemini-3.1-pro-preview,1,0,0.0,0.0,1.0,0.0,1,0,1
Current_79,google/gemini-3.1-pro-preview,0,0,1.0,1.0,1.0,1.0,0,0,0
Midcentury_8077,google/gemini-3.1-pro-preview,0,0,1.0,1.0,1.0,1.0,0,0,0
Current_654,google/gemini-3.1-pro-preview,0,0,0.0,0.0,0.0,0.0,1,1,0
Midcentury_4968,google/gemini-3.1-pro-preview,1,0,1.0,1.0,1.0,1.0,1,1,0
Current_1196,google/gemini-3.1-pro-preview,1,1,1.0,1.0,1.0,1.0,1,1,0
Current_1953,google/gemini-3.1-pro-preview,1,0,0.0,0.0,1.0,0.0,1,0,1
Current_733,google/gemini-3.1-pro-preview,0,0,1.0,1.0,1.0,1.0,0,0,0
Current_1975,google/gemini-3.1-pro-preview,1,0,1.0,1.0,1.0,1.0,1,1,0
Current_814,google/gemini-3.1-pro-preview,1,1,1.0,1.0,1.0,1.0,1,1,0
Current_1650,google/gemini-3.1-pro-preview,1,1,0.0,0.0,0.0,0.0,0,0,0
Midcentury_1448,google/gemini-3.1-pro-preview,0,0,1.0,1.0,1.0,1.0,0,0,0
Current_1898,google/gemini-3.1-pro-preview,0,0,1.0,1.0,1.0,1.0,0,0,0
Current_125,google/gemini-3.1-pro-preview,1,0,1.0,0.0,1.0,1.0,1,1,0
Current_32,google/gemini-3.1-pro-preview,1,1,0.0,0.0,0.0,0.0,0,0,0
Midcentury_7951,google/gemini-3.1-pro-preview,0,0,1.0,1.0,1.0,1.0,0,0,0
Current_523,google/gemini-3.1-pro-preview,1,1,1.0,1.0,1.0,1.0,1,1,0
Current_1945,google/gemini-3.1-pro-preview,0,0,1.0,1.0,1.0,1.0,0,0,0
Current_199,google/gemini-3.1-pro-preview,1,1,0.0,0.0,0.0,0.0,0,0,0
Current_1857,google/gemini-3.1-pro-preview,1,0,1.0,1.0,1.0,1.0,1,1,0
Current_411,google/gemini-3.1-pro-preview,1,0,1.0,1.0,1.0,1.0,1,1,0
Current_689,google/gemini-3.1-pro-preview,0,0,1.0,1.0,1.0,1.0,0,0,0
Current_1424,google/gemini-3.1-pro-preview,1,0,1.0,1.0,1.0,1.0,1,1,0
Current_1608,google/gemini-3.1-pro-preview,1,0,0.0,0.0,0.0,0.0,0,0,0
Current_38,google/gemini-3.1-pro-preview,0,0,0.0,0.0,0.0,0.0,1,1,0
Current_1502,google/gemini-3.1-pro-preview,1,0,0.0,0.0,0.0,0.0,0,0,0
