llm_name,article_key,gold_epu,disagreement_flag,newspaper,year,content_len,orig_content_len,eval_content_len,was_truncated,condition,bundle,order,condition_kind,requested_task_count,epu_pred,epu_correct,confidence,focus_excerpt,excerpt_in_target,json_valid,parse_status,task_completion_count,completion_share,aux_mean,who_pred,who_correct,who_requested,who_present,actions_pred,actions_correct,actions_requested,actions_present,effects_pred,effects_correct,effects_requested,effects_present,mention_foreign_pred,mention_foreign_correct,mention_foreign_requested,mention_foreign_present,mainly_foreign_pred,mainly_foreign_correct,mainly_foreign_requested,mainly_foreign_present
google/gemini-3.1-pro-preview,Midcentury_7569,1,0,NYT,1993,5832,5832,4989,1,single_focus,,,single,0,1.0,1.0,0.95,uncertainty over the fate of the Administration's budget and health plans is widely cited as a soaree of restraint.,0,1,ok,0,,,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0
google/gemini-3.1-pro-preview,Midcentury_7569,1,0,NYT,1993,5832,5832,4989,1,single_long_control,,,single_control,0,1.0,1.0,0.95,uncertainty over the fate of the Administration's budget and health plans is widely cited as a soaree of restraint.,0,1,ok,0,,,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0
google/gemini-3.1-pro-preview,Midcentury_7569,1,0,NYT,1993,5832,5832,4989,1,full_focus_epu_first,full,epu_first,multi,5,1.0,1.0,0.95,uncertainty over the fate of the Administration's budget and health plans is widely cited as a soaree of restraint.,0,1,ok,5,1.0,0.8,0.0,1.0,1,1,1.0,1.0,1,1,0.0,0.0,1,1,0.0,1.0,1,1,0.0,1.0,1,1
google/gemini-3.1-pro-preview,Midcentury_7569,1,0,NYT,1993,5832,5832,4989,1,full_focus_epu_last,full,epu_last,multi,5,1.0,1.0,0.95,uncertainty over the fate of the Administration's budget and health plans is widely cited as a soaree of restraint.,0,1,ok,5,1.0,0.8,0.0,1.0,1,1,1.0,1.0,1,1,0.0,0.0,1,1,0.0,1.0,1,1,0.0,1.0,1,1
google/gemini-3.1-pro-preview,Current_840,1,1,DMNB,1995,3268,3268,3268,0,single_focus,,,single,0,1.0,1.0,0.95,uncertainty over budget negotiations between President Clinton and Congress could prompt the Fed to take a wait-and-see approach,0,1,ok,0,,,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0
google/gemini-3.1-pro-preview,Current_840,1,1,DMNB,1995,3268,3268,3268,0,single_long_control,,,single_control,0,1.0,1.0,0.95,uncertaintyover budget negotiations between President Clinton and Congress could prompt the Fed to take a wait-and-see approach,1,1,ok,0,,,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0
google/gemini-3.1-pro-preview,Current_840,1,1,DMNB,1995,3268,3268,3268,0,full_focus_epu_first,full,epu_first,multi,5,1.0,1.0,0.95,uncertainty over budget negotiations between President Clinton and Congress could prompt the Fed to take a wait-and-see approach,0,1,ok,5,1.0,1.0,0.0,1.0,1,1,1.0,1.0,1,1,0.0,1.0,1,1,0.0,1.0,1,1,0.0,1.0,1,1
google/gemini-3.1-pro-preview,Current_840,1,1,DMNB,1995,3268,3268,3268,0,full_focus_epu_last,full,epu_last,multi,5,1.0,1.0,0.95,uncertainty over budget negotiations between President Clinton and Congress could prompt the Fed to take a wait-and-see approach,0,1,ok,5,1.0,1.0,0.0,1.0,1,1,1.0,1.0,1,1,0.0,1.0,1,1,0.0,1.0,1,1,0.0,1.0,1,1
google/gemini-3.1-pro-preview,Current_1795,0,0,SFC,2008,7887,7887,4989,1,single_focus,,,single,0,0.0,1.0,1.0,But the change also makes Nid Paw and other refugees uncertain about the lives they will leave behind,1,1,ok,0,,,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0
google/gemini-3.1-pro-preview,Current_1795,0,0,SFC,2008,7887,7887,4989,1,single_long_control,,,single_control,0,0.0,1.0,1.0,"But the change also makes Nid Paw and other refugees uncertain about the lives they will leave behind and the problems they will face with a different culture, language and educational system, and an economy that is likely to offer no better than a minimum-wage job.",1,1,ok,0,,,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0
google/gemini-3.1-pro-preview,Current_1795,0,0,SFC,2008,7887,7887,4989,1,full_focus_epu_first,full,epu_first,multi,5,0.0,1.0,0.95,"But the change also makes Nid Paw and other refugees uncertain about the lives they will leave behind and the problems they will face with a different culture, language and educational system, and an economy that is likely to offer no better than a minimum-wage job.",1,1,ok,2,0.4,0.0,,0.0,1,0,,0.0,1,0,,0.0,1,0,1.0,0.0,1,1,1.0,0.0,1,1
google/gemini-3.1-pro-preview,Current_1795,0,0,SFC,2008,7887,7887,4989,1,full_focus_epu_last,full,epu_last,multi,5,0.0,1.0,0.95,"But the change also makes Nid Paw and other refugees uncertain about the lives they will leave behind and the problems they will face with a different culture, language and educational system",1,1,ok,2,0.4,0.0,,0.0,1,0,,0.0,1,0,,0.0,1,0,1.0,0.0,1,1,1.0,0.0,1,1
google/gemini-3.1-pro-preview,Current_292,0,1,MIHB,1990,2734,2734,2734,0,single_focus,,,single,0,0.0,1.0,0.85,"In the midst of change and uncertainty, the alliance remains a reliable guarantor of peace",1,1,ok,0,,,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0
google/gemini-3.1-pro-preview,Current_292,0,1,MIHB,1990,2734,2734,2734,0,single_long_control,,,single_control,0,0.0,1.0,0.95,"In the midst of change and uncertainty, the alliance remains a reliable guarantor of peace",1,1,ok,0,,,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0
google/gemini-3.1-pro-preview,Current_292,0,1,MIHB,1990,2734,2734,2734,0,full_focus_epu_first,full,epu_first,multi,5,0.0,1.0,0.9,A continuation of this stampede to the West could lead to the collapse of the East German economy with unpredictable political consequences.,1,1,ok,2,0.4,0.0,,0.0,1,0,,0.0,1,0,,0.0,1,0,1.0,0.0,1,1,1.0,0.0,1,1
google/gemini-3.1-pro-preview,Current_292,0,1,MIHB,1990,2734,2734,2734,0,full_focus_epu_last,full,epu_last,multi,5,0.0,1.0,0.95,A continuation of this stampede to the West could lead to the collapse of the East German economy with unpredictable political consequences.,1,1,ok,2,0.4,0.0,,0.0,1,0,,0.0,1,0,,0.0,1,0,1.0,0.0,1,1,1.0,0.0,1,1
google/gemini-3.1-pro-preview,Midcentury_6605,1,0,NYT,1985,9963,9963,4989,1,single_focus,,,single,0,1.0,1.0,0.99,"Will Congress, for example, find the will to cut Federal spending, which in turn would tend to reduce the budget deficit, interest rates and perhaps even the international value of the dollar? Will taxes be raised and, if so, how will the increased bur­den be distributed?",1,1,ok,0,,,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0
google/gemini-3.1-pro-preview,Midcentury_6605,1,0,NYT,1985,9963,9963,4989,1,single_long_control,,,single_control,0,1.0,1.0,0.99,"Will Congress, for example, find the will to cut Federal spending, which in turn would tend to reduce the budget deficit, interest rates and perhaps even the international value of the dollar?",1,1,ok,0,,,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0
google/gemini-3.1-pro-preview,Midcentury_6605,1,0,NYT,1985,9963,9963,4989,1,full_focus_epu_first,full,epu_first,multi,5,1.0,1.0,0.95,"Will Congress, for example, find the will to cut Federal spending, which in turn would tend to reduce the budget deficit, interest rates and perhaps even the international value of the dollar? Will taxes be raised and, if so, how will the increased burden be distributed?",0,1,ok,5,1.0,1.0,0.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,0.0,1.0,1,1
google/gemini-3.1-pro-preview,Midcentury_6605,1,0,NYT,1985,9963,9963,4989,1,full_focus_epu_last,full,epu_last,multi,5,1.0,1.0,0.95,"Will Congress, for example, find the will to cut Federal spending, which in turn would tend to reduce the budget deficit, interest rates and perhaps even the international value of the dollar? Will taxes be raised and, if so, how will the increased bur­den be distributed?",1,1,ok,5,1.0,1.0,0.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,0.0,1.0,1,1
google/gemini-3.1-pro-preview,Midcentury_7618,1,0,NYT,2001,7843,7843,4989,1,single_focus,,,single,0,0.0,0.0,0.85,Democrats criticized the tax cut as a giveaway to the rich that threatened the drive to reduce government debt. The warnings were echoed by many mainstream economists,0,1,ok,0,,,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0
google/gemini-3.1-pro-preview,Midcentury_7618,1,0,NYT,2001,7843,7843,4989,1,single_long_control,,,single_control,0,0.0,0.0,0.8,"The appointment came the same day Mr. Bush presided over a conference in Austin to promote the tax cuts Mr. Lindsey has designed as a way to protect the nation against an economic slump, and just an hour after the Fed confirmed a gloomier outlook for the economy with a sharp cut in interest rates.",0,1,ok,0,,,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0
google/gemini-3.1-pro-preview,Midcentury_7618,1,0,NYT,2001,7843,7843,4989,1,full_focus_epu_first,full,epu_first,multi,5,1.0,1.0,0.9,Democrats criticized the tax cut as a giveaway to the rich that threatened the drive to reduce government debt. The warnings were echoed by many mainstream economists,0,1,ok,5,1.0,0.2,0.0,0.0,1,1,1.0,0.0,1,1,1.0,0.0,1,1,1.0,0.0,1,1,0.0,1.0,1,1
google/gemini-3.1-pro-preview,Midcentury_7618,1,0,NYT,2001,7843,7843,4989,1,full_focus_epu_last,full,epu_last,multi,5,0.0,0.0,0.9,The nation depended tto much on foreign lend­ing. He saw the stock market as so wildly overvalued that he dumped his own stocks a few years ago,1,1,ok,2,0.4,0.2,,0.0,1,0,,0.0,1,0,,0.0,1,0,1.0,0.0,1,1,0.0,1.0,1,1
google/gemini-3.1-pro-preview,Current_79,0,0,LAT,2007,15467,15467,4989,1,single_focus,,,single,0,0.0,1.0,1.0,"As depicted by [Tom Segev], the standoff between [Levi Eshkol] and his generals was as much cultural as strategic.",1,1,ok,0,,,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0
google/gemini-3.1-pro-preview,Current_79,0,0,LAT,2007,15467,15467,4989,1,single_long_control,,,single_control,0,0.0,1.0,1.0,"As depicted by [Tom Segev], the standoff between [Levi Eshkol] and his generals was as much cultural as strategic.",1,1,ok,0,,,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0
google/gemini-3.1-pro-preview,Current_79,0,0,LAT,2007,15467,15467,4989,1,full_focus_epu_first,full,epu_first,multi,5,0.0,1.0,0.95,"As depicted by [Tom Segev], the standoff between [Levi Eshkol] and his generals was as much cultural as strategic.",1,1,ok,2,0.4,0.0,,0.0,1,0,,0.0,1,0,,0.0,1,0,1.0,0.0,1,1,1.0,0.0,1,1
