article_key,condition,llm_name,single_focus_epu_pred,single_focus_epu_correct,single_focus_confidence,single_focus_focus_excerpt,single_focus_excerpt_in_target,single_focus_json_valid,single_focus_parse_status,single_focus_raw_json,single_focus_who_pred,single_focus_who_correct,single_focus_who_requested,single_focus_who_present,single_focus_actions_pred,single_focus_actions_correct,single_focus_actions_requested,single_focus_actions_present,single_focus_effects_pred,single_focus_effects_correct,single_focus_effects_requested,single_focus_effects_present,single_focus_mention_foreign_pred,single_focus_mention_foreign_correct,single_focus_mention_foreign_requested,single_focus_mention_foreign_present,single_focus_mainly_foreign_pred,single_focus_mainly_foreign_correct,single_focus_mainly_foreign_requested,single_focus_mainly_foreign_present,single_focus_requested_task_count,single_focus_task_completion_count,single_focus_completion_share,single_focus_aux_mean
Midcentury_7569,single_focus,deepseek-ai/deepseek-v3.2,1,1.0,0.9,uncertainty over the fate of the Administration's budget and health plans is widely cited as a soaree of restraint.,0,1,ok,"{
  ""epu"": 1,
  ""confidence"": 0.9,
  ""focus_excerpt"": ""uncertainty over the fate of the Administration's budget and health plans is widely cited as a soaree of restraint.""
}",,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,0,0,,
Current_840,single_focus,deepseek-ai/deepseek-v3.2,1,1.0,0.85,uncertainty over budget negotiations between President Clinton and Congress could prompt the Fed to take a wait-and-see approach,0,1,ok,"{
  ""epu"": 1,
  ""confidence"": 0.85,
  ""focus_excerpt"": ""uncertainty over budget negotiations between President Clinton and Congress could prompt the Fed to take a wait-and-see approach""
}",,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,0,0,,
Current_1795,single_focus,deepseek-ai/deepseek-v3.2,0,1.0,0.95,"But the change also makes Nid Paw and other refugees uncertain about the lives they will leave behind and the problems they will face with a different culture, language and educational system, and an economy that is likely to offer no better than a minimum-wage job.",1,1,ok,"{
  ""epu"": 0,
  ""confidence"": 0.95,
  ""focus_excerpt"": ""But the change also makes Nid Paw and other refugees uncertain about the lives they will leave behind and the problems they will face with a different culture, language and educational system, and an economy that is likely to offer no better than a minimum-wage job.""
}",,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,0,0,,
Current_292,single_focus,deepseek-ai/deepseek-v3.2,0,1.0,0.9,"In the midst of change and uncertainty, the alliance remains a reliable guarantor of peace",1,1,ok,"{""epu"": 0, ""confidence"": 0.9, ""focus_excerpt"": ""In the midst of change and uncertainty, the alliance remains a reliable guarantor of peace""}",,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,0,0,,
Midcentury_6605,single_focus,deepseek-ai/deepseek-v3.2,1,1.0,0.9,"investment decisions depend nowadays on the policy makers of Washington and other world capitals. Will Congress, for example, find the will to cut Federal spending... Will taxes be raised and, if so, how will the increased burden be distributed? Will there be major simplification, or ltop­hole closing?... Will Japan open its markets enough to head off the rising tide of protectionist sentiment",0,1,ok,"{
  ""epu"": 1,
  ""confidence"": 0.9,
  ""focus_excerpt"": ""investment decisions depend nowadays on the policy makers of Washington and other world capitals. Will Congress, for example, find the will to cut Federal spending... Will taxes be raised and, if so, how will the increased burden be distributed? Will there be major simplification, or ltop­hole closing?... Will Japan open its markets enough to head off the rising tide of protectionist sentiment""
}",,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,0,0,,
Midcentury_7618,single_focus,deepseek-ai/deepseek-v3.2,0,0.0,0.9,"President-elect George W. Bush named Mr. Lindsey, 46, as his White House economic adviser, formalizing Mr. Lindsey's role as the incoming administration's top thinker on economic matters.",0,1,ok,"{
  ""epu"": 0,
  ""confidence"": 0.9,
  ""focus_excerpt"": ""President-elect George W. Bush named Mr. Lindsey, 46, as his White House economic adviser, formalizing Mr. Lindsey's role as the incoming administration's top thinker on economic matters.""
}",,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,0,0,,
Current_79,single_focus,deepseek-ai/deepseek-v3.2,0,1.0,0.9,the contest over who would dictate the course of Israeli policy,1,1,ok,"{""epu"": 0, ""confidence"": 0.9, ""focus_excerpt"": ""the contest over who would dictate the course of Israeli policy""}",,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,0,0,,
Midcentury_8077,single_focus,deepseek-ai/deepseek-v3.2,0,1.0,0.95,continuing uncertainty over what BCCI assets are left,1,1,ok,"{
  ""epu"": 0,
  ""confidence"": 0.95,
  ""focus_excerpt"": ""continuing uncertainty over what BCCI assets are left""
}",,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,0,0,,
Current_654,single_focus,deepseek-ai/deepseek-v3.2,0,1.0,0.9,"Christine Callies, chief investment strategist at Credit Suisse First Boston in New York, expects the market to remain turbulent until a clear direction for interest rates emerges from next month's Federal Reserve meeting.",1,1,ok,"{""epu"": 0, ""confidence"": 0.9, ""focus_excerpt"": ""Christine Callies, chief investment strategist at Credit Suisse First Boston in New York, expects the market to remain turbulent until a clear direction for interest rates emerges from next month's Federal Reserve meeting.""}",,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,0,0,,
Midcentury_4968,single_focus,deepseek-ai/deepseek-v3.2,1,1.0,0.95,the feeling of uncertainty over the future of China's economic liberalization program,0,1,ok,"{
  ""epu"": 1,
  ""confidence"": 0.95,
  ""focus_excerpt"": ""the feeling of uncertainty over the future of China's economic liberalization program""
}",,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,0,0,,
Current_1196,single_focus,deepseek-ai/deepseek-v3.2,1,1.0,0.85,Republican leaders in the new Legislature have enthusiastically exhumed the oft-snuffed plan to throw away $60 million of public funds on a Major League Baseball park in South Florida.,1,1,ok,"{
  ""epu"": 1,
  ""confidence"": 0.85,
  ""focus_excerpt"": ""Republican leaders in the new Legislature have enthusiastically exhumed the oft-snuffed plan to throw away $60 million of public funds on a Major League Baseball park in South Florida.""
}",,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,0,0,,
Current_1953,single_focus,deepseek-ai/deepseek-v3.2,0,0.0,0.8,"The region is a place beset today by bloated bureaucracies, not-ready-for-Internet regimes, vast numbers of underemployed, scheming militants, oil prices falling off the table and looming leadership succession that scares the dickens out of U.S. policymakers.",0,1,ok,"{
  ""epu"": 0,
  ""confidence"": 0.8,
  ""focus_excerpt"": ""The region is a place beset today by bloated bureaucracies, not-ready-for-Internet regimes, vast numbers of underemployed, scheming militants, oil prices falling off the table and looming leadership succession that scares the dickens out of U.S. policymakers.""
}",,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,0,0,,
Current_733,single_focus,deepseek-ai/deepseek-v3.2,0,1.0,0.98,"The last place Gabriel Aldana, a student at the Homestead campus of Miami Dade College, expected to work was at Florida Power & Light's Turkey Point nuclear power station.",1,1,ok,"{""epu"": 0, ""confidence"": 0.98, ""focus_excerpt"": ""The last place Gabriel Aldana, a student at the Homestead campus of Miami Dade College, expected to work was at Florida Power & Light's Turkey Point nuclear power station.""}",,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,0,0,,
Current_1975,single_focus,deepseek-ai/deepseek-v3.2,0,0.0,0.9,The decline yesterday reflected uncertainty over the fallout from Argentina's decision Sunday to suspend all payments on its $132 billion debt.,1,1,ok,"{""epu"": 0, ""confidence"": 0.9, ""focus_excerpt"": ""The decline yesterday reflected uncertainty over the fallout from Argentina's decision Sunday to suspend all payments on its $132 billion debt.""}",,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,0,0,,
Current_814,single_focus,deepseek-ai/deepseek-v3.2,0,0.0,0.2,"Economists say it's uncertain whether Chávez's new model, greatly dependent on high oil prices, is sustainable.",1,1,ok,"{""epu"": 0, ""confidence"": 0.2, ""focus_excerpt"": ""Economists say it's uncertain whether Chávez's new model, greatly dependent on high oil prices, is sustainable.""}",,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,0,0,,
Current_1650,single_focus,deepseek-ai/deepseek-v3.2,0,0.0,0.99,This article appeared on page E - 1 of the San Francisco Chronicle,1,1,ok,"{""epu"": 0, ""confidence"": 0.99, ""focus_excerpt"": ""This article appeared on page E - 1 of the San Francisco Chronicle""}",,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,0,0,,
Midcentury_1448,single_focus,deepseek-ai/deepseek-v3.2,0,1.0,0.9,the recession and the lingering slump in the real estate market.,1,1,ok,"{""epu"": 0, ""confidence"": 0.9, ""focus_excerpt"": ""the recession and the lingering slump in the real estate market.""}",,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,0,0,,
Current_1898,single_focus,deepseek-ai/deepseek-v3.2,0,1.0,0.95,"Many investors, relatively new to the stock market, watched the value of their portfolios drop for the first time ever and were uncertain whether to buy or sell.",1,1,ok,"{
  ""epu"": 0,
  ""confidence"": 0.95,
  ""focus_excerpt"": ""Many investors, relatively new to the stock market, watched the value of their portfolios drop for the first time ever and were uncertain whether to buy or sell.""
}",,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,0,0,,
Current_125,single_focus,deepseek-ai/deepseek-v3.2,0,0.0,0.8,The gains followed President Bush's calling on Congress to approve $60 billion in tax cuts to buttress the economy.,1,1,ok,"{""epu"": 0, ""confidence"": 0.8, ""focus_excerpt"": ""The gains followed President Bush's calling on Congress to approve $60 billion in tax cuts to buttress the economy.""}",,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,0,0,,
Current_32,single_focus,deepseek-ai/deepseek-v3.2,0,0.0,0.9,It had to postpone plans for a public offering of Britain's yellow pages when financial markets turned sour over Enron Corp. and Iraq.,1,1,ok,"{
  ""epu"": 0,
  ""confidence"": 0.9,
  ""focus_excerpt"": ""It had to postpone plans for a public offering of Britain's yellow pages when financial markets turned sour over Enron Corp. and Iraq.""
}",,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,0,0,,
Midcentury_7951,single_focus,deepseek-ai/deepseek-v3.2,0,1.0,0.99,"people who know Granta are asking, what will become of it now? Can a publication so identified with one person survive after the person has left?",0,1,ok,"{""epu"": 0, ""confidence"": 0.99, ""focus_excerpt"": ""people who know Granta are asking, what will become of it now? Can a publication so identified with one person survive after the person has left?""}",,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,0,0,,
