eval_row_id,article_key,gold_epu,disagreement_flag,filler_family,target_position,google/gemini-3.1-pro-preview__long,google/gemini-3.1-pro-preview__medium,google/gemini-3.1-pro-preview__short
Current_1001__fv0__center,Current_1001,0,0,transit_summaries,center,1.0,1.0,1.0
Current_1009__fv0__center,Current_1009,1,1,civic_notices,center,0.0,0.0,0.0
Current_100__fv0__center,Current_100,0,1,archive_boilerplate,center,1.0,1.0,1.0
Current_101__fv0__center,Current_101,0,1,civic_notices,center,1.0,1.0,1.0
Current_1022__fv0__center,Current_1022,1,0,catalog_metadata,center,0.0,0.0,0.0
Current_1031__fv0__center,Current_1031,0,0,catalog_metadata,center,1.0,1.0,1.0
Current_1032__fv0__center,Current_1032,0,0,catalog_metadata,center,1.0,1.0,1.0
Current_1033__fv0__center,Current_1033,1,0,archive_boilerplate,center,0.0,0.0,0.0
Current_1036__fv0__center,Current_1036,1,1,archive_boilerplate,center,0.0,0.0,0.0
Current_1040__fv0__center,Current_1040,1,0,civic_notices,center,1.0,0.0,0.0
Current_1051__fv0__center,Current_1051,1,1,archive_boilerplate,center,0.0,0.0,0.0
Current_1061__fv0__center,Current_1061,1,1,catalog_metadata,center,0.0,0.0,0.0
Current_1062__fv0__center,Current_1062,0,0,archive_boilerplate,center,1.0,1.0,1.0
Current_1064__fv0__center,Current_1064,1,1,archive_boilerplate,center,0.0,0.0,0.0
Current_1072__fv0__center,Current_1072,1,1,catalog_metadata,center,0.0,0.0,0.0
Current_1074__fv0__center,Current_1074,1,0,civic_notices,center,1.0,1.0,1.0
Current_1077__fv0__center,Current_1077,1,1,catalog_metadata,center,1.0,1.0,0.0
Current_1078__fv0__center,Current_1078,1,0,encyclopedia_neutral,center,1.0,1.0,1.0
Current_107__fv0__center,Current_107,0,1,encyclopedia_neutral,center,1.0,1.0,1.0
Current_1086__fv0__center,Current_1086,0,0,encyclopedia_neutral,center,1.0,1.0,1.0
Current_1087__fv0__center,Current_1087,1,0,civic_notices,center,1.0,1.0,1.0
Current_108__fv0__center,Current_108,0,0,archive_boilerplate,center,1.0,1.0,1.0
Current_1095__fv0__center,Current_1095,0,0,archive_boilerplate,center,0.0,0.0,0.0
Current_1099__fv0__center,Current_1099,1,0,encyclopedia_neutral,center,1.0,1.0,1.0
Current_1113__fv0__center,Current_1113,0,0,encyclopedia_neutral,center,1.0,1.0,1.0
Current_111__fv0__center,Current_111,1,1,encyclopedia_neutral,center,1.0,1.0,1.0
Current_1120__fv0__center,Current_1120,1,0,catalog_metadata,center,0.0,0.0,0.0
Current_1128__fv0__center,Current_1128,1,0,archive_boilerplate,center,1.0,1.0,1.0
Current_1131__fv0__center,Current_1131,0,0,archive_boilerplate,center,1.0,1.0,1.0
Current_1133__fv0__center,Current_1133,1,1,archive_boilerplate,center,1.0,1.0,1.0
Current_113__fv0__center,Current_113,0,1,catalog_metadata,center,1.0,1.0,1.0
Current_1146__fv0__center,Current_1146,0,1,catalog_metadata,center,0.0,0.0,0.0
Current_1148__fv0__center,Current_1148,0,0,transit_summaries,center,0.0,0.0,0.0
Current_1152__fv0__center,Current_1152,0,1,encyclopedia_neutral,center,1.0,1.0,1.0
Current_1153__fv0__center,Current_1153,0,0,civic_notices,center,1.0,1.0,1.0
Current_1155__fv0__center,Current_1155,0,1,civic_notices,center,1.0,1.0,1.0
Current_1157__fv0__center,Current_1157,0,1,transit_summaries,center,1.0,1.0,1.0
Current_1162__fv0__center,Current_1162,1,0,transit_summaries,center,0.0,0.0,0.0
Current_1182__fv0__center,Current_1182,0,0,encyclopedia_neutral,center,1.0,1.0,1.0
Current_1189__fv0__center,Current_1189,1,1,transit_summaries,center,1.0,1.0,1.0
Current_1190__fv0__center,Current_1190,0,0,encyclopedia_neutral,center,1.0,1.0,1.0
Current_1196__fv0__center,Current_1196,1,1,catalog_metadata,center,1.0,1.0,1.0
Current_1199__fv0__center,Current_1199,0,0,catalog_metadata,center,0.0,0.0,1.0
Current_1209__fv0__center,Current_1209,0,0,encyclopedia_neutral,center,1.0,1.0,1.0
Current_120__fv0__center,Current_120,0,0,archive_boilerplate,center,1.0,1.0,1.0
Current_1210__fv0__center,Current_1210,1,1,transit_summaries,center,0.0,0.0,0.0
Current_1211__fv0__center,Current_1211,1,1,encyclopedia_neutral,center,0.0,0.0,0.0
Current_1212__fv0__center,Current_1212,1,1,archive_boilerplate,center,0.0,0.0,0.0
Current_1224__fv0__center,Current_1224,1,0,transit_summaries,center,1.0,1.0,1.0
Current_1226__fv0__center,Current_1226,1,0,civic_notices,center,0.0,0.0,0.0
