llm_name,article_key,gold_epu,gold_who,gold_actions,gold_effects,gold_mention_foreign,gold_mainly_foreign,disagreement_flag,newspaper,year,content_len,condition,epu_pred,epu_correct,confidence,focus_excerpt,excerpt_in_target,json_valid,aux_mean,task_completion_count,who_pred,who_correct,who_present,actions_pred,actions_correct,actions_present,effects_pred,effects_correct,effects_present,mention_foreign_pred,mention_foreign_correct,mention_foreign_present,mainly_foreign_pred,mainly_foreign_correct,mainly_foreign_present
anthropic/claude-sonnet-4-6@default,Current_1332,1,1,0,1,1,1,0,LAT,1998,7835,single_focus,1.0,1.0,0.65,"Eisuke Sakakibara, the Japanese Ministry of Finance official known as 'Mr. Yen' for his influence on exchange rates, said the currency markets may have been too pessimistic about the weakening yen and that the time may be right for Tokyo to intervene",0,1,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.0,0
anthropic/claude-sonnet-4-6@default,Current_1332,1,1,0,1,1,1,0,LAT,1998,7835,multi_focus_epu_first,1.0,1.0,0.65,"Eisuke Sakakibara, the Japanese Ministry of Finance official known as 'Mr. Yen' for his influence on exchange rates, said the currency markets may have been too pessimistic about the weakening yen and that the time may be right for Tokyo to intervene",0,1,0.6,5,0.0,0.0,1,1.0,0.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1
anthropic/claude-sonnet-4-6@default,Current_1332,1,1,0,1,1,1,0,LAT,1998,7835,multi_focus_epu_last,1.0,1.0,0.6,"Eisuke Sakakibara, the Japanese Ministry of Finance official known as 'Mr. Yen' for his influence on exchange rates, said the currency markets may have been too pessimistic about the weakening yen and that the time may be right for Tokyo to intervene",0,1,0.8,5,1.0,1.0,1,1.0,0.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1
anthropic/claude-sonnet-4-6@default,Current_910,0,0,0,0,0,0,0,SFC,1998,6713,single_focus,0.0,1.0,0.85,the Senate hasn't yet voted on the first NATO enlargement,1,1,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.0,0
anthropic/claude-sonnet-4-6@default,Current_910,0,0,0,0,0,0,0,SFC,1998,6713,multi_focus_epu_first,0.0,1.0,0.85,"Naumann is uncertain about a second round of expansion, and he thinks that endless enlargement makes no sense",1,1,0.0,5,-1.0,0.0,1,-1.0,0.0,1,-1.0,0.0,1,1.0,0.0,1,1.0,0.0,1
anthropic/claude-sonnet-4-6@default,Current_910,0,0,0,0,0,0,0,SFC,1998,6713,multi_focus_epu_last,0.0,1.0,0.82,"Naumann is uncertain about a second round of expansion, and he thinks that endless enlargement makes no sense",1,1,0.0,5,-1.0,0.0,1,-1.0,0.0,1,-1.0,0.0,1,1.0,0.0,1,1.0,0.0,1
anthropic/claude-sonnet-4-6@default,Midcentury_7857,0,0,0,0,1,1,0,NYT,1999,4111,single_focus,1.0,0.0,0.72,"disciplined fiscal policies enforced by Mr. Zedillo... Mr. Zedillo made three pre-emptive budget cuts to keep the deficit at a maximum of 1.25 percent... urged him to convert to a dollar-based economy. Mr. Zedillo, though, made it clear that he had n",0,1,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.0,0
anthropic/claude-sonnet-4-6@default,Midcentury_7857,0,0,0,0,1,1,0,NYT,1999,4111,multi_focus_epu_first,1.0,0.0,0.82,"Mr. Zedillo made three pre-emptive budget cuts to keep the deficit at a maximum of 1.25 percent... Mr. Zedillo, though, made it clear that he had no plans to abandon his policy of a virtually free-floating peso.",0,1,0.2,5,1.0,0.0,1,1.0,0.0,1,1.0,0.0,1,1.0,1.0,1,0.0,0.0,1
anthropic/claude-sonnet-4-6@default,Midcentury_7857,0,0,0,0,1,1,0,NYT,1999,4111,multi_focus_epu_last,1.0,0.0,0.82,"Mr. Zedillo, though, made it clear that he had no plans to abandon his policy of a virtually free-floating peso.",1,1,0.4,5,1.0,0.0,1,1.0,0.0,1,1.0,0.0,1,1.0,1.0,1,1.0,1.0,1
anthropic/claude-sonnet-4-6@default,Current_411,1,1,1,0,1,1,0,LAT,1993,9813,single_focus,1.0,1.0,0.95,they are heading home today uncertain whether the Clinton Administration will obtain an agreement with strong enough anti-dumping provisions that they will be able to support it,1,1,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.0,0
anthropic/claude-sonnet-4-6@default,Current_411,1,1,1,0,1,1,0,LAT,1993,9813,multi_focus_epu_first,1.0,1.0,0.88,they are heading home today uncertain whether the Clinton Administration will obtain an agreement with strong enough anti-dumping provisions that they will be able to support it,1,1,0.4,5,0.0,0.0,1,1.0,1.0,1,1.0,0.0,1,1.0,1.0,1,0.0,0.0,1
anthropic/claude-sonnet-4-6@default,Current_411,1,1,1,0,1,1,0,LAT,1993,9813,multi_focus_epu_last,1.0,1.0,0.92,they are heading home today uncertain whether the Clinton Administration will obtain an agreement with strong enough anti-dumping provisions that they will be able to support it,1,1,0.6,5,1.0,1.0,1,1.0,1.0,1,1.0,0.0,1,1.0,1.0,1,0.0,0.0,1
anthropic/claude-sonnet-4-6@default,Current_769,1,0,0,1,0,0,0,LAT,2001,11351,single_focus,0.0,0.0,0.72,negotiations with the state broke down over pay raises,1,1,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.0,0
anthropic/claude-sonnet-4-6@default,Current_769,1,0,0,1,0,0,0,LAT,2001,11351,multi_focus_epu_first,0.0,0.0,0.72,negotiations with the state broke down over pay raises,1,1,0.4,5,-1.0,0.0,1,-1.0,0.0,1,-1.0,0.0,1,0.0,1.0,1,0.0,1.0,1
anthropic/claude-sonnet-4-6@default,Current_769,1,0,0,1,0,0,0,LAT,2001,11351,multi_focus_epu_last,1.0,1.0,0.72,"negotiations with the state broke down over pay raises... his last offer would elevate them to the top 10... The walkout comes at a delicate time for Hawaii, which is now facing uncertain economic prospects",0,1,0.6,5,1.0,0.0,1,1.0,0.0,1,1.0,1.0,1,0.0,1.0,1,0.0,1.0,1
anthropic/claude-sonnet-4-6@default,Current_98,1,0,1,0,1,1,1,DMNB,2000,3246,single_focus,0.0,0.0,0.92,"the shift back to high-tech was more symptomatic of overall uncertainty in the market, rather than any bargain hunting by investors",0,1,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.0,0
anthropic/claude-sonnet-4-6@default,Current_98,1,0,1,0,1,1,1,DMNB,2000,3246,multi_focus_epu_first,0.0,0.0,0.92,"the shift back to high-tech was more symptomatic of overall uncertainty in the market, rather than any bargain hunting by investors",0,1,0.2,5,-1.0,0.0,1,-1.0,0.0,1,-1.0,0.0,1,1.0,1.0,1,0.0,0.0,1
anthropic/claude-sonnet-4-6@default,Current_98,1,0,1,0,1,1,1,DMNB,2000,3246,multi_focus_epu_last,0.0,0.0,0.85,"Analysts said the shift back to high-tech was more symptomatic of overall uncertainty in the market, rather than any bargain hunting by investors.",0,1,0.2,5,-1.0,0.0,1,-1.0,0.0,1,-1.0,0.0,1,1.0,1.0,1,0.0,0.0,1
anthropic/claude-sonnet-4-6@default,Current_58,1,0,1,0,1,0,1,SFC,2009,4912,single_focus,1.0,1.0,0.85,"everyone agrees some policy changes are needed, but we probably don't need more rules - just better ones. While Washington is telling us to lend, lend, lend, regulators are combing through our loans and insisting that we value loans based on the depr",0,1,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.0,0
anthropic/claude-sonnet-4-6@default,Current_58,1,0,1,0,1,0,1,SFC,2009,4912,multi_focus_epu_first,1.0,1.0,0.72,"While Washington is telling us to lend, lend, lend, regulators are combing through our loans and insisting that we value loans based on the depressed market, not the values on which they were made... As long as regulators continue these policies, the",0,1,0.6,5,0.0,1.0,1,1.0,1.0,1,1.0,0.0,1,0.0,0.0,1,0.0,1.0,1
anthropic/claude-sonnet-4-6@default,Current_58,1,0,1,0,1,0,1,SFC,2009,4912,multi_focus_epu_last,1.0,1.0,0.82,"Everyone agrees some policy changes are needed, but we probably don't need more rules - just better ones. While Washington is telling us to lend, lend, lend, regulators are combing through our loans and insisting that we value loans based on the depr",1,1,0.4,5,-1.0,0.0,1,1.0,1.0,1,1.0,0.0,1,0.0,0.0,1,0.0,1.0,1
anthropic/claude-sonnet-4-6@default,Current_1440,0,0,0,0,0,0,0,LAT,1987,8557,single_focus,0.0,1.0,0.92,The warlord's habitat is a vacuum -- the collapse of central authority. And his ideology seldom ventures beyond the mercenary.,1,1,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.0,0
anthropic/claude-sonnet-4-6@default,Current_1440,0,0,0,0,0,0,0,LAT,1987,8557,multi_focus_epu_first,0.0,1.0,0.95,The warlord's habitat is a vacuum -- the collapse of central authority. And his ideology seldom ventures beyond the mercenary.,1,1,0.0,5,-1.0,0.0,1,-1.0,0.0,1,-1.0,0.0,1,1.0,0.0,1,1.0,0.0,1
anthropic/claude-sonnet-4-6@default,Current_1440,0,0,0,0,0,0,0,LAT,1987,8557,multi_focus_epu_last,0.0,1.0,0.95,The warlord's habitat is a vacuum -- the collapse of central authority. And his ideology seldom ventures beyond the mercenary.,1,1,0.0,5,-1.0,0.0,1,-1.0,0.0,1,-1.0,0.0,1,1.0,0.0,1,1.0,0.0,1
anthropic/claude-sonnet-4-6@default,Current_1870,1,0,1,0,0,0,0,SFC,1997,6370,single_focus,1.0,1.0,0.92,U.S. policymakers are about to make such a determination... The U.S. Environmental Protection Agency is busy collecting public input on its proposal to tighten the standards on smog and soot... The Republican-controlled Congress has the authority to ,0,1,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.0,0
anthropic/claude-sonnet-4-6@default,Current_1870,1,0,1,0,0,0,0,SFC,1997,6370,multi_focus_epu_first,1.0,1.0,0.92,U.S. policymakers are about to make such a determination...The U.S. Environmental Protection Agency is busy collecting public input on its proposal to tighten the standards on smog and soot...The Republican-controlled Congress has the authority to ve,0,1,0.6,5,1.0,0.0,1,1.0,1.0,1,1.0,0.0,1,0.0,1.0,1,0.0,1.0,1
anthropic/claude-sonnet-4-6@default,Current_1870,1,0,1,0,0,0,0,SFC,1997,6370,multi_focus_epu_last,1.0,1.0,0.92,U.S. policymakers are about to make such a determination...The U.S. Environmental Protection Agency is busy collecting public input on its proposal to tighten the standards on smog and soot.,0,1,0.6,5,-1.0,0.0,1,1.0,1.0,1,1.0,0.0,1,0.0,1.0,1,0.0,1.0,1
anthropic/claude-sonnet-4-6@default,Midcentury_5357,1,0,1,1,0,0,0,CHI,1987,5146,single_focus,1.0,1.0,0.82,"the rate freeze would promote certainty over energy costs... greater certainty would allow industry to plan better, giving it an edge over competitors in other markets",0,1,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.0,0
anthropic/claude-sonnet-4-6@default,Midcentury_5357,1,0,1,1,0,0,0,CHI,1987,5146,multi_focus_epu_first,1.0,1.0,0.82,the rate freeze would promote certainty over energy costs... the rate stability would be the equivalent of pumping $765 million into the Chicago economy over five years,0,1,0.8,5,0.0,1.0,1,0.0,0.0,1,1.0,1.0,1,0.0,1.0,1,0.0,1.0,1
anthropic/claude-sonnet-4-6@default,Midcentury_5357,1,0,1,1,0,0,0,CHI,1987,5146,multi_focus_epu_last,1.0,1.0,0.85,"He figures the rate stability would be the equivalent of pumping $765 million into the Chicago economy over five years. And this greater certainty would allow industry to plan better, giving it an edge over competitors in other markets",0,1,0.8,5,0.0,1.0,1,0.0,0.0,1,1.0,1.0,1,0.0,1.0,1,0.0,1.0,1
anthropic/claude-sonnet-4-6@default,Current_1275,0,0,0,0,0,0,0,DMNB,2009,8038,single_focus,0.0,1.0,0.85,Businesses are understandably reluctant to sign long-term real estate deals with the verdict on the economy still uncertain.,0,1,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.0,0
anthropic/claude-sonnet-4-6@default,Current_1275,0,0,0,0,0,0,0,DMNB,2009,8038,multi_focus_epu_first,0.0,1.0,0.85,Businesses are understandably reluctant to sign long-term real estate deals with the verdict on the economy still uncertain.,0,1,0.4,5,-1.0,0.0,1,-1.0,0.0,1,-1.0,0.0,1,0.0,1.0,1,0.0,1.0,1
anthropic/claude-sonnet-4-6@default,Current_1275,0,0,0,0,0,0,0,DMNB,2009,8038,multi_focus_epu_last,0.0,1.0,0.82,Businesses are understandably reluctant to sign long-term real estate deals with the verdict on the economy still uncertain.,0,1,0.4,5,-1.0,0.0,1,-1.0,0.0,1,-1.0,0.0,1,0.0,1.0,1,0.0,1.0,1
anthropic/claude-sonnet-4-6@default,Current_15,0,0,0,0,0,0,0,NYT,2000,1285,single_focus,0.0,1.0,0.8,taking the huge amounts of government-provided low-cost electricity they would have used for producing aluminum and selling it back to the government for as much as 20 times what they paid,1,1,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.0,0
