article_key,llm_name,gold_epu,disagreement_flag,single_acc,single_long_control_acc,primary_first_acc,primary_last_acc,primary_first_pred,primary_last_pred,order_flip
Midcentury_7569,deepseek-ai/deepseek-v3.2,1,0,1.0,1.0,1.0,1.0,1,1,0
Current_840,deepseek-ai/deepseek-v3.2,1,1,1.0,1.0,1.0,0.0,1,0,1
Current_1795,deepseek-ai/deepseek-v3.2,0,0,1.0,1.0,1.0,1.0,0,0,0
Current_292,deepseek-ai/deepseek-v3.2,0,1,1.0,0.0,1.0,1.0,0,0,0
Midcentury_6605,deepseek-ai/deepseek-v3.2,1,0,1.0,1.0,1.0,1.0,1,1,0
Midcentury_7618,deepseek-ai/deepseek-v3.2,1,0,0.0,0.0,0.0,1.0,0,1,1
Current_79,deepseek-ai/deepseek-v3.2,0,0,1.0,1.0,1.0,1.0,0,0,0
Midcentury_8077,deepseek-ai/deepseek-v3.2,0,0,1.0,1.0,1.0,1.0,0,0,0
Current_654,deepseek-ai/deepseek-v3.2,0,0,1.0,1.0,1.0,1.0,0,0,0
Midcentury_4968,deepseek-ai/deepseek-v3.2,1,0,1.0,1.0,1.0,1.0,1,1,0
Current_1196,deepseek-ai/deepseek-v3.2,1,1,1.0,1.0,1.0,1.0,1,1,0
Current_1953,deepseek-ai/deepseek-v3.2,1,0,0.0,0.0,0.0,0.0,0,0,0
Current_733,deepseek-ai/deepseek-v3.2,0,0,1.0,1.0,1.0,1.0,0,0,0
Current_1975,deepseek-ai/deepseek-v3.2,1,0,0.0,0.0,0.0,0.0,0,0,0
Current_814,deepseek-ai/deepseek-v3.2,1,1,0.0,1.0,1.0,0.0,1,0,1
Current_1650,deepseek-ai/deepseek-v3.2,1,1,0.0,0.0,0.0,0.0,0,0,0
Midcentury_1448,deepseek-ai/deepseek-v3.2,0,0,1.0,1.0,1.0,1.0,0,0,0
Current_1898,deepseek-ai/deepseek-v3.2,0,0,1.0,1.0,1.0,1.0,0,0,0
Current_125,deepseek-ai/deepseek-v3.2,1,0,0.0,1.0,1.0,0.0,1,0,1
Current_32,deepseek-ai/deepseek-v3.2,1,1,0.0,0.0,0.0,0.0,0,0,0
Midcentury_7951,deepseek-ai/deepseek-v3.2,0,0,1.0,1.0,1.0,1.0,0,0,0
Current_523,deepseek-ai/deepseek-v3.2,1,1,1.0,1.0,1.0,1.0,1,1,0
Current_1945,deepseek-ai/deepseek-v3.2,0,0,1.0,1.0,1.0,1.0,0,0,0
Current_199,deepseek-ai/deepseek-v3.2,1,1,0.0,0.0,0.0,0.0,0,0,0
Current_1857,deepseek-ai/deepseek-v3.2,1,0,1.0,1.0,1.0,1.0,1,1,0
Current_411,deepseek-ai/deepseek-v3.2,1,0,1.0,1.0,1.0,1.0,1,1,0
Current_689,deepseek-ai/deepseek-v3.2,0,0,1.0,1.0,1.0,1.0,0,0,0
Current_1424,deepseek-ai/deepseek-v3.2,1,0,1.0,1.0,1.0,1.0,1,1,0
Current_1608,deepseek-ai/deepseek-v3.2,1,0,0.0,0.0,0.0,0.0,0,0,0
Current_38,deepseek-ai/deepseek-v3.2,0,0,1.0,1.0,0.0,1.0,1,0,1
Current_1502,deepseek-ai/deepseek-v3.2,1,0,0.0,0.0,0.0,0.0,0,0,0
Current_892,deepseek-ai/deepseek-v3.2,1,0,0.0,0.0,1.0,0.0,1,0,1
Current_1552,deepseek-ai/deepseek-v3.2,1,0,0.0,0.0,0.0,0.0,0,0,0
Current_882,deepseek-ai/deepseek-v3.2,1,1,0.0,0.0,1.0,1.0,1,1,0
Current_1209,deepseek-ai/deepseek-v3.2,0,0,1.0,1.0,1.0,1.0,0,0,0
Current_34,deepseek-ai/deepseek-v3.2,1,1,1.0,1.0,1.0,0.0,1,0,1
Current_1157,deepseek-ai/deepseek-v3.2,0,1,1.0,0.0,0.0,1.0,1,0,1
Midcentury_2037,deepseek-ai/deepseek-v3.2,0,0,1.0,1.0,1.0,1.0,0,0,0
Current_100,deepseek-ai/deepseek-v3.2,0,1,1.0,1.0,1.0,1.0,0,0,0
Current_501,deepseek-ai/deepseek-v3.2,1,1,0.0,0.0,0.0,0.0,0,0,0
Current_320,deepseek-ai/deepseek-v3.2,1,0,1.0,0.0,0.0,0.0,0,0,0
Current_191,deepseek-ai/deepseek-v3.2,0,0,1.0,1.0,1.0,1.0,0,0,0
Current_134,deepseek-ai/deepseek-v3.2,1,1,0.0,0.0,0.0,0.0,0,0,0
Midcentury_6247,deepseek-ai/deepseek-v3.2,0,0,1.0,1.0,0.0,1.0,1,0,1
Current_868,deepseek-ai/deepseek-v3.2,0,0,1.0,1.0,1.0,1.0,0,0,0
Current_1447,deepseek-ai/deepseek-v3.2,0,0,1.0,1.0,1.0,1.0,0,0,0
Current_438,deepseek-ai/deepseek-v3.2,0,0,0.0,0.0,1.0,0.0,0,1,1
Midcentury_8062,deepseek-ai/deepseek-v3.2,0,0,1.0,0.0,1.0,1.0,0,0,0
Midcentury_6230,deepseek-ai/deepseek-v3.2,0,0,1.0,1.0,1.0,1.0,0,0,0
Current_928,deepseek-ai/deepseek-v3.2,0,0,1.0,1.0,1.0,1.0,0,0,0
Current_502,deepseek-ai/deepseek-v3.2,0,0,1.0,1.0,1.0,1.0,0,0,0
Current_1074,deepseek-ai/deepseek-v3.2,1,0,1.0,1.0,1.0,1.0,1,1,0
Current_1824,deepseek-ai/deepseek-v3.2,1,0,0.0,1.0,0.0,0.0,0,0,0
Current_414,deepseek-ai/deepseek-v3.2,1,1,0.0,0.0,1.0,0.0,1,0,1
Current_984,deepseek-ai/deepseek-v3.2,1,0,1.0,1.0,1.0,1.0,1,1,0
Current_27,deepseek-ai/deepseek-v3.2,0,0,1.0,0.0,1.0,1.0,0,0,0
Current_994,deepseek-ai/deepseek-v3.2,1,1,0.0,0.0,0.0,0.0,0,0,0
Current_272,deepseek-ai/deepseek-v3.2,0,0,1.0,1.0,1.0,1.0,0,0,0
Current_77,deepseek-ai/deepseek-v3.2,1,1,0.0,1.0,0.0,0.0,0,0,0
Current_289,deepseek-ai/deepseek-v3.2,0,0,1.0,1.0,0.0,1.0,1,0,1
Current_284,deepseek-ai/deepseek-v3.2,0,1,1.0,1.0,1.0,1.0,0,0,0
Current_704,deepseek-ai/deepseek-v3.2,0,0,1.0,1.0,0.0,1.0,1,0,1
Current_1279,deepseek-ai/deepseek-v3.2,0,0,1.0,1.0,1.0,1.0,0,0,0
Current_1560,deepseek-ai/deepseek-v3.2,1,0,0.0,0.0,0.0,0.0,0,0,0
Midcentury_3685,deepseek-ai/deepseek-v3.2,1,0,1.0,1.0,0.0,1.0,0,1,1
Current_1031,deepseek-ai/deepseek-v3.2,0,0,1.0,1.0,1.0,1.0,0,0,0
Current_246,deepseek-ai/deepseek-v3.2,0,0,1.0,1.0,1.0,1.0,0,0,0
Current_237,deepseek-ai/deepseek-v3.2,1,1,0.0,0.0,0.0,0.0,0,0,0
Midcentury_7466,deepseek-ai/deepseek-v3.2,1,0,0.0,1.0,1.0,0.0,1,0,1
Current_239,deepseek-ai/deepseek-v3.2,1,0,0.0,1.0,1.0,0.0,1,0,1
Current_769,deepseek-ai/deepseek-v3.2,1,0,0.0,0.0,0.0,0.0,0,0,0
Current_940,deepseek-ai/deepseek-v3.2,1,0,0.0,0.0,0.0,0.0,0,0,0
Current_98,deepseek-ai/deepseek-v3.2,1,1,0.0,0.0,0.0,0.0,0,0,0
Midcentury_7864,deepseek-ai/deepseek-v3.2,1,0,0.0,0.0,0.0,0.0,0,0,0
Current_73,deepseek-ai/deepseek-v3.2,1,0,0.0,1.0,1.0,0.0,1,0,1
Midcentury_7130,deepseek-ai/deepseek-v3.2,0,0,1.0,1.0,1.0,1.0,0,0,0
Current_465,deepseek-ai/deepseek-v3.2,1,1,1.0,1.0,1.0,1.0,1,1,0
Current_972,deepseek-ai/deepseek-v3.2,0,1,1.0,1.0,1.0,1.0,0,0,0
Current_326,deepseek-ai/deepseek-v3.2,1,0,0.0,0.0,0.0,0.0,0,0,0
Current_184,deepseek-ai/deepseek-v3.2,1,1,0.0,0.0,0.0,0.0,0,0,0
Current_1861,deepseek-ai/deepseek-v3.2,0,0,1.0,1.0,1.0,1.0,0,0,0
Current_618,deepseek-ai/deepseek-v3.2,1,1,0.0,1.0,0.0,0.0,0,0,0
Current_1470,deepseek-ai/deepseek-v3.2,1,1,0.0,1.0,1.0,1.0,1,1,0
Current_1791,deepseek-ai/deepseek-v3.2,1,0,1.0,1.0,1.0,1.0,1,1,0
Current_1962,deepseek-ai/deepseek-v3.2,1,0,0.0,0.0,0.0,0.0,0,0,0
Current_918,deepseek-ai/deepseek-v3.2,0,0,1.0,1.0,1.0,1.0,0,0,0
Current_1403,deepseek-ai/deepseek-v3.2,0,0,1.0,1.0,1.0,1.0,0,0,0
Current_556,deepseek-ai/deepseek-v3.2,0,1,0.0,1.0,0.0,1.0,1,0,1
Current_876,deepseek-ai/deepseek-v3.2,1,1,0.0,0.0,0.0,0.0,0,0,0
Current_256,deepseek-ai/deepseek-v3.2,0,0,1.0,1.0,1.0,1.0,0,0,0
Current_491,deepseek-ai/deepseek-v3.2,1,0,0.0,1.0,1.0,1.0,1,1,0
Current_1647,deepseek-ai/deepseek-v3.2,1,0,0.0,0.0,1.0,0.0,1,0,1
Midcentury_5796,deepseek-ai/deepseek-v3.2,1,1,0.0,0.0,1.0,0.0,1,0,1
Current_1271,deepseek-ai/deepseek-v3.2,1,0,0.0,1.0,0.0,0.0,0,0,0
Current_1269,deepseek-ai/deepseek-v3.2,1,0,0.0,0.0,1.0,0.0,1,0,1
Current_505,deepseek-ai/deepseek-v3.2,0,0,1.0,1.0,1.0,1.0,0,0,0
Midcentury_2529,deepseek-ai/deepseek-v3.2,1,0,1.0,1.0,1.0,1.0,1,1,0
Current_1490,deepseek-ai/deepseek-v3.2,1,0,0.0,0.0,0.0,0.0,0,0,0
Midcentury_2628,deepseek-ai/deepseek-v3.2,1,0,1.0,1.0,0.0,0.0,0,0,0
Current_1664,deepseek-ai/deepseek-v3.2,0,0,1.0,1.0,1.0,1.0,0,0,0
Current_157,deepseek-ai/deepseek-v3.2,0,0,1.0,1.0,0.0,1.0,1,0,1
Current_264,deepseek-ai/deepseek-v3.2,1,1,1.0,1.0,1.0,1.0,1,1,0
Current_1210,deepseek-ai/deepseek-v3.2,1,1,0.0,0.0,0.0,0.0,0,0,0
Current_91,deepseek-ai/deepseek-v3.2,0,0,1.0,1.0,1.0,1.0,0,0,0
Current_1162,deepseek-ai/deepseek-v3.2,1,0,1.0,1.0,1.0,0.0,1,0,1
Current_1359,deepseek-ai/deepseek-v3.2,1,1,0.0,0.0,0.0,0.0,0,0,0
Current_1622,deepseek-ai/deepseek-v3.2,1,0,1.0,1.0,1.0,0.0,1,0,1
Midcentury_7530,deepseek-ai/deepseek-v3.2,0,0,1.0,1.0,1.0,1.0,0,0,0
Current_7,deepseek-ai/deepseek-v3.2,0,1,1.0,1.0,1.0,1.0,0,0,0
Current_306,deepseek-ai/deepseek-v3.2,1,1,1.0,1.0,1.0,1.0,1,1,0
Current_1851,deepseek-ai/deepseek-v3.2,0,0,1.0,1.0,1.0,1.0,0,0,0
Current_1373,deepseek-ai/deepseek-v3.2,0,0,1.0,1.0,1.0,1.0,0,0,0
Midcentury_6075,deepseek-ai/deepseek-v3.2,0,0,1.0,1.0,1.0,1.0,0,0,0
Current_1449,deepseek-ai/deepseek-v3.2,1,1,0.0,0.0,0.0,0.0,0,0,0
Current_1443,deepseek-ai/deepseek-v3.2,1,1,0.0,0.0,0.0,0.0,0,0,0
Current_1997,deepseek-ai/deepseek-v3.2,1,0,0.0,1.0,0.0,0.0,0,0,0
