article_key,condition,llm_name,full_focus_epu_last_epu_pred,full_focus_epu_last_epu_correct,full_focus_epu_last_confidence,full_focus_epu_last_focus_excerpt,full_focus_epu_last_excerpt_in_target,full_focus_epu_last_json_valid,full_focus_epu_last_parse_status,full_focus_epu_last_raw_json,full_focus_epu_last_who_pred,full_focus_epu_last_who_correct,full_focus_epu_last_who_requested,full_focus_epu_last_who_present,full_focus_epu_last_actions_pred,full_focus_epu_last_actions_correct,full_focus_epu_last_actions_requested,full_focus_epu_last_actions_present,full_focus_epu_last_effects_pred,full_focus_epu_last_effects_correct,full_focus_epu_last_effects_requested,full_focus_epu_last_effects_present,full_focus_epu_last_mention_foreign_pred,full_focus_epu_last_mention_foreign_correct,full_focus_epu_last_mention_foreign_requested,full_focus_epu_last_mention_foreign_present,full_focus_epu_last_mainly_foreign_pred,full_focus_epu_last_mainly_foreign_correct,full_focus_epu_last_mainly_foreign_requested,full_focus_epu_last_mainly_foreign_present,full_focus_epu_last_requested_task_count,full_focus_epu_last_task_completion_count,full_focus_epu_last_completion_share,full_focus_epu_last_aux_mean
Midcentury_7569,full_focus_epu_last,google/gemini-3.1-pro-preview,1,1.0,0.95,uncertainty over the fate of the Administration's budget and health plans is widely cited as a soaree of restraint.,0,1,ok,"{
  ""epu"": 1,
  ""who"": 0,
  ""actions"": 1,
  ""effects"": 0,
  ""mention_foreign"": 0,
  ""mainly_foreign"": 0,
  ""confidence"": 0.95,
  ""focus_excerpt"": ""uncertainty over the fate of the Administration's budget and health plans is widely cited as a soaree of restraint.""
}",0.0,1.0,1,1,1.0,1.0,1,1,0.0,0.0,1,1,0,1.0,1,1,0,1.0,1,1,5,5,1.0,0.8
Current_840,full_focus_epu_last,google/gemini-3.1-pro-preview,1,1.0,0.95,uncertainty over budget negotiations between President Clinton and Congress could prompt the Fed to take a wait-and-see approach,0,1,ok,"{
  ""epu"": 1,
  ""who"": 0,
  ""actions"": 1,
  ""effects"": 0,
  ""mention_foreign"": 0,
  ""mainly_foreign"": 0,
  ""confidence"": 0.95,
  ""focus_excerpt"": ""uncertainty over budget negotiations between President Clinton and Congress could prompt the Fed to take a wait-and-see approach""
}",0.0,1.0,1,1,1.0,1.0,1,1,0.0,1.0,1,1,0,1.0,1,1,0,1.0,1,1,5,5,1.0,1.0
Current_1795,full_focus_epu_last,google/gemini-3.1-pro-preview,0,1.0,0.95,"But the change also makes Nid Paw and other refugees uncertain about the lives they will leave behind and the problems they will face with a different culture, language and educational system",1,1,ok,"```json
{
  ""epu"": 0,
  ""who"": null,
  ""actions"": null,
  ""effects"": null,
  ""mention_foreign"": 1,
  ""mainly_foreign"": 1,
  ""confidence"": 0.95,
  ""focus_excerpt"": ""But the change also makes Nid Paw and other refugees uncertain about the lives they will leave behind and the problems they will face with a different culture, language and educational system""
}
```",,0.0,1,0,,0.0,1,0,,0.0,1,0,1,0.0,1,1,1,0.0,1,1,5,2,0.4,0.0
Current_292,full_focus_epu_last,google/gemini-3.1-pro-preview,0,1.0,0.95,A continuation of this stampede to the West could lead to the collapse of the East German economy with unpredictable political consequences.,1,1,ok,"{
  ""epu"": 0,
  ""who"": null,
  ""actions"": null,
  ""effects"": null,
  ""mention_foreign"": 1,
  ""mainly_foreign"": 1,
  ""confidence"": 0.95,
  ""focus_excerpt"": ""A continuation of this stampede to the West could lead to the collapse of the East German economy with unpredictable political consequences.""
}",,0.0,1,0,,0.0,1,0,,0.0,1,0,1,0.0,1,1,1,0.0,1,1,5,2,0.4,0.0
Midcentury_6605,full_focus_epu_last,google/gemini-3.1-pro-preview,1,1.0,0.95,"Will Congress, for example, find the will to cut Federal spending, which in turn would tend to reduce the budget deficit, interest rates and perhaps even the international value of the dollar? Will taxes be raised and, if so, how will the increased bur­den be distributed?",1,1,ok,"```json
{
  ""epu"": 1,
  ""who"": 0,
  ""actions"": 1,
  ""effects"": 1,
  ""mention_foreign"": 1,
  ""mainly_foreign"": 0,
  ""confidence"": 0.95,
  ""focus_excerpt"": ""Will Congress, for example, find the will to cut Federal spending, which in turn would tend to reduce the budget deficit, interest rates and perhaps even the international value of the dollar? Will taxes be raised and, if so, how will the increased bur\u00adden be distributed?""
}
```",0.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1,1.0,1,1,0,1.0,1,1,5,5,1.0,1.0
Midcentury_7618,full_focus_epu_last,google/gemini-3.1-pro-preview,0,0.0,0.9,The nation depended tto much on foreign lend­ing. He saw the stock market as so wildly overvalued that he dumped his own stocks a few years ago,1,1,ok,"{
  ""epu"": 0,
  ""who"": null,
  ""actions"": null,
  ""effects"": null,
  ""mention_foreign"": 1,
  ""mainly_foreign"": 0,
  ""confidence"": 0.9,
  ""focus_excerpt"": ""The nation depended tto much on foreign lend\u00ading. He saw the stock market as so wildly overvalued that he dumped his own stocks a few years ago""
}",,0.0,1,0,,0.0,1,0,,0.0,1,0,1,0.0,1,1,0,1.0,1,1,5,2,0.4,0.2
Current_79,full_focus_epu_last,google/gemini-3.1-pro-preview,0,1.0,1.0,"In the contest over who would dictate the course of Israeli policy, the generals had prevailed.",1,1,ok,"{
  ""epu"": 0,
  ""who"": null,
  ""actions"": null,
  ""effects"": null,
  ""mention_foreign"": 1,
  ""mainly_foreign"": 1,
  ""confidence"": 1.0,
  ""focus_excerpt"": ""In the contest over who would dictate the course of Israeli policy, the generals had prevailed.""
}",,0.0,1,0,,0.0,1,0,,0.0,1,0,1,0.0,1,1,1,0.0,1,1,5,2,0.4,0.0
Midcentury_8077,full_focus_epu_last,google/gemini-3.1-pro-preview,0,1.0,1.0,continuing uncertainty over what BCCI assets are left,1,1,ok,"{
  ""epu"": 0,
  ""who"": null,
  ""actions"": null,
  ""effects"": null,
  ""mention_foreign"": 1,
  ""mainly_foreign"": 0,
  ""confidence"": 1.0,
  ""focus_excerpt"": ""continuing uncertainty over what BCCI assets are left""
}",,0.0,1,0,,0.0,1,0,,0.0,1,0,1,0.0,1,1,0,1.0,1,1,5,2,0.4,0.2
Current_654,full_focus_epu_last,google/gemini-3.1-pro-preview,1,0.0,0.95,"Christine Callies, chief investment strategist at Credit Suisse First Boston in New York, expects the market to remain turbulent until a clear direction for interest rates emerges from next month's Federal Reserve meeting.",1,1,ok,"{
  ""epu"": 1,
  ""who"": 0,
  ""actions"": 1,
  ""effects"": 1,
  ""mention_foreign"": 0,
  ""mainly_foreign"": 0,
  ""confidence"": 0.95,
  ""focus_excerpt"": ""Christine Callies, chief investment strategist at Credit Suisse First Boston in New York, expects the market to remain turbulent until a clear direction for interest rates emerges from next month's Federal Reserve meeting.""
}",0.0,1.0,1,1,1.0,0.0,1,1,1.0,0.0,1,1,0,0.0,1,1,0,0.0,1,1,5,5,1.0,0.2
Midcentury_4968,full_focus_epu_last,google/gemini-3.1-pro-preview,1,1.0,0.95,But the feeling of uncertainty over the future of China's economic liberalization program and the unwillingness of business to make new investments in China are accelerating the decline there.,0,1,ok,"{
  ""epu"": 1,
  ""who"": 0,
  ""actions"": 1,
  ""effects"": 0,
  ""mention_foreign"": 1,
  ""mainly_foreign"": 1,
  ""confidence"": 0.95,
  ""focus_excerpt"": ""But the feeling of uncertainty over the future of China's economic liberalization program and the unwillingness of business to make new investments in China are accelerating the decline there.""
}",0.0,1.0,1,1,1.0,1.0,1,1,0.0,1.0,1,1,1,1.0,1,1,1,1.0,1,1,5,5,1.0,1.0
