article_key,llm_name,gold_epu,disagreement_flag,single_acc,single_long_control_acc,primary_first_acc,primary_last_acc,primary_first_pred,primary_last_pred,order_flip
Midcentury_7569,openai/gpt-5.4-2026-03-05,1,0,1.0,1.0,1.0,1.0,1,1.0,0
Current_840,openai/gpt-5.4-2026-03-05,1,1,1.0,1.0,1.0,1.0,1,1.0,0
Current_1795,openai/gpt-5.4-2026-03-05,0,0,0.0,0.0,0.0,0.0,1,1.0,0
Current_292,openai/gpt-5.4-2026-03-05,0,1,1.0,1.0,0.0,1.0,1,0.0,1
Midcentury_6605,openai/gpt-5.4-2026-03-05,1,0,1.0,1.0,1.0,1.0,1,1.0,0
Midcentury_7618,openai/gpt-5.4-2026-03-05,1,0,1.0,1.0,1.0,1.0,1,1.0,0
Current_79,openai/gpt-5.4-2026-03-05,0,0,1.0,1.0,1.0,1.0,0,0.0,0
Midcentury_8077,openai/gpt-5.4-2026-03-05,0,0,0.0,1.0,0.0,1.0,1,0.0,1
Current_654,openai/gpt-5.4-2026-03-05,0,0,1.0,1.0,0.0,1.0,1,0.0,1
Midcentury_4968,openai/gpt-5.4-2026-03-05,1,0,1.0,1.0,1.0,1.0,1,1.0,0
Current_1196,openai/gpt-5.4-2026-03-05,1,1,1.0,1.0,1.0,1.0,1,1.0,0
Current_1953,openai/gpt-5.4-2026-03-05,1,0,0.0,0.0,0.0,0.0,0,0.0,0
Current_733,openai/gpt-5.4-2026-03-05,0,0,1.0,1.0,1.0,1.0,0,0.0,0
Current_1975,openai/gpt-5.4-2026-03-05,1,0,1.0,0.0,0.0,0.0,0,0.0,0
Current_814,openai/gpt-5.4-2026-03-05,1,1,1.0,1.0,1.0,1.0,1,1.0,0
Current_1650,openai/gpt-5.4-2026-03-05,1,1,0.0,0.0,0.0,0.0,0,0.0,0
Midcentury_1448,openai/gpt-5.4-2026-03-05,0,0,0.0,0.0,0.0,0.0,1,1.0,0
Current_1898,openai/gpt-5.4-2026-03-05,0,0,1.0,1.0,1.0,1.0,0,0.0,0
Current_125,openai/gpt-5.4-2026-03-05,1,0,1.0,1.0,1.0,0.0,1,0.0,1
Current_32,openai/gpt-5.4-2026-03-05,1,1,0.0,0.0,0.0,0.0,0,0.0,0
Midcentury_7951,openai/gpt-5.4-2026-03-05,0,0,1.0,1.0,1.0,1.0,0,0.0,0
Current_523,openai/gpt-5.4-2026-03-05,1,1,1.0,1.0,1.0,1.0,1,1.0,0
Current_1945,openai/gpt-5.4-2026-03-05,0,0,1.0,0.0,1.0,1.0,0,0.0,0
Current_199,openai/gpt-5.4-2026-03-05,1,1,0.0,0.0,0.0,0.0,0,0.0,0
Current_1857,openai/gpt-5.4-2026-03-05,1,0,1.0,1.0,1.0,0.0,1,0.0,1
Current_411,openai/gpt-5.4-2026-03-05,1,0,1.0,1.0,1.0,1.0,1,1.0,0
Current_689,openai/gpt-5.4-2026-03-05,0,0,1.0,1.0,1.0,1.0,0,0.0,0
Current_1424,openai/gpt-5.4-2026-03-05,1,0,1.0,1.0,1.0,1.0,1,1.0,0
Current_1608,openai/gpt-5.4-2026-03-05,1,0,0.0,0.0,1.0,0.0,1,0.0,1
Current_38,openai/gpt-5.4-2026-03-05,0,0,0.0,0.0,0.0,0.0,1,1.0,0
Current_1502,openai/gpt-5.4-2026-03-05,1,0,0.0,0.0,0.0,0.0,0,0.0,0
Current_892,openai/gpt-5.4-2026-03-05,1,0,0.0,0.0,1.0,0.0,1,0.0,1
Current_1552,openai/gpt-5.4-2026-03-05,1,0,1.0,1.0,1.0,1.0,1,1.0,0
Current_882,openai/gpt-5.4-2026-03-05,1,1,1.0,1.0,1.0,1.0,1,1.0,0
Current_1209,openai/gpt-5.4-2026-03-05,0,0,1.0,1.0,1.0,1.0,0,0.0,0
Current_34,openai/gpt-5.4-2026-03-05,1,1,1.0,1.0,1.0,1.0,1,1.0,0
Current_1157,openai/gpt-5.4-2026-03-05,0,1,0.0,0.0,0.0,0.0,1,1.0,0
Midcentury_2037,openai/gpt-5.4-2026-03-05,0,0,1.0,1.0,1.0,1.0,0,0.0,0
Current_100,openai/gpt-5.4-2026-03-05,0,1,1.0,1.0,1.0,1.0,0,0.0,0
Current_501,openai/gpt-5.4-2026-03-05,1,1,0.0,0.0,0.0,0.0,0,0.0,0
Current_320,openai/gpt-5.4-2026-03-05,1,0,0.0,0.0,1.0,0.0,1,0.0,1
Current_191,openai/gpt-5.4-2026-03-05,0,0,1.0,1.0,1.0,1.0,0,0.0,0
Current_134,openai/gpt-5.4-2026-03-05,1,1,0.0,0.0,0.0,0.0,0,0.0,0
Midcentury_6247,openai/gpt-5.4-2026-03-05,0,0,0.0,0.0,0.0,1.0,1,0.0,1
Current_868,openai/gpt-5.4-2026-03-05,0,0,1.0,1.0,1.0,1.0,0,0.0,0
Current_1447,openai/gpt-5.4-2026-03-05,0,0,1.0,1.0,0.0,1.0,1,0.0,1
Current_438,openai/gpt-5.4-2026-03-05,0,0,1.0,1.0,1.0,1.0,0,0.0,0
Midcentury_8062,openai/gpt-5.4-2026-03-05,0,0,0.0,0.0,0.0,0.0,1,1.0,0
Midcentury_6230,openai/gpt-5.4-2026-03-05,0,0,0.0,0.0,0.0,0.0,1,1.0,0
Current_928,openai/gpt-5.4-2026-03-05,0,0,1.0,1.0,1.0,1.0,0,0.0,0
Current_502,openai/gpt-5.4-2026-03-05,0,0,1.0,1.0,1.0,1.0,0,0.0,0
Current_1074,openai/gpt-5.4-2026-03-05,1,0,1.0,1.0,1.0,1.0,1,1.0,0
Current_1824,openai/gpt-5.4-2026-03-05,1,0,0.0,0.0,1.0,0.0,1,0.0,1
Current_414,openai/gpt-5.4-2026-03-05,1,1,1.0,1.0,1.0,1.0,1,1.0,0
Current_984,openai/gpt-5.4-2026-03-05,1,0,1.0,1.0,1.0,1.0,1,1.0,0
Current_27,openai/gpt-5.4-2026-03-05,0,0,0.0,0.0,1.0,0.0,0,1.0,1
Current_994,openai/gpt-5.4-2026-03-05,1,1,1.0,1.0,1.0,0.0,1,0.0,1
Current_272,openai/gpt-5.4-2026-03-05,0,0,1.0,1.0,1.0,1.0,0,0.0,0
Current_77,openai/gpt-5.4-2026-03-05,1,1,1.0,1.0,1.0,1.0,1,1.0,0
Current_289,openai/gpt-5.4-2026-03-05,0,0,0.0,0.0,0.0,0.0,1,1.0,0
Current_284,openai/gpt-5.4-2026-03-05,0,1,1.0,0.0,0.0,1.0,1,0.0,1
Current_704,openai/gpt-5.4-2026-03-05,0,0,0.0,1.0,1.0,1.0,0,0.0,0
Current_1279,openai/gpt-5.4-2026-03-05,0,0,1.0,1.0,0.0,1.0,1,0.0,1
Current_1560,openai/gpt-5.4-2026-03-05,1,0,1.0,1.0,1.0,0.0,1,0.0,1
Midcentury_3685,openai/gpt-5.4-2026-03-05,1,0,1.0,1.0,1.0,1.0,1,1.0,0
Current_1031,openai/gpt-5.4-2026-03-05,0,0,1.0,1.0,1.0,1.0,0,0.0,0
Current_246,openai/gpt-5.4-2026-03-05,0,0,0.0,0.0,0.0,0.0,1,1.0,0
Current_237,openai/gpt-5.4-2026-03-05,1,1,0.0,0.0,0.0,0.0,0,0.0,0
Midcentury_7466,openai/gpt-5.4-2026-03-05,1,0,1.0,1.0,1.0,1.0,1,1.0,0
Current_239,openai/gpt-5.4-2026-03-05,1,0,0.0,0.0,0.0,0.0,0,0.0,0
Current_769,openai/gpt-5.4-2026-03-05,1,0,0.0,0.0,0.0,0.0,0,0.0,0
Current_940,openai/gpt-5.4-2026-03-05,1,0,0.0,0.0,0.0,0.0,0,0.0,0
