article_key,condition,llm_name,full_focus_epu_last_epu_pred,full_focus_epu_last_epu_correct,full_focus_epu_last_confidence,full_focus_epu_last_focus_excerpt,full_focus_epu_last_excerpt_in_target,full_focus_epu_last_json_valid,full_focus_epu_last_parse_status,full_focus_epu_last_raw_json,full_focus_epu_last_who_pred,full_focus_epu_last_who_correct,full_focus_epu_last_who_requested,full_focus_epu_last_who_present,full_focus_epu_last_actions_pred,full_focus_epu_last_actions_correct,full_focus_epu_last_actions_requested,full_focus_epu_last_actions_present,full_focus_epu_last_effects_pred,full_focus_epu_last_effects_correct,full_focus_epu_last_effects_requested,full_focus_epu_last_effects_present,full_focus_epu_last_mention_foreign_pred,full_focus_epu_last_mention_foreign_correct,full_focus_epu_last_mention_foreign_requested,full_focus_epu_last_mention_foreign_present,full_focus_epu_last_mainly_foreign_pred,full_focus_epu_last_mainly_foreign_correct,full_focus_epu_last_mainly_foreign_requested,full_focus_epu_last_mainly_foreign_present,full_focus_epu_last_requested_task_count,full_focus_epu_last_task_completion_count,full_focus_epu_last_completion_share,full_focus_epu_last_aux_mean
Midcentury_7569,full_focus_epu_last,anthropic/claude-sonnet-4-6@default,1,1.0,0.85,uncertainty over the fate of the Administration's budget and health plans is widely cited as a source of restraint.,0,1,ok,"{
  ""epu"": 1,
  ""who"": 1,
  ""actions"": 1,
  ""effects"": 1,
  ""mention_foreign"": 0,
  ""mainly_foreign"": 0,
  ""confidence"": 0.85,
  ""focus_excerpt"": ""uncertainty over the fate of the Administration's budget and health plans is widely cited as a source of restraint.""
}",1.0,0.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,0,1.0,1,1,0,1.0,1,1,5,5,1.0,0.8
Current_840,full_focus_epu_last,anthropic/claude-sonnet-4-6@default,1,1.0,0.85,"uncertainty over budget negotiations between President Clinton and Congress could prompt the Fed to take a wait-and-see approach, analysts said.",0,1,ok,"{
  ""epu"": 1,
  ""who"": 1,
  ""actions"": 1,
  ""effects"": 1,
  ""mention_foreign"": 0,
  ""mainly_foreign"": 0,
  ""confidence"": 0.85,
  ""focus_excerpt"": ""uncertainty over budget negotiations between President Clinton and Congress could prompt the Fed to take a wait-and-see approach, analysts said.""
}",1.0,0.0,1,1,1.0,1.0,1,1,1.0,0.0,1,1,0,1.0,1,1,0,1.0,1,1,5,5,1.0,0.6
Current_1795,full_focus_epu_last,anthropic/claude-sonnet-4-6@default,1,0.0,0.6,"the change also makes Nid Paw and other refugees uncertain about the lives they will leave behind and the problems they will face with a different culture, language and educational system, and an economy that is likely to offer no better than a minimum-wage job",1,1,ok,"{""epu"":1,""who"":0,""actions"":0,""effects"":1,""mention_foreign"":1,""mainly_foreign"":1,""confidence"":0.6,""focus_excerpt"":""the change also makes Nid Paw and other refugees uncertain about the lives they will leave behind and the problems they will face with a different culture, language and educational system, and an economy that is likely to offer no better than a minimum-wage job""}",0.0,1.0,1,1,0.0,1.0,1,1,1.0,0.0,1,1,1,0.0,1,1,1,0.0,1,1,5,5,1.0,0.4
Current_292,full_focus_epu_last,anthropic/claude-sonnet-4-6@default,1,0.0,0.72,"A continuation of this stampede to the West could lead to the collapse of the East German economy with unpredictable political consequences. To ease the economic backlash on East Germany, West Germany plans to expand its Deutschmarks to the east, uniting the economies.",0,1,ok,"```json
{
  ""epu"": 1,
  ""who"": 0,
  ""actions"": 1,
  ""effects"": 1,
  ""mention_foreign"": 1,
  ""mainly_foreign"": 1,
  ""confidence"": 0.72,
  ""focus_excerpt"": ""A continuation of this stampede to the West could lead to the collapse of the East German economy with unpredictable political consequences. To ease the economic backlash on East Germany, West Germany plans to expand its Deutschmarks to the east, uniting the economies.""
}
```",0.0,1.0,1,1,1.0,0.0,1,1,1.0,1.0,1,1,1,0.0,1,1,1,0.0,1,1,5,5,1.0,0.4
Midcentury_6605,full_focus_epu_last,anthropic/claude-sonnet-4-6@default,1,1.0,0.92,"Will Congress, for example, find the will to cut Federal spending, which in turn would tend to reduce the budget deficit, interest rates and perhaps even the international value of the dollar? Will taxes be raised and, if so, how will the increased burden be distributed?",0,1,ok,"{
  ""epu"": 1,
  ""who"": 1,
  ""actions"": 1,
  ""effects"": 1,
  ""mention_foreign"": 1,
  ""mainly_foreign"": 0,
  ""confidence"": 0.92,
  ""focus_excerpt"": ""Will Congress, for example, find the will to cut Federal spending, which in turn would tend to reduce the budget deficit, interest rates and perhaps even the international value of the dollar? Will taxes be raised and, if so, how will the increased burden be distributed?""
}",1.0,0.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1,1.0,1,1,0,1.0,1,1,5,5,1.0,0.8
Midcentury_7618,full_focus_epu_last,anthropic/claude-sonnet-4-6@default,1,1.0,0.92,"President-elect George W. Bush named Mr. Lindsey, 46, as his White House economic adviser...The appointment came the same day Mr. Bush presided over a conference in Austin to promote the tax cuts Mr. Lindsey has designed as a way to protect the nation against an economic slump",0,1,ok,"{
  ""epu"": 1,
  ""who"": 1,
  ""actions"": 1,
  ""effects"": 1,
  ""mention_foreign"": 1,
  ""mainly_foreign"": 0,
  ""confidence"": 0.92,
  ""focus_excerpt"": ""President-elect George W. Bush named Mr. Lindsey, 46, as his White House economic adviser...The appointment came the same day Mr. Bush presided over a conference in Austin to promote the tax cuts Mr. Lindsey has designed as a way to protect the nation against an economic slump""
}",1.0,1.0,1,1,1.0,0.0,1,1,1.0,0.0,1,1,1,0.0,1,1,0,1.0,1,1,5,5,1.0,0.4
Current_79,full_focus_epu_last,anthropic/claude-sonnet-4-6@default,0,1.0,0.92,"In concluding that Israel's 'only achievement was actually winning the war,' Segev goes too far. Yet in demonstrating the problematic nature of the Six-Day War's origins and aftermath, he raises a host of large questions that touch on national identity, personal ambition, civilian-military politics and the elusive utility of force.",0,1,ok,"{""epu"":0,""who"":null,""actions"":null,""effects"":null,""mention_foreign"":1,""mainly_foreign"":1,""confidence"":0.92,""focus_excerpt"":""In concluding that Israel's 'only achievement was actually winning the war,' Segev goes too far. Yet in demonstrating the problematic nature of the Six-Day War's origins and aftermath, he raises a host of large questions that touch on national identity, personal ambition, civilian-military politics and the elusive utility of force.""}",,0.0,1,0,,0.0,1,0,,0.0,1,0,1,0.0,1,1,1,0.0,1,1,5,2,0.4,0.0
Midcentury_8077,full_focus_epu_last,anthropic/claude-sonnet-4-6@default,0,1.0,0.82,continuing uncertainty over what BCCI assets are left. The bank was shut down in 1991 following discovery of the world's biggest-ever banking fraud.,0,1,ok,"{""epu"":0,""who"":null,""actions"":null,""effects"":null,""mention_foreign"":1,""mainly_foreign"":0,""confidence"":0.82,""focus_excerpt"":""continuing uncertainty over what BCCI assets are left. The bank was shut down in 1991 following discovery of the world's biggest-ever banking fraud.""}",,0.0,1,0,,0.0,1,0,,0.0,1,0,1,0.0,1,1,0,1.0,1,1,5,2,0.4,0.2
Current_654,full_focus_epu_last,anthropic/claude-sonnet-4-6@default,1,0.0,0.6,the market to remain turbulent until a clear direction for interest rates emerges from next month's Federal Reserve meeting,1,1,ok,"{""epu"":1,""who"":0,""actions"":0,""effects"":1,""mention_foreign"":0,""mainly_foreign"":0,""confidence"":0.6,""focus_excerpt"":""the market to remain turbulent until a clear direction for interest rates emerges from next month's Federal Reserve meeting""}",0.0,1.0,1,1,0.0,1.0,1,1,1.0,0.0,1,1,0,0.0,1,1,0,0.0,1,1,5,5,1.0,0.4
Midcentury_4968,full_focus_epu_last,anthropic/claude-sonnet-4-6@default,1,1.0,0.82,The feeling of uncertainty over the future of China's economic liberalization program and the unwillingness of business to make new investments in China are accelerating the decline there.,0,1,ok,"{
  ""epu"": 1,
  ""who"": 1,
  ""actions"": 1,
  ""effects"": 1,
  ""mention_foreign"": 1,
  ""mainly_foreign"": 1,
  ""confidence"": 0.82,
  ""focus_excerpt"": ""The feeling of uncertainty over the future of China's economic liberalization program and the unwillingness of business to make new investments in China are accelerating the decline there.""
}",1.0,0.0,1,1,1.0,1.0,1,1,1.0,0.0,1,1,1,1.0,1,1,1,1.0,1,1,5,5,1.0,0.6
