article_key,condition,llm_name,full_focus_epu_last_epu_pred,full_focus_epu_last_epu_correct,full_focus_epu_last_confidence,full_focus_epu_last_focus_excerpt,full_focus_epu_last_excerpt_in_target,full_focus_epu_last_json_valid,full_focus_epu_last_parse_status,full_focus_epu_last_raw_json,full_focus_epu_last_who_pred,full_focus_epu_last_who_correct,full_focus_epu_last_who_requested,full_focus_epu_last_who_present,full_focus_epu_last_actions_pred,full_focus_epu_last_actions_correct,full_focus_epu_last_actions_requested,full_focus_epu_last_actions_present,full_focus_epu_last_effects_pred,full_focus_epu_last_effects_correct,full_focus_epu_last_effects_requested,full_focus_epu_last_effects_present,full_focus_epu_last_mention_foreign_pred,full_focus_epu_last_mention_foreign_correct,full_focus_epu_last_mention_foreign_requested,full_focus_epu_last_mention_foreign_present,full_focus_epu_last_mainly_foreign_pred,full_focus_epu_last_mainly_foreign_correct,full_focus_epu_last_mainly_foreign_requested,full_focus_epu_last_mainly_foreign_present,full_focus_epu_last_requested_task_count,full_focus_epu_last_task_completion_count,full_focus_epu_last_completion_share,full_focus_epu_last_aux_mean
Midcentury_7569,full_focus_epu_last,openai/gpt-5.4-2026-03-05,1.0,1.0,0.73,uncertainty over the fate of the Administration's budget and health plans is widely cited as a source of restraint,0,1,ok,"{""epu"":1,""who"":1,""actions"":1,""effects"":1,""mention_foreign"":0,""mainly_foreign"":0,""confidence"":0.73,""focus_excerpt"":""uncertainty over the fate of the Administration's budget and health plans is widely cited as a source of restraint""}",1.0,0.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,0.0,1.0,1,1,0.0,1.0,1,1,5,5,1.0,0.8
Current_840,full_focus_epu_last,openai/gpt-5.4-2026-03-05,1.0,1.0,0.9,uncertain whether Federal Reserve policy-makers will cut interest rates next week,0,1,ok,"{
  ""epu"": 1,
  ""who"": 1,
  ""actions"": 1,
  ""effects"": 1,
  ""mention_foreign"": 0,
  ""mainly_foreign"": 0,
  ""confidence"": 0.9,
  ""focus_excerpt"": ""uncertain whether Federal Reserve policy-makers will cut interest rates next week""
}",1.0,0.0,1,1,1.0,1.0,1,1,1.0,0.0,1,1,0.0,1.0,1,1,0.0,1.0,1,1,5,5,1.0,0.6
Current_1795,full_focus_epu_last,openai/gpt-5.4-2026-03-05,1.0,0.0,0.84,"Thanks to a new U.S. policy, Nid Paw hopes to become one of 18,000 Burmese refugees allowed to settle in the United States in 2008.",0,1,ok,"{""epu"":1,""who"":0,""actions"":1,""effects"":1,""mention_foreign"":1,""mainly_foreign"":1,""confidence"":0.84,""focus_excerpt"":""Thanks to a new U.S. policy, Nid Paw hopes to become one of 18,000 Burmese refugees allowed to settle in the United States in 2008.""}",0.0,1.0,1,1,1.0,0.0,1,1,1.0,0.0,1,1,1.0,0.0,1,1,1.0,0.0,1,1,5,5,1.0,0.2
Current_292,full_focus_epu_last,openai/gpt-5.4-2026-03-05,0.0,1.0,0.93,a continuation of this stampede to the West could lead to the collapse of the East German economy with unpredictable political consequences,0,1,ok,"{""epu"":0,""who"":null,""actions"":null,""effects"":null,""mention_foreign"":1,""mainly_foreign"":1,""confidence"":0.93,""focus_excerpt"":""a continuation of this stampede to the West could lead to the collapse of the East German economy with unpredictable political consequences""}",,0.0,1,0,,0.0,1,0,,0.0,1,0,1.0,0.0,1,1,1.0,0.0,1,1,5,2,0.4,0.0
Midcentury_6605,full_focus_epu_last,openai/gpt-5.4-2026-03-05,1.0,1.0,0.95,"Will Congress, for example, find the will to cut Federal spending... Will taxes be raised and, if so, how will the increased burden be distributed?",0,1,ok,"{""epu"":1,""who"":1,""actions"":1,""effects"":1,""mention_foreign"":1,""mainly_foreign"":0,""confidence"":0.95,""focus_excerpt"":""Will Congress, for example, find the will to cut Federal spending... Will taxes be raised and, if so, how will the increased burden be distributed?""}",1.0,0.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,0.0,1.0,1,1,5,5,1.0,0.8
Midcentury_7618,full_focus_epu_last,openai/gpt-5.4-2026-03-05,1.0,1.0,0.9,"Mr. Lindsey shaped the proposals for a $1.6 trillion tax cut, a Social Security overhaul and other core issues in Mr. Bush's campaign.",0,1,ok,"{
  ""epu"": 1,
  ""who"": 1,
  ""actions"": 1,
  ""effects"": 1,
  ""mention_foreign"": 1,
  ""mainly_foreign"": 0,
  ""confidence"": 0.9,
  ""focus_excerpt"": ""Mr. Lindsey shaped the proposals for a $1.6 trillion tax cut, a Social Security overhaul and other core issues in Mr. Bush's campaign.""
}",1.0,1.0,1,1,1.0,0.0,1,1,1.0,0.0,1,1,1.0,0.0,1,1,0.0,1.0,1,1,5,5,1.0,0.4
Current_79,full_focus_epu_last,openai/gpt-5.4-2026-03-05,0.0,1.0,0.93,the standoff between [Levi Eshkol] and his generals was as much cultural as strategic,1,1,ok,"{""epu"":0,""who"":null,""actions"":null,""effects"":null,""mention_foreign"":1,""mainly_foreign"":1,""confidence"":0.93,""focus_excerpt"":""the standoff between [Levi Eshkol] and his generals was as much cultural as strategic""}",,0.0,1,0,,0.0,1,0,,0.0,1,0,1.0,0.0,1,1,1.0,0.0,1,1,5,2,0.4,0.0
Midcentury_8077,full_focus_epu_last,openai/gpt-5.4-2026-03-05,0.0,1.0,0.95,continuing uncertainty over what BCCI assets are left,1,1,ok,"{""epu"":0,""who"":null,""actions"":null,""effects"":null,""mention_foreign"":1,""mainly_foreign"":1,""confidence"":0.95,""focus_excerpt"":""continuing uncertainty over what BCCI assets are left""}",,0.0,1,0,,0.0,1,0,,0.0,1,0,1.0,0.0,1,1,1.0,0.0,1,1,5,2,0.4,0.0
Current_654,full_focus_epu_last,openai/gpt-5.4-2026-03-05,0.0,1.0,0.95,expects the market to remain turbulent until a clear direction for interest rates emerges from next month's Federal Reserve meeting,1,1,ok,"{""epu"":0,""who"":null,""actions"":null,""effects"":null,""mention_foreign"":0,""mainly_foreign"":0,""confidence"":0.95,""focus_excerpt"":""expects the market to remain turbulent until a clear direction for interest rates emerges from next month's Federal Reserve meeting""}",,0.0,1,0,,0.0,1,0,,0.0,1,0,0.0,0.0,1,1,0.0,0.0,1,1,5,2,0.4,0.0
Midcentury_4968,full_focus_epu_last,openai/gpt-5.4-2026-03-05,1.0,1.0,0.88,the feeling of uncertainty over the future of China's economic liberalization program,0,1,ok,"{""epu"":1,""who"":1,""actions"":1,""effects"":1,""mention_foreign"":1,""mainly_foreign"":1,""confidence"":0.88,""focus_excerpt"":""the feeling of uncertainty over the future of China's economic liberalization program""}",1.0,0.0,1,1,1.0,1.0,1,1,1.0,0.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,5,5,1.0,0.6
