file_name,description
q1_results_detailed_upgraded.csv,"Row-level clean and attacked predictions, attack metadata, truncation flags, confidences, excerpts, and composite score."
summary_overall_q1_upgraded.csv,"Main model table with clean accuracy, attacked accuracy, attack drop, flip rate, FP/FN pull, distraction level, and failure mode."
summary_by_disagreement_q1_upgraded.csv,Scientific proof metrics split by disagreement_flag.
summary_by_gold_epu_q1_upgraded.csv,Scientific proof metrics split by gold_epu.
summary_by_attack_family_q1_upgraded.csv,Attack-effect summaries split by distractor family.
summary_by_attack_difficulty_q1_upgraded.csv,Attack-effect summaries split by distractor difficulty.
summary_by_truncation_q1_upgraded.csv,Attack-effect summaries split by truncation status.
transition_counts_clean_to_attacked_q1_upgraded.csv,"Transition counts from clean prediction to attacked prediction, by model and gold_epu."
most_harmed_rows_shared_q1_upgraded.csv,"Rows harmed by distractors across multiple models, for qualitative evidence."
worst_attack_failures_by_model_q1_upgraded.csv,Model-specific rows where distractors changed a clean-correct prediction into an attacked-wrong prediction.
pilot_rows_q1_upgraded.csv,The 600-row pilot article sample used for the run.
attack_pack_bank_q1.csv,Full attack pack bank with family and difficulty labels.
eval_rows_with_attack_variants_q1.csv,Expanded evaluation rows after attaching attack variants to pilot articles.
