article_key,condition,llm_name,single_long_control_epu_pred,single_long_control_epu_correct,single_long_control_confidence,single_long_control_focus_excerpt,single_long_control_excerpt_in_target,single_long_control_json_valid,single_long_control_parse_status,single_long_control_raw_json,single_long_control_who_pred,single_long_control_who_correct,single_long_control_who_requested,single_long_control_who_present,single_long_control_actions_pred,single_long_control_actions_correct,single_long_control_actions_requested,single_long_control_actions_present,single_long_control_effects_pred,single_long_control_effects_correct,single_long_control_effects_requested,single_long_control_effects_present,single_long_control_mention_foreign_pred,single_long_control_mention_foreign_correct,single_long_control_mention_foreign_requested,single_long_control_mention_foreign_present,single_long_control_mainly_foreign_pred,single_long_control_mainly_foreign_correct,single_long_control_mainly_foreign_requested,single_long_control_mainly_foreign_present,single_long_control_requested_task_count,single_long_control_task_completion_count,single_long_control_completion_share,single_long_control_aux_mean
Midcentury_7569,single_long_control,openai/gpt-5.4-2026-03-05,1,1.0,0.85,uncertainty over the fate of the Administration's budget and health plans is widely cited as a source of restraint,0,1,ok,"{""epu"":1,""confidence"":0.85,""focus_excerpt"":""uncertainty over the fate of the Administration's budget and health plans is widely cited as a source of restraint""}",,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,0,0,,
Current_840,single_long_control,openai/gpt-5.4-2026-03-05,1,1.0,0.94,bond prices resumed drifting lower in a lightly traded market that is increasingly uncertain whether Federal Reserve policy-makers will cut interest rates next week,0,1,ok,"{""epu"":1,""confidence"":0.94,""focus_excerpt"":""bond prices resumed drifting lower in a lightly traded market that is increasingly uncertain whether Federal Reserve policy-makers will cut interest rates next week""}",,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,0,0,,
Current_1795,single_long_control,openai/gpt-5.4-2026-03-05,1,0.0,0.85,"Thanks to a new is.S. policy, Nid Paw hopes to become one of 18,000 Burmese refugees allowed to settle in the isnited States in 2008.",1,1,ok,"{""epu"":1,""confidence"":0.85,""focus_excerpt"":""Thanks to a new is.S. policy, Nid Paw hopes to become one of 18,000 Burmese refugees allowed to settle in the isnited States in 2008.""}",,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,0,0,,
Current_292,single_long_control,openai/gpt-5.4-2026-03-05,0,1.0,0.86,could lead to the collapse of the East German economy with unpredictable political consequences,1,1,ok,"{""epu"":0,""confidence"":0.86,""focus_excerpt"":""could lead to the collapse of the East German economy with unpredictable political consequences""}",,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,0,0,,
Midcentury_6605,single_long_control,openai/gpt-5.4-2026-03-05,1,1.0,0.96,"Will Congress, for example, find the will to cut Federal spending",1,1,ok,"{""epu"":1,""confidence"":0.96,""focus_excerpt"":""Will Congress, for example, find the will to cut Federal spending""}",,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,0,0,,
Midcentury_7618,single_long_control,openai/gpt-5.4-2026-03-05,1,1.0,0.95,"Mr. Lindsey shaped the proposals for a $1.6 trillion tax cut, a Social Security overhaul and other core issues in Mr. Bush's campaign.",0,1,ok,"{""epu"":1,""confidence"":0.95,""focus_excerpt"":""Mr. Lindsey shaped the proposals for a $1.6 trillion tax cut, a Social Security overhaul and other core issues in Mr. Bush's campaign.""}",,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,0,0,,
Current_79,single_long_control,openai/gpt-5.4-2026-03-05,0,1.0,0.9,the standoff between [Levi Eshkol] and his generals was as much cultural as strategic,1,1,ok,"{""epu"": 0, ""confidence"": 0.9, ""focus_excerpt"": ""the standoff between [Levi Eshkol] and his generals was as much cultural as strategic""}",,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,0,0,,
Midcentury_8077,single_long_control,openai/gpt-5.4-2026-03-05,0,1.0,0.95,continuing uncertainty over what BCCI assets are left,1,1,ok,"{""epu"":0,""confidence"":0.95,""focus_excerpt"":""continuing uncertainty over what BCCI assets are left""}",,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,0,0,,
Current_654,single_long_control,openai/gpt-5.4-2026-03-05,0,1.0,0.98,expects the market to remain turbulent until a clear direction for interest rates emerges from next month's Federal Reserve meeting,1,1,ok,"{""epu"":0,""confidence"":0.98,""focus_excerpt"":""expects the market to remain turbulent until a clear direction for interest rates emerges from next month's Federal Reserve meeting""}",,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,0,0,,
Midcentury_4968,single_long_control,openai/gpt-5.4-2026-03-05,1,1.0,0.87,the feeling of uncertainty over *irthe future of China's economic liberal­ization program and the unwillingness of business to make new investments in China,1,1,ok,"{""epu"":1,""confidence"":0.87,""focus_excerpt"":""the feeling of uncertainty over *irthe future of China's economic liberal­ization program and the unwillingness of business to make new investments in China""}",,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,0,0,,
