article_key,condition,llm_name,full_focus_epu_first_epu_pred,full_focus_epu_first_epu_correct,full_focus_epu_first_confidence,full_focus_epu_first_focus_excerpt,full_focus_epu_first_excerpt_in_target,full_focus_epu_first_json_valid,full_focus_epu_first_parse_status,full_focus_epu_first_raw_json,full_focus_epu_first_who_pred,full_focus_epu_first_who_correct,full_focus_epu_first_who_requested,full_focus_epu_first_who_present,full_focus_epu_first_actions_pred,full_focus_epu_first_actions_correct,full_focus_epu_first_actions_requested,full_focus_epu_first_actions_present,full_focus_epu_first_effects_pred,full_focus_epu_first_effects_correct,full_focus_epu_first_effects_requested,full_focus_epu_first_effects_present,full_focus_epu_first_mention_foreign_pred,full_focus_epu_first_mention_foreign_correct,full_focus_epu_first_mention_foreign_requested,full_focus_epu_first_mention_foreign_present,full_focus_epu_first_mainly_foreign_pred,full_focus_epu_first_mainly_foreign_correct,full_focus_epu_first_mainly_foreign_requested,full_focus_epu_first_mainly_foreign_present,full_focus_epu_first_requested_task_count,full_focus_epu_first_task_completion_count,full_focus_epu_first_completion_share,full_focus_epu_first_aux_mean
Midcentury_7569,full_focus_epu_first,anthropic/claude-sonnet-4-6@default,1.0,1.0,0.82,uncertainty over the fate of the Administration's budget and health plans is widely cited as a source of restraint.,0,1,ok,"{""epu"":1,""who"":0,""actions"":0,""effects"":1,""mention_foreign"":0,""mainly_foreign"":0,""confidence"":0.82,""focus_excerpt"":""uncertainty over the fate of the Administration's budget and health plans is widely cited as a source of restraint.""}",0.0,1.0,1,1,0.0,0.0,1,1,1.0,1.0,1,1,0.0,1.0,1,1,0.0,1.0,1,1,5,5,1.0,0.8
Current_840,full_focus_epu_first,anthropic/claude-sonnet-4-6@default,1.0,1.0,0.85,uncertainty over budget negotiations between President Clinton and Congress could prompt the Fed to take a wait-and-see approach,0,1,ok,"{""epu"":1,""who"":1,""actions"":1,""effects"":1,""mention_foreign"":0,""mainly_foreign"":0,""confidence"":0.85,""focus_excerpt"":""uncertainty over budget negotiations between President Clinton and Congress could prompt the Fed to take a wait-and-see approach""}",1.0,0.0,1,1,1.0,1.0,1,1,1.0,0.0,1,1,0.0,1.0,1,1,0.0,1.0,1,1,5,5,1.0,0.6
Current_1795,full_focus_epu_first,anthropic/claude-sonnet-4-6@default,1.0,0.0,0.65,"the change also makes Nid Paw and other refugees uncertain about the lives they will leave behind and the problems they will face with a different culture, language and educational system, and an economy that is likely to offer no better than a minimum-wage job",1,1,ok,"{""epu"":1,""who"":0,""actions"":0,""effects"":1,""mention_foreign"":1,""mainly_foreign"":1,""confidence"":0.65,""focus_excerpt"":""the change also makes Nid Paw and other refugees uncertain about the lives they will leave behind and the problems they will face with a different culture, language and educational system, and an economy that is likely to offer no better than a minimum-wage job""}",0.0,1.0,1,1,0.0,1.0,1,1,1.0,0.0,1,1,1.0,0.0,1,1,1.0,0.0,1,1,5,5,1.0,0.4
Current_292,full_focus_epu_first,anthropic/claude-sonnet-4-6@default,1.0,0.0,0.72,"To ease the economic backlash on East Germany, West Germany plans to expand its Deutschmarks to the east, uniting the economies... But East Germany has to start to overcome its decades of socialist planned economy before West Germany can take that risk",0,1,ok,"{""epu"":1,""who"":0,""actions"":1,""effects"":1,""mention_foreign"":1,""mainly_foreign"":1,""confidence"":0.72,""focus_excerpt"":""To ease the economic backlash on East Germany, West Germany plans to expand its Deutschmarks to the east, uniting the economies... But East Germany has to start to overcome its decades of socialist planned economy before West Germany can take that risk""}",0.0,1.0,1,1,1.0,0.0,1,1,1.0,1.0,1,1,1.0,0.0,1,1,1.0,0.0,1,1,5,5,1.0,0.4
Midcentury_6605,full_focus_epu_first,anthropic/claude-sonnet-4-6@default,1.0,1.0,0.95,"Will Congress, for example, find the will to cut Federal spending, which in turn would tend to reduce the budget deficit, interest rates and perhaps even the international value of the dollar? Will taxes be raised and, if so, how will the increased burden be distributed?",0,1,ok,"{
  ""epu"": 1,
  ""who"": 1,
  ""actions"": 1,
  ""effects"": 1,
  ""mention_foreign"": 1,
  ""mainly_foreign"": 0,
  ""confidence"": 0.95,
  ""focus_excerpt"": ""Will Congress, for example, find the will to cut Federal spending, which in turn would tend to reduce the budget deficit, interest rates and perhaps even the international value of the dollar? Will taxes be raised and, if so, how will the increased burden be distributed?""
}",1.0,0.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,0.0,1.0,1,1,5,5,1.0,0.8
Midcentury_7618,full_focus_epu_first,anthropic/claude-sonnet-4-6@default,1.0,1.0,0.92,"Mr. Lindsey shaped the proposals for a $1.6 trillion tax cut, a Social Security overhaul and other core issues in Mr. Bush's campaign.",0,1,ok,"{""epu"":1,""who"":1,""actions"":1,""effects"":1,""mention_foreign"":1,""mainly_foreign"":0,""confidence"":0.92,""focus_excerpt"":""Mr. Lindsey shaped the proposals for a $1.6 trillion tax cut, a Social Security overhaul and other core issues in Mr. Bush's campaign.""}",1.0,1.0,1,1,1.0,0.0,1,1,1.0,0.0,1,1,1.0,0.0,1,1,0.0,1.0,1,1,5,5,1.0,0.4
Current_79,full_focus_epu_first,anthropic/claude-sonnet-4-6@default,0.0,1.0,0.95,"In concluding that Israel's 'only achievement was actually winning the war,' Segev goes too far. Yet in demonstrating the problematic nature of the Six-Day War's origins and aftermath, he raises a host of large questions that touch on national identity, personal ambition, civilian-military politics and the elusive utility of force.",0,1,ok,"{""epu"":0,""who"":null,""actions"":null,""effects"":null,""mention_foreign"":null,""mainly_foreign"":null,""confidence"":0.95,""focus_excerpt"":""In concluding that Israel's 'only achievement was actually winning the war,' Segev goes too far. Yet in demonstrating the problematic nature of the Six-Day War's origins and aftermath, he raises a host of large questions that touch on national identity, personal ambition, civilian-military politics and the elusive utility of force.""}",,0.0,1,0,,0.0,1,0,,0.0,1,0,,0.0,1,0,,0.0,1,0,5,0,0.0,0.0
Midcentury_8077,full_focus_epu_first,anthropic/claude-sonnet-4-6@default,1.0,0.0,0.5,The European Union's representative in the United States called for a new transatlantic free-trade agreement to meet the challenge of moves toward free trade in the Pacific region.,0,1,ok,"{""epu"":1,""who"":0,""actions"":1,""effects"":1,""mention_foreign"":1,""mainly_foreign"":0,""confidence"":0.5,""focus_excerpt"":""The European Union's representative in the United States called for a new transatlantic free-trade agreement to meet the challenge of moves toward free trade in the Pacific region.""}",0.0,1.0,1,1,1.0,0.0,1,1,1.0,0.0,1,1,1.0,0.0,1,1,0.0,1.0,1,1,5,5,1.0,0.4
Current_654,full_focus_epu_first,anthropic/claude-sonnet-4-6@default,1.0,0.0,0.6,the market to remain turbulent until a clear direction for interest rates emerges from next month's Federal Reserve meeting,1,1,ok,"{""epu"":1,""who"":0,""actions"":0,""effects"":1,""mention_foreign"":0,""mainly_foreign"":0,""confidence"":0.6,""focus_excerpt"":""the market to remain turbulent until a clear direction for interest rates emerges from next month's Federal Reserve meeting""}",0.0,1.0,1,1,0.0,1.0,1,1,1.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,5,5,1.0,0.4
Midcentury_4968,full_focus_epu_first,anthropic/claude-sonnet-4-6@default,1.0,1.0,0.82,The feeling of uncertainty over the future of China's economic liberalization program and the unwillingness of business to make new investments in China are accelerating the decline there.,0,1,ok,"{
  ""epu"": 1,
  ""who"": 0,
  ""actions"": 1,
  ""effects"": 1,
  ""mention_foreign"": 1,
  ""mainly_foreign"": 1,
  ""confidence"": 0.82,
  ""focus_excerpt"": ""The feeling of uncertainty over the future of China's economic liberalization program and the unwillingness of business to make new investments in China are accelerating the decline there.""
}",0.0,1.0,1,1,1.0,1.0,1,1,1.0,0.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,5,5,1.0,0.8
Current_1196,full_focus_epu_first,anthropic/claude-sonnet-4-6@default,1.0,1.0,0.92,"the remainder of the financing would come from Miami-Dade taxpayers and team owner Jeffrey Loria, though in what proportion is uncertain",0,1,ok,"{
  ""epu"": 1,
  ""who"": 1,
  ""actions"": 1,
  ""effects"": 1,
  ""mention_foreign"": 0,
  ""mainly_foreign"": 0,
  ""confidence"": 0.92,
  ""focus_excerpt"": ""the remainder of the financing would come from Miami-Dade taxpayers and team owner Jeffrey Loria, though in what proportion is uncertain""
}",1.0,0.0,1,1,1.0,1.0,1,1,1.0,0.0,1,1,0.0,1.0,1,1,0.0,1.0,1,1,5,5,1.0,0.6
Current_1953,full_focus_epu_first,anthropic/claude-sonnet-4-6@default,1.0,1.0,0.72,"U.S. interests are transparent: moving ahead the Israeli-Palestinian peace process, preserving access to cheap Persian Gulf oil and isolating Iraq... the U.S. regional interests may not be so easily protected, say analysts who have long studied the region.",0,1,ok,"{
  ""epu"": 1,
  ""who"": 1,
  ""actions"": 1,
  ""effects"": 1,
  ""mention_foreign"": 1,
  ""mainly_foreign"": 1,
  ""confidence"": 0.72,
  ""focus_excerpt"": ""U.S. interests are transparent: moving ahead the Israeli-Palestinian peace process, preserving access to cheap Persian Gulf oil and isolating Iraq... the U.S. regional interests may not be so easily protected, say analysts who have long studied the region.""
}",1.0,0.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,0.0,1,1,5,5,1.0,0.6
Current_733,full_focus_epu_first,anthropic/claude-sonnet-4-6@default,0.0,1.0,0.97,"At a time when fewer graduates are finding work after completing their degrees and many people are uncertain they will keep the jobs they have, 17 graduates of MDC's electrical power technology program are leaving the school with a well-paying job",0,1,ok,"{""epu"":0,""who"":null,""actions"":null,""effects"":null,""mention_foreign"":0,""mainly_foreign"":0,""confidence"":0.97,""focus_excerpt"":""At a time when fewer graduates are finding work after completing their degrees and many people are uncertain they will keep the jobs they have, 17 graduates of MDC's electrical power technology program are leaving the school with a well-paying job""}",,0.0,1,0,,0.0,1,0,,0.0,1,0,0.0,0.0,1,1,0.0,0.0,1,1,5,2,0.4,0.0
Current_1975,full_focus_epu_first,anthropic/claude-sonnet-4-6@default,1.0,1.0,0.82,The decline yesterday reflected uncertainty over the fallout from Argentina's decision Sunday to suspend all payments on its $132 billion debt.,1,1,ok,"{
  ""epu"": 1,
  ""who"": 0,
  ""actions"": 1,
  ""effects"": 1,
  ""mention_foreign"": 1,
  ""mainly_foreign"": 1,
  ""confidence"": 0.82,
  ""focus_excerpt"": ""The decline yesterday reflected uncertainty over the fallout from Argentina's decision Sunday to suspend all payments on its $132 billion debt.""
}",0.0,1.0,1,1,1.0,1.0,1,1,1.0,0.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,5,5,1.0,0.8
Current_814,full_focus_epu_first,anthropic/claude-sonnet-4-6@default,1.0,1.0,0.82,"Economists say it's uncertain whether Chávez's new model, greatly dependent on high oil prices, is sustainable.",1,1,ok,"{
  ""epu"": 1,
  ""who"": 0,
  ""actions"": 1,
  ""effects"": 1,
  ""mention_foreign"": 1,
  ""mainly_foreign"": 1,
  ""confidence"": 0.82,
  ""focus_excerpt"": ""Economists say it's uncertain whether Chávez's new model, greatly dependent on high oil prices, is sustainable.""
}",0.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,5,5,1.0,1.0
