article_key,condition,llm_name,single_focus_epu_pred,single_focus_epu_correct,single_focus_confidence,single_focus_focus_excerpt,single_focus_excerpt_in_target,single_focus_json_valid,single_focus_parse_status,single_focus_raw_json,single_focus_who_pred,single_focus_who_correct,single_focus_who_requested,single_focus_who_present,single_focus_actions_pred,single_focus_actions_correct,single_focus_actions_requested,single_focus_actions_present,single_focus_effects_pred,single_focus_effects_correct,single_focus_effects_requested,single_focus_effects_present,single_focus_mention_foreign_pred,single_focus_mention_foreign_correct,single_focus_mention_foreign_requested,single_focus_mention_foreign_present,single_focus_mainly_foreign_pred,single_focus_mainly_foreign_correct,single_focus_mainly_foreign_requested,single_focus_mainly_foreign_present,single_focus_requested_task_count,single_focus_task_completion_count,single_focus_completion_share,single_focus_aux_mean
Midcentury_7569,single_focus,anthropic/claude-sonnet-4-6@default,1.0,1.0,0.75,uncertainty over the fate of the Administration's budget and health plans is widely cited as a source of restraint.,0,1,ok,"{""epu"": 1, ""confidence"": 0.75, ""focus_excerpt"": ""uncertainty over the fate of the Administration's budget and health plans is widely cited as a source of restraint.""}",,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,0,0,,
Current_840,single_focus,anthropic/claude-sonnet-4-6@default,1.0,1.0,0.72,uncertainty over budget negotiations between President Clinton and Congress could prompt the Fed to take a wait-and-see approach,0,1,ok,"{""epu"":1,""confidence"":0.72,""focus_excerpt"":""uncertainty over budget negotiations between President Clinton and Congress could prompt the Fed to take a wait-and-see approach""}",,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,0,0,,
Current_1795,single_focus,anthropic/claude-sonnet-4-6@default,1.0,0.0,0.72,"Thanks to a new U.S. policy, Nid Paw hopes to become one of 18,000 Burmese refugees allowed to settle in the United States in 2008. Before the change in law, the Patriot Act had barred refugee status for those who had provided 'material support' to organizations on the State Department terrorist list.",0,1,ok,"{""epu"":1,""confidence"":0.72,""focus_excerpt"":""Thanks to a new U.S. policy, Nid Paw hopes to become one of 18,000 Burmese refugees allowed to settle in the United States in 2008. Before the change in law, the Patriot Act had barred refugee status for those who had provided 'material support' to organizations on the State Department terrorist list.""}",,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,0,0,,
Current_292,single_focus,anthropic/claude-sonnet-4-6@default,0.0,1.0,0.72,A united Germany will not and cannot remain neutral and will not forget its past,1,1,ok,"{""epu"": 0, ""confidence"": 0.72, ""focus_excerpt"": ""A united Germany will not and cannot remain neutral and will not forget its past"", ""who"": null, ""actions"": null, ""effects"": null}",,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,0,0,,
Midcentury_6605,single_focus,anthropic/claude-sonnet-4-6@default,1.0,1.0,0.92,"Will Congress, for example, find the will to cut Federal spending, which in turn would tend to reduce the budget deficit, interest rates and perhaps even the international value of the dollar? Will taxes be raised and, if so, how will the increased burden be distributed?",0,1,ok,"{""epu"":1,""confidence"":0.92,""focus_excerpt"":""Will Congress, for example, find the will to cut Federal spending, which in turn would tend to reduce the budget deficit, interest rates and perhaps even the international value of the dollar? Will taxes be raised and, if so, how will the increased burden be distributed?""}",,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,0,0,,
Midcentury_7618,single_focus,anthropic/claude-sonnet-4-6@default,1.0,1.0,0.85,Mr. Bush presided over a conference in Austin to promote the tax cuts Mr. Lindsey has designed as a way to protect the nation against an economic slump,0,1,ok,"{""epu"": 1, ""confidence"": 0.85, ""focus_excerpt"": ""Mr. Bush presided over a conference in Austin to promote the tax cuts Mr. Lindsey has designed as a way to protect the nation against an economic slump""}",,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,0,0,,
Current_79,single_focus,anthropic/claude-sonnet-4-6@default,0.0,1.0,0.95,the standoff between Levi Eshkol and his generals was as much cultural as strategic,0,1,ok,"{""epu"": 0, ""confidence"": 0.95, ""focus_excerpt"": ""the standoff between Levi Eshkol and his generals was as much cultural as strategic"", ""who"": null, ""actions"": null, ""effects"": null}",,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,0,0,,
Midcentury_8077,single_focus,anthropic/claude-sonnet-4-6@default,1.0,0.0,0.55,The European Union's representative in the United States called for a new transatlantic free-trade agreement to meet the challenge of moves toward free trade in the Pacific region.,0,1,ok,"{""epu"": 1, ""confidence"": 0.55, ""focus_excerpt"": ""The European Union's representative in the United States called for a new transatlantic free-trade agreement to meet the challenge of moves toward free trade in the Pacific region.""}",,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,0,0,,
Current_654,single_focus,anthropic/claude-sonnet-4-6@default,1.0,0.0,0.55,"Christine Callies, chief investment strategist at Credit Suisse First Boston in New York, expects the market to remain turbulent until a clear direction for interest rates emerges from next month's Federal Reserve meeting.",1,1,ok,"{""epu"": 1, ""confidence"": 0.55, ""focus_excerpt"": ""Christine Callies, chief investment strategist at Credit Suisse First Boston in New York, expects the market to remain turbulent until a clear direction for interest rates emerges from next month's Federal Reserve meeting.""}",,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,0,0,,
Midcentury_4968,single_focus,anthropic/claude-sonnet-4-6@default,1.0,1.0,0.82,the feeling of uncertainty over the future of China's economic liberalization program and the unwillingness of business to make new investments in China are accelerating the decline there,0,1,ok,"{""epu"": 1, ""confidence"": 0.82, ""focus_excerpt"": ""the feeling of uncertainty over the future of China's economic liberalization program and the unwillingness of business to make new investments in China are accelerating the decline there""}",,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,0,0,,
Current_1196,single_focus,anthropic/claude-sonnet-4-6@default,1.0,1.0,0.92,Republican leaders in the new Legislature have enthusiastically exhumed the oft-snuffed plan to throw away $60 million of public funds on a Major League Baseball park in South Florida.,1,1,ok,"{""epu"":1,""confidence"":0.92,""focus_excerpt"":""Republican leaders in the new Legislature have enthusiastically exhumed the oft-snuffed plan to throw away $60 million of public funds on a Major League Baseball park in South Florida.""}",,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,0,0,,
Current_1953,single_focus,anthropic/claude-sonnet-4-6@default,1.0,1.0,0.7,"U.S. interests are transparent: moving ahead the Israeli-Palestinian peace process, preserving access to cheap Persian Gulf oil and isolating Iraq... a promise of $300 million in funding - triple what the administration had set aside for Jordan before Hussein's death",0,1,ok,"{""epu"": 1, ""confidence"": 0.7, ""focus_excerpt"": ""U.S. interests are transparent: moving ahead the Israeli-Palestinian peace process, preserving access to cheap Persian Gulf oil and isolating Iraq... a promise of $300 million in funding - triple what the administration had set aside for Jordan before Hussein's death""}",,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,0,0,,
Current_733,single_focus,anthropic/claude-sonnet-4-6@default,0.0,1.0,0.97,"At a time when fewer graduates are finding work after completing their degrees and many people are uncertain they will keep the jobs they have, 17 graduates of MDC's electrical power technology program are leaving the school with a well-paying job",0,1,ok,"{""epu"": 0, ""confidence"": 0.97, ""focus_excerpt"": ""At a time when fewer graduates are finding work after completing their degrees and many people are uncertain they will keep the jobs they have, 17 graduates of MDC's electrical power technology program are leaving the school with a well-paying job"", ""who"": null, ""actions"": null, ""effects"": null}",,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,0,0,,
Current_1975,single_focus,anthropic/claude-sonnet-4-6@default,0.0,0.0,0.7,Worry about Argentina's economic situation helped pull stock prices lower yesterday in Japan,1,1,ok,"{""epu"": 0, ""confidence"": 0.7, ""focus_excerpt"": ""Worry about Argentina's economic situation helped pull stock prices lower yesterday in Japan"", ""who"": null, ""actions"": null, ""effects"": null}",,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,0,0,,
Current_814,single_focus,anthropic/claude-sonnet-4-6@default,1.0,1.0,0.82,"Economists say it's uncertain whether Chávez's new model, greatly dependent on high oil prices, is sustainable.",1,1,ok,"{""epu"": 1, ""confidence"": 0.82, ""focus_excerpt"": ""Economists say it's uncertain whether Chávez's new model, greatly dependent on high oil prices, is sustainable.""}",,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,0,0,,
Current_1650,single_focus,anthropic/claude-sonnet-4-6@default,0.0,0.0,0.99,"Like nearly every Strauss opera, ``Arabella'' has two protagonists -- the soprano and the orchestra",1,1,ok,"{""epu"":0,""confidence"":0.99,""focus_excerpt"":""Like nearly every Strauss opera, ``Arabella'' has two protagonists -- the soprano and the orchestra""}",,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,0,0,,
Midcentury_1448,single_focus,anthropic/claude-sonnet-4-6@default,1.0,0.0,0.72,"it was 'unlikely' the bank would be able to meet the new, more stringent Federal requirements for capital reserve... If GlenFed fails to meet the new standard, it could be required to submit a capital plan to regulators or consent to other regulatory action.",0,1,ok,"{""epu"": 1, ""confidence"": 0.72, ""focus_excerpt"": ""it was 'unlikely' the bank would be able to meet the new, more stringent Federal requirements for capital reserve... If GlenFed fails to meet the new standard, it could be required to submit a capital plan to regulators or consent to other regulatory action.""}",,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,0,0,,
