article_key,condition,llm_name,single_long_control_epu_pred,single_long_control_epu_correct,single_long_control_confidence,single_long_control_focus_excerpt,single_long_control_excerpt_in_target,single_long_control_json_valid,single_long_control_parse_status,single_long_control_raw_json,single_long_control_who_pred,single_long_control_who_correct,single_long_control_who_requested,single_long_control_who_present,single_long_control_actions_pred,single_long_control_actions_correct,single_long_control_actions_requested,single_long_control_actions_present,single_long_control_effects_pred,single_long_control_effects_correct,single_long_control_effects_requested,single_long_control_effects_present,single_long_control_mention_foreign_pred,single_long_control_mention_foreign_correct,single_long_control_mention_foreign_requested,single_long_control_mention_foreign_present,single_long_control_mainly_foreign_pred,single_long_control_mainly_foreign_correct,single_long_control_mainly_foreign_requested,single_long_control_mainly_foreign_present,single_long_control_requested_task_count,single_long_control_task_completion_count,single_long_control_completion_share,single_long_control_aux_mean
Midcentury_7569,single_long_control,anthropic/claude-sonnet-4-6@default,1.0,1.0,0.82,uncertainty over the fate of the Administration's budget and health plans is widely cited as a soaree of restraint.,0,1,ok,"{""epu"":1,""confidence"":0.82,""focus_excerpt"":""uncertainty over the fate of the Administration's budget and health plans is widely cited as a soaree of restraint.""}",,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,0,0,,
Current_840,single_long_control,anthropic/claude-sonnet-4-6@default,1.0,1.0,0.75,"uncertainty over budget negotiations between President Clinton and Congress could prompt the Fed to take a wait-and-see approach, analysts said.",0,1,ok,"{""epu"": 1, ""confidence"": 0.75, ""focus_excerpt"": ""uncertainty over budget negotiations between President Clinton and Congress could prompt the Fed to take a wait-and-see approach, analysts said.""}",,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,0,0,,
Current_1795,single_long_control,anthropic/claude-sonnet-4-6@default,1.0,0.0,0.72,"Before the change in law, the Patriot Act had barred refugee status for those who had provided 'material support' to organizations on the State Department terrorist list... In 2006, the Department of Homeland Security recognized that Burmese refugees were unlikely to be terrorists and waived the material support clause",0,1,ok,"{""epu"": 1, ""confidence"": 0.72, ""focus_excerpt"": ""Before the change in law, the Patriot Act had barred refugee status for those who had provided 'material support' to organizations on the State Department terrorist list... In 2006, the Department of Homeland Security recognized that Burmese refugees were unlikely to be terrorists and waived the material support clause""}",,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,0,0,,
Current_292,single_long_control,anthropic/claude-sonnet-4-6@default,1.0,0.0,0.7,"To ease the economic backlash on East Germany, West Germany plans to expand its Deutschmarks to the east, uniting the economies... But East Germany has to start to overcome its decades of socialist planned economy before West Germany can take that risk",0,1,ok,"{""epu"": 1, ""confidence"": 0.7, ""focus_excerpt"": ""To ease the economic backlash on East Germany, West Germany plans to expand its Deutschmarks to the east, uniting the economies... But East Germany has to start to overcome its decades of socialist planned economy before West Germany can take that risk""}",,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,0,0,,
Midcentury_6605,single_long_control,anthropic/claude-sonnet-4-6@default,1.0,1.0,0.95,"Will Congress, for example, find the will to cut Federal spending, which in turn would tend to reduce the budget deficit, interest rates and perhaps even the international value of the dollar? Will taxes be raised and, if so, how will the increased burden be distributed?",0,1,ok,"{""epu"": 1, ""confidence"": 0.95, ""focus_excerpt"": ""Will Congress, for example, find the will to cut Federal spending, which in turn would tend to reduce the budget deficit, interest rates and perhaps even the international value of the dollar? Will taxes be raised and, if so, how will the increased burden be distributed?""}",,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,0,0,,
Midcentury_7618,single_long_control,anthropic/claude-sonnet-4-6@default,1.0,1.0,0.92,Mr. Bush presided over a conference in Austin to promote the tax cuts Mr. Lindsey has designed as a way to protect the nation against an economic slump,0,1,ok,"{""epu"": 1, ""confidence"": 0.92, ""focus_excerpt"": ""Mr. Bush presided over a conference in Austin to promote the tax cuts Mr. Lindsey has designed as a way to protect the nation against an economic slump""}",,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,0,0,,
Current_79,single_long_control,anthropic/claude-sonnet-4-6@default,0.0,1.0,0.9,the standoff between Levi Eshkol and his generals was as much cultural as strategic,0,1,ok,"{""epu"": 0, ""confidence"": 0.9, ""focus_excerpt"": ""the standoff between Levi Eshkol and his generals was as much cultural as strategic""}",,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,0,0,,
Midcentury_8077,single_long_control,anthropic/claude-sonnet-4-6@default,0.0,1.0,0.85,called for a new transatlantic free-trade agreement to meet the challenge of moves toward free trade in the Pacific region,0,1,ok,"{""epu"":0,""confidence"":0.85,""focus_excerpt"":""called for a new transatlantic free-trade agreement to meet the challenge of moves toward free trade in the Pacific region""}",,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,0,0,,
Current_654,single_long_control,anthropic/claude-sonnet-4-6@default,1.0,0.0,0.55,"Christine Callies, chief investment strategist at Credit Suisse First Boston in New York, expects the market to remain turbulent until a clear direction for interest rates emerges from next month's Federal Reserve meeting.",1,1,ok,"{""epu"": 1, ""confidence"": 0.55, ""focus_excerpt"": ""Christine Callies, chief investment strategist at Credit Suisse First Boston in New York, expects the market to remain turbulent until a clear direction for interest rates emerges from next month's Federal Reserve meeting.""}",,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,0,0,,
Midcentury_4968,single_long_control,anthropic/claude-sonnet-4-6@default,1.0,1.0,0.82,The feeling of uncertainty over the future of China's economic liberalization program and the unwillingness of business to make new investments in China are accelerating the decline there.,0,1,ok,"{""epu"": 1, ""confidence"": 0.82, ""focus_excerpt"": ""The feeling of uncertainty over the future of China's economic liberalization program and the unwillingness of business to make new investments in China are accelerating the decline there.""}",,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,0,0,,
Current_1196,single_long_control,anthropic/claude-sonnet-4-6@default,1.0,1.0,0.92,"Despite forecasts for a tight budget and possible cuts in social services, the needy billionaires of baseball, football, hockey and basketball are finding friends in Tallahassee.",0,1,ok,"{""epu"": 1, ""confidence"": 0.92, ""focus_excerpt"": ""Despite forecasts for a tight budget and possible cuts in social services, the needy billionaires of baseball, football, hockey and basketball are finding friends in Tallahassee.""}",,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,0,0,,
Current_1953,single_long_control,anthropic/claude-sonnet-4-6@default,1.0,1.0,0.72,"is.S. interests are transparent: moving ahead the Israeli-Palestinian peace process, preserving access to cheap Persian Gulf oil and isolating Iraq.",1,1,ok,"{""epu"": 1, ""confidence"": 0.72, ""focus_excerpt"": ""is.S. interests are transparent: moving ahead the Israeli-Palestinian peace process, preserving access to cheap Persian Gulf oil and isolating Iraq.""}",,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,0,0,,
Current_733,single_long_control,anthropic/claude-sonnet-4-6@default,0.0,1.0,0.97,"At a time when fewer graduates are finding work after completing their degrees and many people are uncertain they will keep the jobs they have, 17 graduates of MDC's electrical power technology program are leaving the school with a well-paying job",0,1,ok,"{""epu"": 0, ""confidence"": 0.97, ""focus_excerpt"": ""At a time when fewer graduates are finding work after completing their degrees and many people are uncertain they will keep the jobs they have, 17 graduates of MDC's electrical power technology program are leaving the school with a well-paying job"", ""who"": null, ""actions"": null, ""effects"": null}",,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,0,0,,
Current_1975,single_long_control,anthropic/claude-sonnet-4-6@default,1.0,1.0,0.62,The decline yesterday reflected uncertainty over the fallout from Argentina's decision Sunday to suspend all payments on its $132 billion debt.,1,1,ok,"{""epu"":1,""confidence"":0.62,""focus_excerpt"":""The decline yesterday reflected uncertainty over the fallout from Argentina's decision Sunday to suspend all payments on its $132 billion debt.""}",,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,0,0,,
