llm_name,article_key,gold_epu,disagreement_flag,newspaper,year,single_focus_epu_pred,full_focus_epu_first_epu_pred,full_focus_epu_last_epu_pred,single_focus_focus_excerpt,full_focus_epu_first_focus_excerpt,full_focus_epu_last_focus_excerpt,single_to_last_hurt,first_to_last_hurt
anthropic/claude-sonnet-4-6@default,Current_292,0,1,MIHB,1990,0.0,1.0,1,A united Germany will not and cannot remain neutral and will not forget its past,"To ease the economic backlash on East Germany, West Germany plans to expand its Deutschmarks to the east, uniting the economies... But East Germany has to start to overcome its decades of socialist planned economy before West Germany can take that risk","A continuation of this stampede to the West could lead to the collapse of the East German economy with unpredictable political consequences. To ease the economic backlash on East Germany, West Germany plans to expand its Deutschmarks to the east, uniting the economies.",1,0
anthropic/claude-sonnet-4-6@default,Current_1608,1,0,NYT,1989,0.0,1.0,0,"many Western governments, including the United States, remain wary of the depth of his commitment to withdraw support from terror groups and thus maintain embargoes and sanctions imposed years ago","many Western governments, including the United States, remain wary of the depth of his commitment to withdraw support from terror groups and thus maintain embargoes and sanctions imposed years ago","many Western governments, including the United States, remain wary of the depth of his commitment to withdraw support from terror groups and thus maintain embargoes and sanctions imposed years ago.",0,1
anthropic/claude-sonnet-4-6@default,Current_320,1,0,DMNB,1993,1.0,1.0,0,People are more willing to defer needed expenditures in times of economic need and uncertainty,People are more willing to defer needed expenditures in times of economic need and uncertainty,People are more willing to defer needed expenditures in times of economic need and uncertainty,1,1
anthropic/claude-sonnet-4-6@default,Current_438,0,0,MIHB,2004,0.0,1.0,1,political uncertainty and deeply rooted corruption,the first few months of EU membership will show whether Jekyll or the monster Hyde will prevail,the first few months of EU membership will show whether Jekyll or the monster Hyde will prevail,1,0
anthropic/claude-sonnet-4-6@default,Current_289,0,0,MIHB,1999,0.0,0.0,1,Uncertainty in Brazil keeps stock markets edgy,"Uncertainty in Brazil keeps stock markets edgy - Canadian stocks fell Thursday amid speculation that Brazil's economic slowdown could trim earnings, especially bank profits.","Canada's federal government hasn't ordered its departments to change their legislation to accommodate same-sex couples, nor has it set a deadline for them to do so, the justice minister said Wednesday.",1,1
anthropic/claude-sonnet-4-6@default,Current_1647,1,0,NYT,1992,0.0,1.0,0,We lack any kind of national consensus on how to act.,"We lack any kind of national consensus on how to act. Some of Japan's self-confidence has been deflated, in any case, by its poor economic performance recently... fears persist that the current mild recession could deepen and drag down the world economy. Privately, Japanese leaders say this may be a bad time for bold actions, especially costly ones.",We lack any kind of national consensus on how to act.,0,1
anthropic/claude-sonnet-4-6@default,Midcentury_6461,0,0,WPO,1988,0.0,1.0,1,uncertain about future Pakistani support for their cause,"No one knows what will happen... many opponents of the communist regime in Kabul fear all that will change... One fear voiced by guerrillas in Jaji is that the border here may be closed, cutting off the arms supply to the resistance groups inside Afghanistan.","No one knows what will happen... many opponents of the communist regime in Kabul fear all that will change... One fear voiced by guerrillas in Jaji is that the border here may be closed, cutting off the arms supply to the resistance groups inside Afghanistan.",1,0
anthropic/claude-sonnet-4-6@default,Current_1248,0,0,DMNB,2003,0.0,1.0,1,The lack of jobs has given Democrats seeking their party's presidential nomination lots to talk about. And the upcoming 2004 campaign has left President Bush anxiously hoping that tax cuts and low interest rates will eventually provide enough stimulus to create jobs.,the upcoming 2004 campaign has left President Bush anxiously hoping that tax cuts and low interest rates will eventually provide enough stimulus to create jobs,the upcoming 2004 campaign has left President Bush anxiously hoping that tax cuts and low interest rates will eventually provide enough stimulus to create jobs,1,0
anthropic/claude-sonnet-4-6@default,Current_1148,0,0,DMNB,1997,0.0,0.0,1,No consensus has developed in Tokyo yet on how to resolve the golf crisis.,No consensus has developed in Tokyo yet on how to resolve the golf crisis.,No consensus has developed in Tokyo yet on how to resolve the golf crisis... Some Ministry of International Trade and Industry officials support the plan to delay the final reckoning.,1,1
anthropic/claude-sonnet-4-6@default,Midcentury_6876,0,0,WSJ,1992,0.0,1.0,1,spending plans also will be determined by how well President-elect Clinton fares in the first 100 days,"spending plans also will be determined by how well President-elect Clinton fares in the first 100 days. Also, news of layoffs could be a drag on spending, particularly if the latest round of cuts begins to hit close to home. Another reason for caution is that there is likely to be fewer tax refunds. When President Bush authorized the IRS to withhold less money from paychecks, it wiped out refunds for millions of taxpayers","spending plans also will be determined by how well President-elect Clinton fares in the first 100 days. Also, news of layoffs could be a drag on spending, particularly if the latest round of cuts begins to hit close to home. Another reason for caution is that there is likely to be fewer tax refunds. When President Bush authorized the IRS to withhold less money from paychecks, it wiped out refunds for millions of taxpayers",1,0
