article_key,condition,llm_name,full_focus_epu_first_epu_pred,full_focus_epu_first_epu_correct,full_focus_epu_first_confidence,full_focus_epu_first_focus_excerpt,full_focus_epu_first_excerpt_in_target,full_focus_epu_first_json_valid,full_focus_epu_first_parse_status,full_focus_epu_first_raw_json,full_focus_epu_first_who_pred,full_focus_epu_first_who_correct,full_focus_epu_first_who_requested,full_focus_epu_first_who_present,full_focus_epu_first_actions_pred,full_focus_epu_first_actions_correct,full_focus_epu_first_actions_requested,full_focus_epu_first_actions_present,full_focus_epu_first_effects_pred,full_focus_epu_first_effects_correct,full_focus_epu_first_effects_requested,full_focus_epu_first_effects_present,full_focus_epu_first_mention_foreign_pred,full_focus_epu_first_mention_foreign_correct,full_focus_epu_first_mention_foreign_requested,full_focus_epu_first_mention_foreign_present,full_focus_epu_first_mainly_foreign_pred,full_focus_epu_first_mainly_foreign_correct,full_focus_epu_first_mainly_foreign_requested,full_focus_epu_first_mainly_foreign_present,full_focus_epu_first_requested_task_count,full_focus_epu_first_task_completion_count,full_focus_epu_first_completion_share,full_focus_epu_first_aux_mean
Midcentury_7569,full_focus_epu_first,openai/gpt-5.4-2026-03-05,1,1.0,0.9,uncertainty over the fate of the Administration's budget and health plans is widely cited as a source of restraint,0,1,ok,"{""epu"":1,""who"":1,""actions"":1,""effects"":1,""mention_foreign"":0,""mainly_foreign"":0,""confidence"":0.9,""focus_excerpt"":""uncertainty over the fate of the Administration's budget and health plans is widely cited as a source of restraint""}",1.0,0.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,0,1.0,1,1,0,1.0,1,1,5,5,1.0,0.8
Current_840,full_focus_epu_first,openai/gpt-5.4-2026-03-05,1,1.0,0.91,the market that is increasingly uncertain whether Federal Reserve policy-makers will cut interest rates next week,0,1,ok,"{
  ""epu"": 1,
  ""who"": 1,
  ""actions"": 1,
  ""effects"": 1,
  ""mention_foreign"": 0,
  ""mainly_foreign"": 0,
  ""confidence"": 0.91,
  ""focus_excerpt"": ""the market that is increasingly uncertain whether Federal Reserve policy-makers will cut interest rates next week""
}",1.0,0.0,1,1,1.0,1.0,1,1,1.0,0.0,1,1,0,1.0,1,1,0,1.0,1,1,5,5,1.0,0.6
Current_1795,full_focus_epu_first,openai/gpt-5.4-2026-03-05,1,0.0,0.82,"Thanks to a new U.S. policy, Nid Paw hopes to become one of 18,000 Burmese refugees allowed to settle in the United States in 2008.",0,1,ok,"{""epu"":1,""who"":1,""actions"":1,""effects"":1,""mention_foreign"":1,""mainly_foreign"":1,""confidence"":0.82,""focus_excerpt"":""Thanks to a new U.S. policy, Nid Paw hopes to become one of 18,000 Burmese refugees allowed to settle in the United States in 2008.""}",1.0,0.0,1,1,1.0,0.0,1,1,1.0,0.0,1,1,1,0.0,1,1,1,0.0,1,1,5,5,1.0,0.0
Current_292,full_focus_epu_first,openai/gpt-5.4-2026-03-05,1,0.0,0.85,"To ease the economic backlash on East Germany, West Germany plans to expand its Deutschmarks to the east, uniting the economies",1,1,ok,"{""epu"":1,""who"":1,""actions"":1,""effects"":1,""mention_foreign"":1,""mainly_foreign"":1,""confidence"":0.85,""focus_excerpt"":""To ease the economic backlash on East Germany, West Germany plans to expand its Deutschmarks to the east, uniting the economies""}",1.0,0.0,1,1,1.0,0.0,1,1,1.0,1.0,1,1,1,0.0,1,1,1,0.0,1,1,5,5,1.0,0.2
Midcentury_6605,full_focus_epu_first,openai/gpt-5.4-2026-03-05,1,1.0,0.97,"investment decisions depend nowadays on the policy makers of Washington and other world capitals. Will Congress, for example, find the will to cut Federal spending",1,1,ok,"{""epu"":1,""who"":1,""actions"":1,""effects"":1,""mention_foreign"":1,""mainly_foreign"":0,""confidence"":0.97,""focus_excerpt"":""investment decisions depend nowadays on the policy makers of Washington and other world capitals. Will Congress, for example, find the will to cut Federal spending""}",1.0,0.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1,1.0,1,1,0,1.0,1,1,5,5,1.0,0.8
Midcentury_7618,full_focus_epu_first,openai/gpt-5.4-2026-03-05,1,1.0,0.82,to promote the tax cuts Mr. Lindsey has designed as a way to protect the nation against an economic slump,1,1,ok,"{
  ""epu"": 1,
  ""who"": 1,
  ""actions"": 1,
  ""effects"": 1,
  ""mention_foreign"": 1,
  ""mainly_foreign"": 0,
  ""confidence"": 0.82,
  ""focus_excerpt"": ""to promote the tax cuts Mr. Lindsey has designed as a way to protect the nation against an economic slump""
}",1.0,1.0,1,1,1.0,0.0,1,1,1.0,0.0,1,1,1,0.0,1,1,0,1.0,1,1,5,5,1.0,0.4
Current_79,full_focus_epu_first,openai/gpt-5.4-2026-03-05,0,1.0,0.89,the standoff between [Levi Eshkol] and his generals was as much cultural as strategic,1,1,ok,"{""epu"":0,""who"":null,""actions"":null,""effects"":null,""mention_foreign"":1,""mainly_foreign"":1,""confidence"":0.89,""focus_excerpt"":""the standoff between [Levi Eshkol] and his generals was as much cultural as strategic""}",,0.0,1,0,,0.0,1,0,,0.0,1,0,1,0.0,1,1,1,0.0,1,1,5,2,0.4,0.0
Midcentury_8077,full_focus_epu_first,openai/gpt-5.4-2026-03-05,1,0.0,0.56,The European union's representative in the United States called for a new transatlantic free-trade agreement to meet the challenge of moves toward free trade in the Pacific region.,0,1,ok,"{""epu"":1,""who"":1,""actions"":1,""effects"":0,""mention_foreign"":1,""mainly_foreign"":1,""confidence"":0.56,""focus_excerpt"":""The European union's representative in the United States called for a new transatlantic free-trade agreement to meet the challenge of moves toward free trade in the Pacific region.""}",1.0,0.0,1,1,1.0,0.0,1,1,0.0,1.0,1,1,1,0.0,1,1,1,0.0,1,1,5,5,1.0,0.2
Current_654,full_focus_epu_first,openai/gpt-5.4-2026-03-05,1,0.0,0.71,expects the market to remain turbulent until a clear direction for interest rates emerges from next month's Federal Reserve meeting,1,1,ok,"{
  ""epu"": 1,
  ""who"": 0,
  ""actions"": 1,
  ""effects"": 0,
  ""mention_foreign"": 0,
  ""mainly_foreign"": 0,
  ""confidence"": 0.71,
  ""focus_excerpt"": ""expects the market to remain turbulent until a clear direction for interest rates emerges from next month's Federal Reserve meeting""
}",0.0,1.0,1,1,1.0,0.0,1,1,0.0,1.0,1,1,0,0.0,1,1,0,0.0,1,1,5,5,1.0,0.4
Midcentury_4968,full_focus_epu_first,openai/gpt-5.4-2026-03-05,1,1.0,0.91,the feeling of uncertainty over the future of China's economic liberalization program and the unwillingness of business to make new investments in China,0,1,ok,"{""epu"":1,""who"":1,""actions"":1,""effects"":1,""mention_foreign"":1,""mainly_foreign"":1,""confidence"":0.91,""focus_excerpt"":""the feeling of uncertainty over the future of China's economic liberalization program and the unwillingness of business to make new investments in China""}",1.0,0.0,1,1,1.0,1.0,1,1,1.0,0.0,1,1,1,1.0,1,1,1,1.0,1,1,5,5,1.0,0.6
Current_1196,full_focus_epu_first,openai/gpt-5.4-2026-03-05,1,1.0,0.94,"Hurdles to full passage lie ahead but, without Jeb around to drive another stake through its greedy heart, the monstrous stadium giveaway might finally claw its way into law.",1,1,ok,"{""epu"":1,""who"":1,""actions"":1,""effects"":1,""mention_foreign"":0,""mainly_foreign"":0,""confidence"":0.94,""focus_excerpt"":""Hurdles to full passage lie ahead but, without Jeb around to drive another stake through its greedy heart, the monstrous stadium giveaway might finally claw its way into law.""}",1.0,0.0,1,1,1.0,1.0,1,1,1.0,0.0,1,1,0,1.0,1,1,0,1.0,1,1,5,5,1.0,0.6
Current_1953,full_focus_epu_first,openai/gpt-5.4-2026-03-05,0,0.0,0.83,The Middle East's uncertain Future with chart: Falling Oil Prices,0,1,ok,"{""epu"":0,""who"":null,""actions"":null,""effects"":null,""mention_foreign"":1,""mainly_foreign"":1,""confidence"":0.83,""focus_excerpt"":""The Middle East's uncertain Future with chart: Falling Oil Prices""}",,0.0,1,0,,0.0,1,0,,0.0,1,0,1,1.0,1,1,1,0.0,1,1,5,2,0.4,0.2
Current_733,full_focus_epu_first,openai/gpt-5.4-2026-03-05,0,1.0,0.99,many people are uncertain they will keep the jobs they have,1,1,ok,"{
  ""epu"": 0,
  ""who"": null,
  ""actions"": null,
  ""effects"": null,
  ""mention_foreign"": 0,
  ""mainly_foreign"": 0,
  ""confidence"": 0.99,
  ""focus_excerpt"": ""many people are uncertain they will keep the jobs they have""
}",,0.0,1,0,,0.0,1,0,,0.0,1,0,0,0.0,1,1,0,0.0,1,1,5,2,0.4,0.0
Current_1975,full_focus_epu_first,openai/gpt-5.4-2026-03-05,0,0.0,0.94,The decline yesterday reflected uncertainty over the fallout from Argentina's decision Sunday to suspend all payments on its $132 billion debt.,1,1,ok,"{""epu"":0,""who"":null,""actions"":null,""effects"":null,""mention_foreign"":1,""mainly_foreign"":1,""confidence"":0.94,""focus_excerpt"":""The decline yesterday reflected uncertainty over the fallout from Argentina's decision Sunday to suspend all payments on its $132 billion debt.""}",,0.0,1,0,,0.0,1,0,,0.0,1,0,1,1.0,1,1,1,1.0,1,1,5,2,0.4,0.4
Current_814,full_focus_epu_first,openai/gpt-5.4-2026-03-05,1,1.0,0.82,"Economists say it's uncertain whether Chávez's new model, greatly dependent on high oil prices, is sustainable.",1,1,ok,"{""epu"":1,""who"":0,""actions"":0,""effects"":1,""mention_foreign"":1,""mainly_foreign"":1,""confidence"":0.82,""focus_excerpt"":""Economists say it's uncertain whether Chávez's new model, greatly dependent on high oil prices, is sustainable.""}",0.0,1.0,1,1,0.0,0.0,1,1,1.0,1.0,1,1,1,1.0,1,1,1,1.0,1,1,5,5,1.0,0.8
Current_1650,full_focus_epu_first,openai/gpt-5.4-2026-03-05,0,0.0,0.99,ARABELLA: Strauss' opera plays six more times through October 4 at the War Memorial Opera House.,1,1,ok,"{""epu"":0,""who"":null,""actions"":null,""effects"":null,""mention_foreign"":0,""mainly_foreign"":0,""confidence"":0.99,""focus_excerpt"":""ARABELLA: Strauss' opera plays six more times through October 4 at the War Memorial Opera House.""}",,0.0,1,0,,0.0,1,0,,0.0,1,0,0,1.0,1,1,0,1.0,1,1,5,2,0.4,0.4
Midcentury_1448,full_focus_epu_first,openai/gpt-5.4-2026-03-05,1,0.0,0.89,"it was ""unlikely"" the bank would be able to meet the new, more stringent Federal requirements for capital reserve",0,1,ok,"{""epu"":1,""who"":0,""actions"":1,""effects"":1,""mention_foreign"":0,""mainly_foreign"":0,""confidence"":0.89,""focus_excerpt"":""it was \""unlikely\"" the bank would be able to meet the new, more stringent Federal requirements for capital reserve""}",0.0,1.0,1,1,1.0,0.0,1,1,1.0,0.0,1,1,0,1.0,1,1,0,1.0,1,1,5,5,1.0,0.6
