article_key,condition,llm_name,single_long_control_epu_pred,single_long_control_epu_correct,single_long_control_confidence,single_long_control_focus_excerpt,single_long_control_excerpt_in_target,single_long_control_json_valid,single_long_control_parse_status,single_long_control_raw_json,single_long_control_who_pred,single_long_control_who_correct,single_long_control_who_requested,single_long_control_who_present,single_long_control_actions_pred,single_long_control_actions_correct,single_long_control_actions_requested,single_long_control_actions_present,single_long_control_effects_pred,single_long_control_effects_correct,single_long_control_effects_requested,single_long_control_effects_present,single_long_control_mention_foreign_pred,single_long_control_mention_foreign_correct,single_long_control_mention_foreign_requested,single_long_control_mention_foreign_present,single_long_control_mainly_foreign_pred,single_long_control_mainly_foreign_correct,single_long_control_mainly_foreign_requested,single_long_control_mainly_foreign_present,single_long_control_requested_task_count,single_long_control_task_completion_count,single_long_control_completion_share,single_long_control_aux_mean
Midcentury_7569,single_long_control,google/gemini-3.1-pro-preview,1,1.0,0.95,uncertainty over the fate of the Administration's budget and health plans is widely cited as a soaree of restraint.,0,1,ok,"{
  ""epu"": 1,
  ""confidence"": 0.95,
  ""focus_excerpt"": ""uncertainty over the fate of the Administration's budget and health plans is widely cited as a soaree of restraint.""
}",,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,0,0,,
Current_840,single_long_control,google/gemini-3.1-pro-preview,1,1.0,0.95,uncertaintyover budget negotiations between President Clinton and Congress could prompt the Fed to take a wait-and-see approach,1,1,ok,"{
  ""epu"": 1,
  ""confidence"": 0.95,
  ""focus_excerpt"": ""uncertaintyover budget negotiations between President Clinton and Congress could prompt the Fed to take a wait-and-see approach""
}",,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,0,0,,
Current_1795,single_long_control,google/gemini-3.1-pro-preview,0,1.0,1.0,"But the change also makes Nid Paw and other refugees uncertain about the lives they will leave behind and the problems they will face with a different culture, language and educational system, and an economy that is likely to offer no better than a minimum-wage job.",1,1,ok,"{
  ""epu"": 0,
  ""confidence"": 1.0,
  ""focus_excerpt"": ""But the change also makes Nid Paw and other refugees uncertain about the lives they will leave behind and the problems they will face with a different culture, language and educational system, and an economy that is likely to offer no better than a minimum-wage job.""
}",,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,0,0,,
Current_292,single_long_control,google/gemini-3.1-pro-preview,0,1.0,0.95,"In the midst of change and uncertainty, the alliance remains a reliable guarantor of peace",1,1,ok,"{
  ""epu"": 0,
  ""confidence"": 0.95,
  ""focus_excerpt"": ""In the midst of change and uncertainty, the alliance remains a reliable guarantor of peace""
}",,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,0,0,,
Midcentury_6605,single_long_control,google/gemini-3.1-pro-preview,1,1.0,0.99,"Will Congress, for example, find the will to cut Federal spending, which in turn would tend to reduce the budget deficit, interest rates and perhaps even the international value of the dollar?",1,1,ok,"{
  ""epu"": 1,
  ""confidence"": 0.99,
  ""focus_excerpt"": ""Will Congress, for example, find the will to cut Federal spending, which in turn would tend to reduce the budget deficit, interest rates and perhaps even the international value of the dollar?""
}",,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,0,0,,
Midcentury_7618,single_long_control,google/gemini-3.1-pro-preview,0,0.0,0.8,"The appointment came the same day Mr. Bush presided over a conference in Austin to promote the tax cuts Mr. Lindsey has designed as a way to protect the nation against an economic slump, and just an hour after the Fed confirmed a gloomier outlook for the economy with a sharp cut in interest rates.",0,1,ok,"{
  ""epu"": 0,
  ""confidence"": 0.8,
  ""focus_excerpt"": ""The appointment came the same day Mr. Bush presided over a conference in Austin to promote the tax cuts Mr. Lindsey has designed as a way to protect the nation against an economic slump, and just an hour after the Fed confirmed a gloomier outlook for the economy with a sharp cut in interest rates.""
}",,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,0,0,,
Current_79,single_long_control,google/gemini-3.1-pro-preview,0,1.0,1.0,"As depicted by [Tom Segev], the standoff between [Levi Eshkol] and his generals was as much cultural as strategic.",1,1,ok,"{
  ""epu"": 0,
  ""confidence"": 1.0,
  ""focus_excerpt"": ""As depicted by [Tom Segev], the standoff between [Levi Eshkol] and his generals was as much cultural as strategic.""
}",,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,0,0,,
Midcentury_8077,single_long_control,google/gemini-3.1-pro-preview,0,1.0,1.0,because of continuing uncertainty over what BCCI assets are left,1,1,ok,"{
  ""epu"": 0,
  ""confidence"": 1.0,
  ""focus_excerpt"": ""because of continuing uncertainty over what BCCI assets are left""
}",,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,0,0,,
Current_654,single_long_control,google/gemini-3.1-pro-preview,1,0.0,0.95,expects the market to remain turbulent until a clear direction for interest rates emerges from next month's Federal Reserve meeting.,1,1,ok,"{
  ""epu"": 1,
  ""confidence"": 0.95,
  ""focus_excerpt"": ""expects the market to remain turbulent until a clear direction for interest rates emerges from next month's Federal Reserve meeting.""
}",,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,0,0,,
Midcentury_4968,single_long_control,google/gemini-3.1-pro-preview,1,1.0,0.95,But the feeling of uncertainty over *irthe future of China's economic liberal­ization program and the unwillingness of business to make new investments in China are accelerating the decline there.,1,1,ok,"{
  ""epu"": 1,
  ""confidence"": 0.95,
  ""focus_excerpt"": ""But the feeling of uncertainty over *irthe future of China's economic liberal­ization program and the unwillingness of business to make new investments in China are accelerating the decline there.""
}",,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,0,0,,
Current_1196,single_long_control,google/gemini-3.1-pro-preview,1,1.0,0.9,"The remainder of the financing would come from Miami-Dade taxpayers and team owner Jeffrey Loria, though in what proportion is uncertain.",1,1,ok,"{
  ""epu"": 1,
  ""confidence"": 0.90,
  ""focus_excerpt"": ""The remainder of the financing would come from Miami-Dade taxpayers and team owner Jeffrey Loria, though in what proportion is uncertain.""
}",,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,0,0,,
Current_1953,single_long_control,google/gemini-3.1-pro-preview,0,0.0,0.95,"In coming years, during which new leaders may replace aging ones in Saudi Arabia, Syria, Egypt, the Palestinian Authority and perhaps Iraq, the is.S. regional interests may not be so easily protected, say analysts who have long studied the region.",1,1,ok,"{
  ""epu"": 0,
  ""confidence"": 0.95,
  ""focus_excerpt"": ""In coming years, during which new leaders may replace aging ones in Saudi Arabia, Syria, Egypt, the Palestinian Authority and perhaps Iraq, the is.S. regional interests may not be so easily protected, say analysts who have long studied the region.""
}",,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,0,0,,
Current_733,single_long_control,google/gemini-3.1-pro-preview,0,1.0,1.0,many people are uncertain they will keep the jobs they have,1,1,ok,"{
  ""epu"": 0,
  ""confidence"": 1.0,
  ""focus_excerpt"": ""many people are uncertain they will keep the jobs they have""
}",,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,0,0,,
