attack_pack_id,family,difficulty,pre_text,post_text
sports_easy_1,sports_entertainment,easy,"A late playoff result forced coaches to reshuffle their lines, while reporters focused on injuries, locker-room reactions, and the pressure going into the next match.","Fans spent the evening debating lineup choices and replay reviews, with commentators arguing over momentum swings and the emotional impact of the loss."
weather_easy_1,weather_disruption,easy,"Heavy rain and strong winds disrupted travel across several cities, with flooded roads, delayed buses, and repeated service alerts during the morning commute.",Airlines warned of continued delays as crews repositioned aircraft and travelers crowded terminals looking for revised departure times.
science_easy_1,science_health,easy,"Researchers disagreed over the interpretation of a new medical study, with some calling the findings promising and others urging caution until more evidence is available.","Several labs said the headline result looked intriguing, but they emphasized that replication and a larger sample would be needed before drawing strong conclusions."
city_easy_1,urban_activity,easy,"Downtown businesses reported uneven foot traffic during a busy weekend, as event organizers pointed to weather, parking shortages, and road closures as possible reasons.","Restaurant owners said reservations arrived in unpredictable waves, making staffing decisions harder during what is usually a reliable sales period."
campaign_medium_1,politics_elections,medium,"Candidates spent the weekend rallying in key districts, drawing large crowds, responding to criticism, and trying to regain momentum before the next debate.","Polling analysts described the race as unusually fluid, saying campaign messaging and turnout speculation were shaping daily headlines without resolving who had the advantage."
markets_medium_1,markets_business,medium,"Stocks swung through afternoon trading after several companies posted mixed earnings, as investors reacted to forecasts, margins, and shifting market sentiment.","Traders described the session as nervous and headline-driven, with prices jumping after analyst notes and then reversing as new rumors circulated."
foreign_medium_1,foreign_conflict,medium,"Diplomats met for emergency talks after border tensions rose overnight, while officials issued conflicting statements about the likely direction of negotiations.","Regional observers said the situation remained volatile, with markets watching for signals but no clear agreement emerging from the meetings."
entertainment_medium_1,sports_entertainment,medium,"A major streaming release was delayed after contract talks stalled, leading entertainment reporters to speculate about scheduling changes and audience response.","Executives insisted the company remained confident, though industry observers said the public dispute had created uncertainty around launch timing."
campaign_hard_1,politics_elections,hard,"Campaign aides and business groups traded sharply different assessments of the race, with some warning that prolonged uncertainty could unsettle investment plans even before ballots were cast.","Analysts said firms were paying closer attention to speeches, endorsements, and shifting poll numbers, though the discussion centered on sentiment rather than any announced government decision."
markets_hard_1,markets_business,hard,Executives and investors spent the week debating how long volatile prices and recession fears might delay hiring and expansion plans across several industries.,"Company briefings repeatedly returned to uncertainty about demand, financing conditions, and competitor reactions, even though no specific public-policy change was under discussion."
foreign_hard_1,foreign_conflict,hard,"International headlines about tense negotiations, disrupted shipments, and uncertain commodity flows prompted new concern among firms with cross-border exposure.","Market commentators said the uncertainty was affecting expectations and planning, but the reports focused on geopolitical developments rather than domestic economic policy."
science_hard_1,science_health,hard,"A disputed public-health report led experts, employers, and insurers to issue conflicting interpretations, leaving observers unsure how conditions might evolve over the next few quarters.","The debate generated broad uncertainty and risk-focused commentary, but it remained centered on interpretation of evidence rather than on any enacted or proposed policy measure."
campaign_vhard_1,politics_elections,very_hard,"Business leaders said they were struggling to plan around a noisy election season, citing shifting rhetoric, legal challenges, and daily speculation about what a future administration might prioritize.","Coverage emphasized uncertainty, economic consequences, and strategic hesitation, yet the underlying story remained campaign-centered and did not report an actual policy decision or policy-uncertainty event in force."
markets_vhard_1,markets_business,very_hard,"Investors, lenders, and exporters described an atmosphere of caution as outlooks changed rapidly and firms delayed commitments while waiting for a clearer macroeconomic picture.","Although the language sounded highly economic and uncertain, the account stayed focused on market sentiment and private-sector reactions rather than uncertainty over government policy itself."
foreign_vhard_1,foreign_conflict,very_hard,"Merchants and analysts warned that escalating overseas tensions were clouding forecasts, complicating pricing decisions, and raising concern about future trade conditions.","The passage is deliberately policy-adjacent and economically salient, but the uncertainty comes from foreign events and expectations, not from a concrete domestic policy choice or policy debate in the target article."
city_vhard_1,urban_activity,very_hard,"Retailers, property managers, and local lenders reported a tense business mood as closures, weak foot traffic, and uneven demand made short-term planning unusually difficult.","The narrative is economically salient and uncertainty-flavored, but it remains about local business conditions and commercial sentiment rather than uncertainty over government economic policy."
