llm_name,article_key,gold_epu,disagreement_flag,newspaper,year,variant_id,was_truncated,orig_content_len,content_for_eval_len,dossier_profile,condition,target_section_id,target_section_pred,section_correct,epu_pred,epu_correct,joint_correct,confidence,focus_excerpt,excerpt_in_target,json_valid,parse_failure,target_position,target_position_norm,n_sections,distractor_families,raw_json
google/gemini-3.1-pro-preview,Midcentury_7510,0,0,NYT,1986,1,0,3126,3126,standard8,easy,SEC-135,SEC-135,1.0,0.0,1.0,1.0,0.95,New York City's economy is having another robust year despite an uncertain national outlook,1,1,0,2,0.25,8,education_admin|company_earnings|local_business|civic_notice|housing_market|sports_business|health_system,"{
  ""target_section_id"": ""SEC-135"",
  ""epu"": 0,
  ""confidence"": 0.95,
  ""focus_excerpt"": ""New York City's economy is having another robust year despite an uncertain national outlook""
}"
google/gemini-3.1-pro-preview,Midcentury_7510,0,0,NYT,1986,1,0,3126,3126,standard8,medium,SEC-135,SEC-135,1.0,0.0,1.0,1.0,0.95,New York City's economy is having another robust year despite an uncer­tain national outltok,1,1,0,4,0.5,8,commodity_markets|housing_market|civic_notice|education_admin|sports_business|company_earnings|transport_notice,"{
  ""target_section_id"": ""SEC-135"",
  ""epu"": 0,
  ""confidence"": 0.95,
  ""focus_excerpt"": ""New York City's economy is having another robust year despite an uncer­tain national outltok""
}"
google/gemini-3.1-pro-preview,Midcentury_7510,0,0,NYT,1986,1,0,3126,3126,standard8,hard,SEC-135,SEC-135,1.0,0.0,1.0,1.0,0.95,New York City's economy is having another robust year despite an uncer­tain national outltok,1,1,0,6,0.75,8,health_system|local_business|election_campaign|commodity_markets|company_earnings|housing_market|foreign_affairs,"{
  ""target_section_id"": ""SEC-135"",
  ""epu"": 0,
  ""confidence"": 0.95,
  ""focus_excerpt"": ""New York City's economy is having another robust year despite an uncer­tain national outltok""
}"
google/gemini-3.1-pro-preview,Midcentury_7510,0,0,NYT,1986,1,0,3126,3126,standard8,very_hard,SEC-135,SEC-135,1.0,0.0,1.0,1.0,1.0,"New York City's economy is having another robust year despite an uncertain national outltok, according to a report yesterday from the office of State Comptroller Edward V. Regan.",1,1,0,8,1.0,8,local_business|housing_market|company_earnings|foreign_affairs|commodity_markets|health_system|election_campaign,"{
  ""target_section_id"": ""SEC-135"",
  ""epu"": 0,
  ""confidence"": 1.0,
  ""focus_excerpt"": ""New York City's economy is having another robust year despite an uncertain national outltok, according to a report yesterday from the office of State Comptroller Edward V. Regan.""
}"
google/gemini-3.1-pro-preview,Current_1301,1,1,DMNB,1997,1,0,4283,4283,standard8,easy,SEC-142,SEC-142,1.0,1.0,1.0,1.0,0.95,"They cost is.S. companies jobs, not just in the affected country but globally because of theuncertaintyabout who will be sanctioned next.",1,1,0,2,0.25,8,company_earnings|weather_update|local_business|housing_market|health_system|sports_business|education_admin,"{
  ""target_section_id"": ""SEC-142"",
  ""epu"": 1,
  ""confidence"": 0.95,
  ""focus_excerpt"": ""They cost is.S. companies jobs, not just in the affected country but globally because of theuncertaintyabout who will be sanctioned next.""
}"
google/gemini-3.1-pro-preview,Current_1301,1,1,DMNB,1997,1,0,4283,4283,standard8,medium,SEC-142,SEC-142,1.0,1.0,1.0,1.0,0.95,"They cost is.S. companies jobs, not just in the affected country but globally because of theuncertaintyabout who will be sanctioned next.",1,1,0,4,0.5,8,election_campaign|company_earnings|civic_notice|transport_notice|local_business|foreign_affairs|health_system,"{
  ""target_section_id"": ""SEC-142"",
  ""epu"": 1,
  ""confidence"": 0.95,
  ""focus_excerpt"": ""They cost is.S. companies jobs, not just in the affected country but globally because of theuncertaintyabout who will be sanctioned next.""
}"
google/gemini-3.1-pro-preview,Current_1301,1,1,DMNB,1997,1,0,4283,4283,standard8,hard,SEC-142,SEC-142,1.0,1.0,1.0,1.0,0.99,"They cost is.S. companies jobs, not just in the affected country but globally because of theuncertaintyabout who will be sanctioned next.",1,1,0,6,0.75,8,election_campaign|company_earnings|commodity_markets|foreign_affairs|housing_market|health_system|local_business,"{
  ""target_section_id"": ""SEC-142"",
  ""epu"": 1,
  ""confidence"": 0.99,
  ""focus_excerpt"": ""They cost is.S. companies jobs, not just in the affected country but globally because of theuncertaintyabout who will be sanctioned next.""
}"
google/gemini-3.1-pro-preview,Current_1301,1,1,DMNB,1997,1,0,4283,4283,standard8,very_hard,SEC-142,SEC-142,1.0,1.0,1.0,1.0,0.95,"They cost is.S. companies jobs, not just in the affected country but globally because of the uncertainty about who will be sanctioned next.",1,1,0,8,1.0,8,foreign_affairs|election_campaign|health_system|commodity_markets|local_business|company_earnings|housing_market,"{
  ""target_section_id"": ""SEC-142"",
  ""epu"": 1,
  ""confidence"": 0.95,
  ""focus_excerpt"": ""They cost is.S. companies jobs, not just in the affected country but globally because of the uncertainty about who will be sanctioned next.""
}"
google/gemini-3.1-pro-preview,Midcentury_7369,0,0,WSJ,1989,1,1,6540,4506,standard8,easy,SEC-149,SEC-149,1.0,0.0,1.0,1.0,1.0,uncertainty among traders over the future price of oil.,1,1,0,2,0.25,8,sports_business|education_admin|health_system|housing_market|civic_notice|company_earnings|local_business,"```json
{
  ""target_section_id"": ""SEC-149"",
  ""epu"": 0,
  ""confidence"": 1.0,
  ""focus_excerpt"": ""uncertainty among traders over the future price of oil.""
}
```"
google/gemini-3.1-pro-preview,Midcentury_7369,0,0,WSJ,1989,1,1,6540,4506,standard8,medium,SEC-149,SEC-149,1.0,0.0,1.0,1.0,0.95,uncertainty among traders over the future price of oil.,1,1,0,4,0.5,8,education_admin|sports_business|housing_market|health_system|commodity_markets|civic_notice|foreign_affairs,"```json
{
  ""target_section_id"": ""SEC-149"",
  ""epu"": 0,
  ""confidence"": 0.95,
  ""focus_excerpt"": ""uncertainty among traders over the future price of oil.""
}
```"
