article_key,condition,llm_name,single_focus_epu_pred,single_focus_epu_correct,single_focus_confidence,single_focus_focus_excerpt,single_focus_excerpt_in_target,single_focus_json_valid,single_focus_parse_status,single_focus_raw_json,single_focus_who_pred,single_focus_who_correct,single_focus_who_requested,single_focus_who_present,single_focus_actions_pred,single_focus_actions_correct,single_focus_actions_requested,single_focus_actions_present,single_focus_effects_pred,single_focus_effects_correct,single_focus_effects_requested,single_focus_effects_present,single_focus_mention_foreign_pred,single_focus_mention_foreign_correct,single_focus_mention_foreign_requested,single_focus_mention_foreign_present,single_focus_mainly_foreign_pred,single_focus_mainly_foreign_correct,single_focus_mainly_foreign_requested,single_focus_mainly_foreign_present,single_focus_requested_task_count,single_focus_task_completion_count,single_focus_completion_share,single_focus_aux_mean
Midcentury_7569,single_focus,openai/gpt-5.4-2026-03-05,1,1.0,0.81,uncertainty over the fate of the Administration's budget and health plans is widely cited as a source of restraint,0,1,ok,"{""epu"":1,""confidence"":0.81,""focus_excerpt"":""uncertainty over the fate of the Administration's budget and health plans is widely cited as a source of restraint""}",,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,0,0,,
Current_840,single_focus,openai/gpt-5.4-2026-03-05,1,1.0,0.83,bond prices resumed drifting lower in a lightly traded market that is increasingly uncertain whether Federal Reserve policy-makers will cut interest rates next week,0,1,ok,"{""epu"":1,""confidence"":0.83,""focus_excerpt"":""bond prices resumed drifting lower in a lightly traded market that is increasingly uncertain whether Federal Reserve policy-makers will cut interest rates next week""}",,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,0,0,,
Current_1795,single_focus,openai/gpt-5.4-2026-03-05,1,0.0,0.73,"Thanks to a new U.S. policy, Nid Paw hopes to become one of 18,000 Burmese refugees allowed to settle in the United States in 2008.",0,1,ok,"{""epu"":1,""confidence"":0.73,""focus_excerpt"":""Thanks to a new U.S. policy, Nid Paw hopes to become one of 18,000 Burmese refugees allowed to settle in the United States in 2008.""}",,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,0,0,,
Current_292,single_focus,openai/gpt-5.4-2026-03-05,0,1.0,0.88,"""A continuation of this stampede to the West could lead to the collapse of the East German economy with unpredictable political consequences.""",0,1,ok,"{""epu"":0,""confidence"":0.88,""focus_excerpt"":""\""A continuation of this stampede to the West could lead to the collapse of the East German economy with unpredictable political consequences.\""""}",,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,0,0,,
Midcentury_6605,single_focus,openai/gpt-5.4-2026-03-05,1,1.0,0.96,"Will Congress, for example, find the will to cut Federal spending, which in turn would tend to reduce the budget deficit, interest rates and perhaps even the international value of the dollar? Will taxes be raised and, if so, how will the increased burden be distributed?",0,1,ok,"{""epu"":1,""confidence"":0.96,""focus_excerpt"":""Will Congress, for example, find the will to cut Federal spending, which in turn would tend to reduce the budget deficit, interest rates and perhaps even the international value of the dollar? Will taxes be raised and, if so, how will the increased burden be distributed?""}",,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,0,0,,
Midcentury_7618,single_focus,openai/gpt-5.4-2026-03-05,1,1.0,0.89,to promote the tax cuts Mr. Lindsey has designed as a way to protect the nation against an economic slump,1,1,ok,"{""epu"": 1, ""confidence"": 0.89, ""focus_excerpt"": ""to promote the tax cuts Mr. Lindsey has designed as a way to protect the nation against an economic slump""}",,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,0,0,,
Current_79,single_focus,openai/gpt-5.4-2026-03-05,0,1.0,0.9,the standoff between [Levi Eshkol] and his generals was as much cultural as strategic,1,1,ok,"{""epu"":0,""confidence"":0.9,""focus_excerpt"":""the standoff between [Levi Eshkol] and his generals was as much cultural as strategic""}",,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,0,0,,
Midcentury_8077,single_focus,openai/gpt-5.4-2026-03-05,1,0.0,0.72,called for a new transatlantic free-trade agreement to meet the challenge of moves toward free trade in the Pacific region,0,1,ok,"{""epu"":1,""confidence"":0.72,""focus_excerpt"":""called for a new transatlantic free-trade agreement to meet the challenge of moves toward free trade in the Pacific region""}",,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,0,0,,
Current_654,single_focus,openai/gpt-5.4-2026-03-05,0,1.0,0.96,"Christine Callies, chief investment strategist at Credit Suisse First Boston in New York, expects the market to remain turbulent until a clear direction for interest rates emerges from next month's Federal Reserve meeting.",1,1,ok,"{""epu"":0,""confidence"":0.96,""focus_excerpt"":""Christine Callies, chief investment strategist at Credit Suisse First Boston in New York, expects the market to remain turbulent until a clear direction for interest rates emerges from next month's Federal Reserve meeting.""}",,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,0,0,,
Midcentury_4968,single_focus,openai/gpt-5.4-2026-03-05,1,1.0,0.84,the feeling of uncertainty over the future of China's economic liberalization program and the unwillingness of business to make new investments in China,0,1,ok,"{""epu"":1,""confidence"":0.84,""focus_excerpt"":""the feeling of uncertainty over the future of China's economic liberalization program and the unwillingness of business to make new investments in China""}",,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,0,0,,
