article_key,condition,llm_name,full_focus_epu_last_epu_pred,full_focus_epu_last_epu_correct,full_focus_epu_last_confidence,full_focus_epu_last_focus_excerpt,full_focus_epu_last_excerpt_in_target,full_focus_epu_last_json_valid,full_focus_epu_last_parse_status,full_focus_epu_last_raw_json,full_focus_epu_last_who_pred,full_focus_epu_last_who_correct,full_focus_epu_last_who_requested,full_focus_epu_last_who_present,full_focus_epu_last_actions_pred,full_focus_epu_last_actions_correct,full_focus_epu_last_actions_requested,full_focus_epu_last_actions_present,full_focus_epu_last_effects_pred,full_focus_epu_last_effects_correct,full_focus_epu_last_effects_requested,full_focus_epu_last_effects_present,full_focus_epu_last_mention_foreign_pred,full_focus_epu_last_mention_foreign_correct,full_focus_epu_last_mention_foreign_requested,full_focus_epu_last_mention_foreign_present,full_focus_epu_last_mainly_foreign_pred,full_focus_epu_last_mainly_foreign_correct,full_focus_epu_last_mainly_foreign_requested,full_focus_epu_last_mainly_foreign_present,full_focus_epu_last_requested_task_count,full_focus_epu_last_task_completion_count,full_focus_epu_last_completion_share,full_focus_epu_last_aux_mean
Midcentury_7569,full_focus_epu_last,deepseek-ai/deepseek-v3.2,1,1.0,0.8,uncertainty over the fate of the Administration's budget and health plans is widely cited as a source of restraint.,0,1,ok,"{
  ""epu"": 1,
  ""who"": 0,
  ""actions"": 1,
  ""effects"": 1,
  ""mention_foreign"": 0,
  ""mainly_foreign"": 0,
  ""confidence"": 0.8,
  ""focus_excerpt"": ""uncertainty over the fate of the Administration's budget and health plans is widely cited as a source of restraint.""
}",0.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,0.0,1.0,1,1,0.0,1.0,1,1,5,5,1.0,1.0
Current_840,full_focus_epu_last,deepseek-ai/deepseek-v3.2,0,0.0,0.8,uncertainty over budget negotiations between President Clinton and Congress could prompt the Fed to take a wait-and-see approach,0,1,ok,"{
  ""epu"": 0,
  ""who"": null,
  ""actions"": null,
  ""effects"": null,
  ""mention_foreign"": 0,
  ""mainly_foreign"": 0,
  ""confidence"": 0.8,
  ""focus_excerpt"": ""uncertainty over budget negotiations between President Clinton and Congress could prompt the Fed to take a wait-and-see approach""
}",,0.0,1,0,,0.0,1,0,,0.0,1,0,0.0,1.0,1,1,0.0,1.0,1,1,5,2,0.4,0.4
Current_1795,full_focus_epu_last,deepseek-ai/deepseek-v3.2,0,1.0,0.95,"But the change also makes Nid Paw and other refugees uncertain about the lives they will leave behind and the problems they will face with a different culture, language and educational system, and an economy that is likely to offer no better than a minimum-wage job.",1,1,ok,"```json
{
  ""epu"": 0,
  ""who"": null,
  ""actions"": null,
  ""effects"": null,
  ""mention_foreign"": 1,
  ""mainly_foreign"": 1,
  ""confidence"": 0.95,
  ""focus_excerpt"": ""But the change also makes Nid Paw and other refugees uncertain about the lives they will leave behind and the problems they will face with a different culture, language and educational system, and an economy that is likely to offer no better than a minimum-wage job.""
}
```",,0.0,1,0,,0.0,1,0,,0.0,1,0,1.0,0.0,1,1,1.0,0.0,1,1,5,2,0.4,0.0
Current_292,full_focus_epu_last,deepseek-ai/deepseek-v3.2,0,1.0,0.95,"In the midst of change and uncertainty, the alliance remains a reliable guarantor of peace",1,1,ok,"{
  ""epu"": 0,
  ""who"": null,
  ""actions"": null,
  ""effects"": null,
  ""mention_foreign"": null,
  ""mainly_foreign"": null,
  ""confidence"": 0.95,
  ""focus_excerpt"": ""In the midst of change and uncertainty, the alliance remains a reliable guarantor of peace""
}",,0.0,1,0,,0.0,1,0,,0.0,1,0,,0.0,1,0,,0.0,1,0,5,0,0.0,0.0
Midcentury_6605,full_focus_epu_last,deepseek-ai/deepseek-v3.2,1,1.0,0.95,"investment decisions depend nowadays on the policy makers of Washington and other world capitals. Will Congress, for example, find the will to cut Federal spending... Will taxes be raised and, if so, how... Would a limitation of interest deductions for real estate, for example, result in lower property values... Will Japan open its markets enough to head off the rising tide of protectionist sentiment",0,1,ok,"{
  ""epu"": 1,
  ""who"": 1,
  ""actions"": 1,
  ""effects"": 1,
  ""mention_foreign"": 1,
  ""mainly_foreign"": 0,
  ""confidence"": 0.95,
  ""focus_excerpt"": ""investment decisions depend nowadays on the policy makers of Washington and other world capitals. Will Congress, for example, find the will to cut Federal spending... Will taxes be raised and, if so, how... Would a limitation of interest deductions for real estate, for example, result in lower property values... Will Japan open its markets enough to head off the rising tide of protectionist sentiment""
}",1.0,0.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,0.0,1.0,1,1,5,5,1.0,0.8
Midcentury_7618,full_focus_epu_last,deepseek-ai/deepseek-v3.2,1,1.0,0.8,"the tax reductions would prompt consumers to save more money, helping insulate the nation from a deep recession if the long boom — which he has repeatedly called a bubble — were to pop.",0,1,ok,"{
  ""epu"": 1,
  ""who"": 0,
  ""actions"": 1,
  ""effects"": 1,
  ""mention_foreign"": 1,
  ""mainly_foreign"": 0,
  ""confidence"": 0.8,
  ""focus_excerpt"": ""the tax reductions would prompt consumers to save more money, helping insulate the nation from a deep recession if the long boom — which he has repeatedly called a bubble — were to pop.""
}",0.0,0.0,1,1,1.0,0.0,1,1,1.0,0.0,1,1,1.0,0.0,1,1,0.0,1.0,1,1,5,5,1.0,0.2
Current_79,full_focus_epu_last,deepseek-ai/deepseek-v3.2,0,1.0,0.95,the contest over who would dictate the course of Israeli policy,1,1,ok,"{
  ""epu"": 0,
  ""who"": null,
  ""actions"": null,
  ""effects"": null,
  ""mention_foreign"": 0,
  ""mainly_foreign"": 1,
  ""confidence"": 0.95,
  ""focus_excerpt"": ""the contest over who would dictate the course of Israeli policy""
}",,0.0,1,0,,0.0,1,0,,0.0,1,0,0.0,1.0,1,1,1.0,0.0,1,1,5,2,0.4,0.2
Midcentury_8077,full_focus_epu_last,deepseek-ai/deepseek-v3.2,0,1.0,0.85,"The European isnion's representative in,the isnited. States called for a new transatlantic free-trade agreement",0,1,ok,"```json
{
  ""epu"": 0,
  ""who"": null,
  ""actions"": null,
  ""effects"": null,
  ""mention_foreign"": 1,
  ""mainly_foreign"": 1,
  ""confidence"": 0.85,
  ""focus_excerpt"": ""The European isnion's representative in,the isnited. States called for a new transatlantic free-trade agreement""
}
```",,0.0,1,0,,0.0,1,0,,0.0,1,0,1.0,0.0,1,1,1.0,0.0,1,1,5,2,0.4,0.0
Current_654,full_focus_epu_last,deepseek-ai/deepseek-v3.2,0,1.0,0.95,"Christine Callies, chief investment strategist at Credit Suisse First Boston in New York, expects the market to remain turbulent until a clear direction for interest rates emerges from next month's Federal Reserve meeting.",1,1,ok,"{""epu"": 0, ""who"": null, ""actions"": null, ""effects"": null, ""mention_foreign"": 0, ""mainly_foreign"": 0, ""confidence"": 0.95, ""focus_excerpt"": ""Christine Callies, chief investment strategist at Credit Suisse First Boston in New York, expects the market to remain turbulent until a clear direction for interest rates emerges from next month's Federal Reserve meeting.""}",,0.0,1,0,,0.0,1,0,,0.0,1,0,0.0,0.0,1,1,0.0,0.0,1,1,5,2,0.4,0.0
Midcentury_4968,full_focus_epu_last,deepseek-ai/deepseek-v3.2,1,1.0,0.95,the feeling of uncertainty over the future of China's economic liberalization program,0,1,ok,"{
  ""epu"": 1,
  ""who"": 1,
  ""actions"": 1,
  ""effects"": 1,
  ""mention_foreign"": 1,
  ""mainly_foreign"": 1,
  ""confidence"": 0.95,
  ""focus_excerpt"": ""the feeling of uncertainty over the future of China's economic liberalization program""
}",1.0,0.0,1,1,1.0,1.0,1,1,1.0,0.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,5,5,1.0,0.6
