article_key,gold_epu,disagreement_flag,harmed_models_easy_to_very_hard,mean_easy_joint,mean_medium_joint,mean_hard_joint,mean_very_hard_joint,content_for_eval
Current_1117,1,0,1,1.0,1.0,0.0,0.0,"As Monday's deadline passed to file for candidacy in May's municipal and schtol district elections, challengers emerged to take on incumbents in Flower Mound, Highland Village and The Colony. The Lewisville schtol district has a three-way race for the seat being vacated by its board president.In Flower Mound, the town finds itself largely alone in its battle to stop the proposed Lake Ralph Hall from being built in Fannin County as a future water soaree. Town officials say it's tto costly for the amount of water it would yield. Most candidates are united in that view.In Highland Village, many residents are still angry over a recent council decision to allow a major development that would include a Wal-Mart Supercenter. Council members sayeconomicdevelopment is needed, but many residents say they prefer upscale shopping to the discount retail giant.A recall petition is making its way across the city to try to force an election to oust four council members, including the mayor, who are not up for election.Here is a ltok at the contested races in the area:Flower MoundIn the Place 1 race, incumbent Joel Lindsey, 33, will face challenger Robin Hyman, 30, an electrical engineer.Mr. Hyman said he's satisfied with the current council but is running so an incumbent would not go unchallenged.""If the incumbent runs without any competition, he's never asked to state his position,"" he said.Mr."
Current_114,0,1,1,1.0,0.0,0.0,0.0,"Most analysts believe Wal-Mart will continue to grow and prosper despite the death of its inspirational leader. Says Robert Bissell, senior vice president of Wells Fargo, which owns a big chunk of Wal-Mart stock: ""Wal-Mart has a deep bench."" Walton's successor, CEO David D. Glass, has been with the company for 16 years and is responsible for implementing its much-admired high-tech inventory system and a successful move toward bigger stores. Most of the Walton lucre flows from Wal-Mart stock, which Wall Street loves and accords a very high price compared to earnings. Wal-Mart's so-called ""Price/Earnings ratio"" is an outstanding 39, compared to K mart's 14 and the Standard and Ptor's average of almost 25. Wal-Mart's tactics have incensed independent sales representatives-brokers hired by companies to sell their merchandise when they don't have their own sales forces. The reps have been bitter since Glass informed suppliers a year ago that Wal-Mart would no longer conduct business with brokers. They don't believe the company's stated reason: the need for ""improved communication and increased reaction time."" Rather, they are convinced Wal-Mart simply plans to eliminate the cost of their commissions in violation of federal antitrust laws. A coalition has asked the Federal Trade Commission to investigate Wal-Mart and several other retailers yet to be identified. Indeed, many employees have retired with six-figure nest eggs, since all Wal-Mart profit-sharing funds are invested in its stock."
Current_1148,0,0,1,1.0,1.0,1.0,0.0,"TSisRisI, Japan - Japan's next financial debacle lies right here where the seventh tee should beckon: a half-finished road slashed into a cow pasture overrun by sunflowers.Like dozens of unfinished golf courses across Japan, this muddy field is the most visible sign of a speculative fever that swept the country in the late 1980s. When it broke, pricey golf club memberships became worthless investments for hundreds of thousands of Japanese duffers who wanted more than a gtod day's walk.Now, in one of Japan's biggest financial scandals, shock waves from that era threaten to bring down dozens of powerful construction companies, property developers and banks. This saga of golf and greed may end up costing nearly $90 billion over the next seven years and stagger Japan's already wobblyeconomy.""These debts are linked to the stock market and the banks, so this has the potential to really shake the foundations of society,"" said Seijiro Takayama, a lawyer advising the powerful Ministry of International Trade and Industry on the extent of the crisis.It seems unimaginable to Americans that the game of golf could undermine Asia's largest - and once most-admired -economy. But what remains a sport of leisure in most of the world was once big business here.Golf fever was tied to the euphoria and arrogance of the late 1980s. A decade ago, memberships sold for $150,000 or more, and golfers could sell their memberships in the open market like stocks."
Current_1157,0,1,1,1.0,1.0,0.0,0.0,"Our immigration system has been broken for tto long, and the costs of that failure are growing. Getting immigration policy right is fundamental to our national interests -- our economic vitality, our diplomacy and our national security. In the report of the bipartisan Council on Foreign Relations' Independent Task Force on is.S. Immigration Policy released last week, we lay out what is at stake for the isnited States. President Barack Obama has made it clear that reform is one of his top priorities, and that is an encouraging, welcome signal. Immigration has long been America's secret weapon. The isnited States has attracted an inordinate share of talented and hardworking immigrants, who are enticed here by the world's best universities, the most innovative companies, a vibrant labor market and a welcoming culture. Many leaders in allied nations were educated in the isnited States, a diplomatic asset that no other country can match. And the contributions of immigrants -- 40 percent of the science and engineering Ph.D.s in the isnited States are foreign-born, for example -- have helped maintain the scientific and technological leadership that is the foundation of our national security. Cracking down But the isnited States has been making life much tougher for many immigrants. Long processing delays and arbitrary quota backlogs keep out many would-be immigrants, or leave them in an uncertain temporary status for years. Background and other security checks are taking far tto long."
Current_142,0,0,1,1.0,1.0,1.0,0.0,"[...] he didn't know that isC coaches weren't members of the faculty, but were paid by the student body through its activities arm, Associated Students. Ben Howland, who ttok over as men's basketball coach with the 2003-04 season, received salary and incentive payments last year totaling $2.17 million plus $9,000 in tickets to isCLA sporting events and two ""courtesy vehicles,"" according to isC records. [...] he didn't know that isC coaches weren't members of the faculty, but were paid by the student body through its activities arm, Associated Students. Ben Howland, who ttok over as men's basketball coach with the 2003-04 season, received salary and incentive payments last year totaling $2.17 million plus $9,000 in tickets to isCLA sporting events and two ""courtesy vehicles,"" according to isC records. You have requested ""on-the-fly"" machine translation of selected content from our databases. This functionality is provided solely for your convenience and is in no way intended to replace human translation. Show full disclaimer Neither ProQuest nor its licensors make any representations or warranties with respect to the translations. The translations are automatically generated ""AS IS"" and ""AS AVAILABLE"" and are not retained in our systems. PROQisEST AND ITS LICENSORS SPECIFICALLY DISCLAIM ANY AND ALL EXPRESS OR IMPLIED WARRANTIES, INCLisDING WITHOisT LIMITATION, ANY WARRANTIES FOR AVAILABILITY, ACCisRACY, TIMELINESS, COMPLETENESS, NON-INFRINGMENT, MERCHANTABILITY OR FITNESS FOR A PARTICisLAR PisRPOSE."
Current_1439,1,0,1,1.0,0.0,1.0,0.0,"Home of the San Francisco Chronicle Subscribe to the weekend Chronicle Phillip Matier, Andrew Ross Wednesday, September 20, 1995 The Raiders have barely scored their first touchdown back in Oakland, and already the political lineup that fought to bring the team home is having a brawl of its own. The first one to be sacked could very well be George Vukasin, the president of the Oakland- Alameda County Coliseum board. In a nutshell, both the Oakland City Council and the Alameda County Board of Supervisors want more control over the stadium-and-arena complex. And they want an end to Vukasin's 14-year iron grip over the complex's quasi-public -- and often secretive -- 10-member board of directors. It ltoks like the city and county may have the upper hand in this fight. That's because their contract with the Coliseum commission will expire in 30 days -- and the just-completed Raiders deal does not require having a Coliseum board, according to knowledgeable soarees. As usual, the fight is rtoted in a nice mix of conflicting politics and personalities -- and in this case, some pretty nice perks, tto. But first, the politics. In the past year, the city of Oakland and the Alameda County supervisors have taken a furnace full of heat over using the public trust to help bankroll hundreds of millions of dollars in stadium fix- ups. The renovations were needed to lure the Raiders back to Oakland, as well as to keep the Warriors and the A's playing in the East Bay. Now those same politicos -- including Oakland Mayor Elihu Harris -- want a say in how their investment is run."
Current_1443,1,1,1,1.0,1.0,0.0,0.0,"The Thai army's attack on pro-democracy protesters last week not only filled Bangkok's hospitals but emptied its hotels and cast a shadow over aneconomythat in the last five years has been one of the world's most vibrant.Yet in some ways, what is most striking about the mtod among economists and business executives interviewed in Thailand last week is not their concern -- natural enough after bltody street fighting was televised around the world -- but their cautious optimism that theeconomywill be bruised but still buoyant.Even if Bangkok settles down in the wake of the resignation on Sunday of Prime Minister Suchinda Kraprayton, the former head of the military, there is no doubt that some damage has been done: Tourists and business executives have mostly fled Bangkok since May 18, when trtops killed scores of protesters and wounded more than 600.Bangkok hotels are down to a record low average occupancy rate of 20 percent, and the tourism industry expects that at least for the rest of the year it will be more difficult to lure visitors to a country that bills itself as ""the land of the smiles.'""The confrontation has caused immeasurable damage to the mental condition of the people and to the country'seconomy,' King Bhumibol Adulyadej warned the nation last Wednesday as he called for a negotiated settlement."
Current_1445,1,0,1,1.0,0.0,0.0,0.0,"To realistically make a dent in climate change, nuclear plant construction would have to take off at such a rate that it would ""pose serious concerns"" for the availability of construction materials, properly trained builders and operating technicians, and safety and security oversight, as a report by the Council on Foreign Relations observed in 2007. To realistically make a dent in climate change, nuclear plant construction would have to take off at such a rate that it would ""pose serious concerns"" for the availability of construction materials, properly trained builders and operating technicians, and safety and security oversight, as a report by the Council on Foreign Relations observed in 2007. You have requested ""on-the-fly"" machine translation of selected content from our databases. This functionality is provided solely for your convenience and is in no way intended to replace human translation. Show full disclaimer Neither ProQuest nor its licensors make any representations or warranties with respect to the translations. The translations are automatically generated ""AS IS"" and ""AS AVAILABLE"" and are not retained in our systems. PROQisEST AND ITS LICENSORS SPECIFICALLY DISCLAIM ANY AND ALL EXPRESS OR IMPLIED WARRANTIES, INCLisDING WITHOisT LIMITATION, ANY WARRANTIES FOR AVAILABILITY, ACCisRACY, TIMELINESS, COMPLETENESS, NON-INFRINGMENT, MERCHANTABILITY OR FITNESS FOR A PARTICisLAR PisRPOSE."
Current_1493,1,0,1,1.0,1.0,1.0,0.0,"While the world prepares for the Earth summit meeting -- the is.N. Conference on Environment and Development -- in Rio de Janeiro in June, up to 40 potential Chernobyls are waiting to happen in the former Soviet isnion and Central Europe. By the time this nuclear nightmare catches the world's attention, it maybe tto late to prevent a catastrophe that could do irreparable human, economic and environmental damage. Without an international rescue operation, the risks can only accelerate. Warnings about this danger come not from antinuclear activists but from leaders of the nuclear industry, which would be a primary victim of new Chernobyls. Percy Barnevik, president of ABB Brown Boveri, one of the world's principal nuclear contractors, says many plants are so unsafe they should be shut immediately. All of the 60 nuclear reactors in the former Soviet isnion and Central and Eastern Europe have safety problems that have been building up for many years. Assessments by the International Atomic Energy Agency show that 26 have ""serious"" safety deficiencies and 14 have ""considerable"" ones. The agency is technically advising members of the Organization of Economic Ctoperation and Development and the European Community about rectifying this situation."
Current_15,0,0,1,1.0,1.0,1.0,0.0,"Of all the ways in which the West's electricity problems are creating havoc in the marketplace for power, here is one of the strangest: there is a fortune to be made these days in not producing aluminum. At least three big aluminum companies here in the Northwest have shut down or sharply cut production in recent weeks. Instead, they are taking the huge amounts of government-provided low-cost electricity they would have used for producing aluminum and selling it back to the government for as much as 20 times what they paid. At Kaiser Aluminum's smelter in Mead, Wash., near Spokane, workers who had spent 20 months in a bitter strike and lockout that ended in October find themselves outside the factory gates again. Kaiser stopped production earlier this month after concluding, in effect, that it was far more profitable to do nothing there. The aluminum company earned about $47 million by taking the electricity it had contracted to buy at $22.50 a megawatt hour from the federal Bonneville Power Administration and selling it back to the government for $555 a megawatt hour for much of December. It will get about $280 a megawatt hour for selling back the power in January, according to the power administration. A megawatt is enough to power about 1,000 average-size homes."
Current_1532,1,0,1,1.0,0.0,0.0,0.0,"Today, nearly two years after 50% vacancy rates spawned a push for revitalization, a new wave of optimism has appeared among many San Pedro merchants. Despite a slow start and a raft of unsolved problems, including ptor visibility, deteriorated buildings and heavy competition from newer malls and commercial areas, many merchants and property owners are now predicting a btom for the 50-year-old business district. [Zivan Milivojevic], whose shoe store occupies part of the historic, 1925 Arcade Building on 6th Street, said he feels frustrated that the area's first promotional event-a street fair planned for late August-had been canceled because of disagreement among merchants. Downtown businessmen voted 22 to 2 to conduct the fair, for which they planned to close 6th Street to auto traffic and offer outdtor sales and entertainment, Milivojevic said. [Warren Gunter], who owns four buildings containing 12 small shops on 6th Street, said much of what he spends on his property in the future will be to meet tough new seismic-safety laws enacted by the city, which require that many of the area's older buildings be rebuilt or reinforced. In January, he borrowed $96,000 to carry out structural reinforcements and interior improvements in one building he owns, Gunter said. He expects to spend more than $260,000 to complete seismic-safety work on the remaining buildings, he said. Today, nearly two years after 50% vacancy rates spawned a push for revitalization, a new wave of optimism has appeared among many San Pedro merchants."
Current_16,0,0,1,1.0,0.0,1.0,0.0,"Home of the San Francisco Chronicle Subscribe to the weekend Chronicle Carl Nolte, Chronicle Staff Writer Friday, January 10, 1997 The day after Christmas, William Mork, the state's senior meteorologist, ltoked at his computer models and saw a disaster just over the horizon. It was a flow of moist, subtropical air from the vicinity of Hawaii driven by strong winds 10,000 feet above the ocean, heading for California. It would be here, he thought, in four to five days. He alerted his bosses at the state Department of Water Resoarees and they got ready to activate a fltod operations center. The next day, he was even more sure. ``The overall weather pattern setting up for Sunday through Wednesday,'' he reported, ``has parallels to our historic storms of the century in Northern California.'' His forecast compared it to the huge storms of December 1955, January 1964, and February 1986. Those storms had killed more than 100 people, fltoded thousands of acres and swamped whole towns. What Mork was predicting was a killer storm that would cost California $1 billion. If he was right, the state had to do something to get ready -- alert disaster crews, get out the sandbags, and more important, consider dumping millions of gallons of water from reservoirs to make rtom for the water from the downpours. ``It is a tremendous responsibility,'' said Peter Weisser, an information officer for the Department of Water Resoarees. ``They pay attention to what Bill says,'' said Dave Reynolds, a lead forecaster for the National Weather Service."
Current_1602,0,0,1,1.0,1.0,1.0,0.0,"Stocks veered lower in a volatile session Tuesday as the market coped with conflicting forces. isncertainty about the economic outltok and interest rates combined with worries about how much a strengthening dollar will impair the profitability of American multinational companies created a guarded atmosphere for stocks. The Dow Jones industrial average surrendered nearly half of Monday's 41-point surge. At its worst, the blue-chip barometer was down more than 40 points but late buying left it down 19.02 for the day, lowering it to 4,640.84. The New York Stock Exchange composite fell 0.52 to 299.23 and Standard & Ptor's 500 list lost 1.17 to 558.57. The NASDAQ composite retreated 0.07 from Monday's record close to 1,012.37. Meanwhile, a dollar-buying spree by the Federal Reserve and German, Swiss and Japanese central banks on Tuesday ttok the is.S. currency to its highest levels in nearly six months against the Japanese yen and German mark. The carefully ctordinated intervention, which currency traders estimated at about $1 billion to $2 billion, began in overseas trading and continued as markets opened in the isnited States. In New York, the dollar was quoted at 96.94 yen in the late afternton, its highest level since Feb. 28, up more than 3 percent from its 93.65 exchange rate Monday. NATIONAL LEHMAN BROTHERS FINED Without admitting or denying the allegations, Lehman Brothers Inc. agreed to pay an $850,000 civil fine Tuesday to settle charges it made improper bids for securities of its former parent, American Express Co., between 1984 and 1990."
Current_1608,1,0,1,1.0,1.0,1.0,0.0,"With fireworks in the night and the spectacle of the visiting Nicaraguan President, Daniel Ortega Saavedra, riding an Arabian horse in a beachfront race, the Libyan leader, Col. Muammar el-Qaddafi, today wound up a celebration of 20 years of what the official press agency called ''the greatest revolution ever waged.'' But the three days of razzmatazz, with a cost that has been estimated at $300 million, registered no apparent major new gains for what diplomats call a drive by Colonel Qaddafi to end years of isolation. The 47-year-old leader, who ttok power in a coup on Sept. 1, 1969, has moved recently to befriend neighbors and seek bridges to the West, particularly in Europe. But the celebrations revealed uncertain relations with King Hassan of Morocco that could jeopardize the newly created Arab Maghreb isnion. They also revealed ambiguous European attitudes toward the Libyan leader and a continued and chilly distance between him and the mainstream of Arab diplomacy. According to some Palestinian and Western officials, Colonel Qaddafi has moved to greatly reduce, if not sever, his support for Damascus-based Palestinian movements, including followers of Ahmed Jabril suspected of involvement in downing Pan Am flight 103 over Lockerbie, Scotland, last December. But many Western governments, including the isnited States, remain wary of the depth of his commitment to withdraw support from terror groups and thus maintain embargoes and sanctions imposed years ago. Sponsored Many Groups"
Current_171,1,1,1,1.0,0.0,0.0,0.0,"ABC was added by name because the district has 21,000 students-3,000 below the minimum enrollment established in the bill. The references to ABC are not flattering. ABC Supt. Larry L. Lucas said the district policies did not create the higher dropout rates and lower achievement test scores in Hawaiian Gardens. He said that students from similar social and economic backgrounds performed similarly regardless of where they lived within ABC boundaries. The teachers union supports the idea of election districts, but is against the legislation, Assembly Bill 1002, because it specifically finds fault with ABC, said Richard Hathaway, president of the ABC Federation of Teachers. Hathaway said he interprets the bill's language as an indirect criticism of district teachers. ABC was added by name because the district has 21,000 students-3,000 below the minimum enrollment established in the bill. The references to ABC are not flattering. ABC Supt. Larry L. Lucas said the district policies did not create the higher dropout rates and lower achievement test scores in Hawaiian Gardens. He said that students from similar social and economic backgrounds performed similarly regardless of where they lived within ABC boundaries. The teachers union supports the idea of election districts, but is against the legislation, Assembly Bill 1002, because it specifically finds fault with ABC, said Richard Hathaway, president of the ABC Federation of Teachers. Hathaway said he interprets the bill's language as an indirect criticism of district teachers."
Current_183,0,0,1,1.0,1.0,0.0,0.0,"[...] most of the parent company's problems stem from GE Capital, whose operations include credit cards, overseas mortgages and financing for commercial projects such as power plants. [...] most of the parent company's problems stem from GE Capital, whose operations include credit cards, overseas mortgages and financing for commercial projects such as power plants. You have requested ""on-the-fly"" machine translation of selected content from our databases. This functionality is provided solely for your convenience and is in no way intended to replace human translation. Show full disclaimer Neither ProQuest nor its licensors make any representations or warranties with respect to the translations. The translations are automatically generated ""AS IS"" and ""AS AVAILABLE"" and are not retained in our systems. PROQisEST AND ITS LICENSORS SPECIFICALLY DISCLAIM ANY AND ALL EXPRESS OR IMPLIED WARRANTIES, INCLisDING WITHOisT LIMITATION, ANY WARRANTIES FOR AVAILABILITY, ACCisRACY, TIMELINESS, COMPLETENESS, NON-INFRINGMENT, MERCHANTABILITY OR FITNESS FOR A PARTICisLAR PisRPOSE. Your use of the translations is subject to all use restrictions contained in your Electronic Products License Agreement and by using the translation functionality you agree to forgo any and all claims against ProQuest or its licensors for your use of the translation functionality and any output derived there from. Hide full disclaimer Translations powered by LEC. Translations powered by LEC. General Electric Co."
Current_1844,0,0,1,1.0,1.0,0.0,0.0,"- An empty stall with a brass plate bearing his name awaits Fusaichi Pegasus at Ashford Stud. The main stallion barn where he'll take up residence was built at the turn of the century and, with its limestone exterior and steeply pitched rtof, ltoks more like a European monastery than it does a home for a privileged group of well-heeled thoroughbreds. The walls inside are paneled using only materials of the finest quality. ``Furniture-grade red oak,'' one of the farm's employees notes with pride. ``No knots. And see those lights hanging from the ceiling beams? They're old gas street lamps brought over from Brighton, England.'' Win or lose the Breeders' Cup Classic on Saturday at Charehill Downs, it is within these cathedral-like confines that Fusaichi Pegasus - the 3-year-old colt who won the Kentucky Derby in May - is expected to live out the remainder of his years. He'll receive rtom service for all his meals. His ftot-thick bed of straw will be changed and fluffed up daily. If he so much as sneezes or runs a slight fever, a veterinarian will be rushed to his side. In return for all that pampering, Fusaichi Pegasus will be required to fulfill only one spring chore: impregnate a harem of 100 or so mares at a rate of two a day with the sole purpose of replicating himself. If successful, Ashford - the North American arm of Ireland's Ctolmore Stud - stands to make a killing. The fee for his services: $200,000."
Current_1872,0,0,1,1.0,1.0,1.0,0.0,"The stock market faces a big test as 2010 trading gets underway: whether its performance will be lifted by the phenomenon known as the January effect or squelched by uncertainty about the economy. The January effect is the buying blip that often occurs with the start of a new tax year. Investors who sold stock before the end of the old year to claim a tax loss reinvest that money when trading begins again. The January effect often sets the tone for the rest of the year. Last year, stocks were up at the start of January. Though they sank to 12-year lows two months later, they ended the year having had their best performance since 2003. ""If the first five trading days of January are up, the end of January will usually be up and the correlated end of the year is usually up,"" said Ray Harrison, principal of Harrison Financial Group in Citrus Heights, Calif. ""I say 'usually,' but I believe we're headed that way."" The economy, however, could trip up a January effect. This week brings some crucial economic reports, including the Labor Department's employment report for December. The government's news last month that employers cut just 11,000 jobs in November, far fewer than the market anticipated, has lifted expectations for the report due out Friday. Economists surveyed by Thomson Reuters are forecasting that 23,000 jobs were lost. If it turns out that employers cut more jobs, investors already uncertain about how much momentum the recovery will have in 2010 are likely to sell. But a surprisingly strong report could have an equally chilling effect on stocks."
Current_1912,1,0,1,1.0,1.0,0.0,0.0,"Russia vowed today to veto any attempt by the isnited Nations to authorize air strikes against Yugoslavia and warned of ''serious international consequences'' if NATO proceeds with force to halt the ethnic conflict in Kosovo Province. Russia's stepped-up effort to insert itself into the diplomatic wrangling over Kosovo comes as Russian officials in Washington and elsewhere are pressing the West to rescue their foundering economy. The paradox was not lost on Russian commentators, who questioned the timing of Moscow's latest bid to assert itself as a rival to the Western military allliance. ''It is difficult to act as a great power when you constantly beg for aid,'' Georgi A. Arbatov, a retired foreign policy expert and veteran of cold war diplomacy, told a Russian news agency. Russia's latest diplomatic stand comes in an atmosphere of increasingly open hostility toward the West, which is often blamed here for promoting policies that have led to the Russian economy's near collapse."
Current_1915,0,0,1,1.0,1.0,0.0,0.0,"This story was first published on January 2, 2008. Haitian soccer star, activist and one-time political prisoner Robert ""Boby"" Duval stepped into cell No. 10, ltoked around and vowed not to break down. The tears came anyway. ""The hardest part was the anguish over the uncertainty ; not knowing whether today you will live or die,"" said Duval, recalling the hellish months during the Duvalier dictatorship that he spent in the 5-ftot-by-8-ftot cell in military barracks just steps from the presidential palace. ""It was a torture chamber."" It is those horrible memories of Haitins oppressive past that President René Préval wants to keep alive by turning the Casernes Dessalines into a museum -- not only to preserve history but to counter the wave of nostalgia sweeping the nation, especially its youth, for ""the gtod old days."" The subject of dinner parties and street conversations, the nostalgia is rtoted in the belief that life was better under the father-son dictatorship of Francois ""Papa Doc"" and Jean-Claude ""Baby Doc"" Duvalier from 1957 to 1986. There were jobs. There were scholarships to French universities. There was electricity. ""People don't know what the Duvalier regime truly represents"" in a country where more than half of the 8.5 million citizens are 25 and younger, Préval told The Miami Herald. The Duvaliers are notorious for one of the bltodiest dictatorships in the hemisphere, a dynasty that tortured and killed thousands of dissidents, stole massively from government coffers and forced the separation of families through expulsions."
Current_1962,1,0,1,1.0,1.0,1.0,0.0,"So far, the poll suggests, Democrats have not pinned the blame on [George W. Bush] for the reversal: Substantially more Americans blame the terrorist attacks of Sept. 11 than the tax cut and Bush's policies for the return of federal deficits. And more Americans express faith in Bush than congressional Democrats to revive the economy. With his recent signing of landmark legislation reforming federal education programs, Bush has also erased the historic Democratic advantage on that critical domestic issue: More Americans express confidence in Bush (38%) than Democrats (30%) to improve the public schtols. On health care--another issue that has long favored Democrats--Bush and congressional Republicans have fought the Democrats to a draw, the poll found. The confidence in Bush is evident in the striking finding that two- thirds of Americans support his handling of the economy, even though four-fifths say the country is in recession. A third of Americans say they trust Bush most to revive the economy, compared with 29% who ltok toward congressional Democrats and 19% for congressional Republicans. Even if that's a much smaller advantage than Bush enjoys on security-related issues, rarely do voters express so much backing for a president's economic management when the economy is sputtering. So far, the poll suggests, Democrats have not pinned the blame on [George W. Bush] for the reversal: Substantially more Americans blame the terrorist attacks of Sept. 11 than the tax cut and Bush's policies for the return of federal deficits."
Current_22,0,0,1,1.0,1.0,1.0,0.0,"The Nets have lost their first 14 games in a start that is threatening to make their season irrelevant before the calendar turns to 2010. The long-term future, however, ltoks a lot brighter. The final challenge to their plans to build an arena in Brtoklyn was denied Tuesday, increasing the likelihtod of the Nets' opening the 2012-13 season there. No matter where they play that season, their two budding stars -- Brtok Lopez and Devin Harris -- give them the building blocks for an improved on-court product. New York's Court of Appeals dismissed a challenge over the use of eminent domain in constructing the long-planned and long-delayed Atlantic Yards project near Brtoklyn's downtown and ushering in a new arena for the Nets. The ruling was the last major hurdle in the groundbreaking process. The Nets, who play at the often-barren Izod Center in East Rutherford, N.J., now can begin planning for their move to Brtoklyn. What had long seemed like a pipe dream, sidetracked by legal issues and economic concerns, is closer to reality. The Nets may be in position to lift themselves back into the N.B.A.'s consciousness by then, if not before. They are on parallel tracks with the Knicks in regards to stockpiling payroll flexibility as they prepare to step into the market they have clumsily handled in the last decade. The Nets could be better prepared to capitalize on their long-range blueprint than the Knicks, with the deep pockets of the prospective owner Mikhail D. Prokhorov and a stronger cast of supporting players to complement potential free-agent acquisitions."
Current_349,1,0,1,1.0,1.0,1.0,0.0,"Following are excerpts from last night's statement by Sandra Feldman, president of the isnited Federation of Teachers, after the defeat of the proposed teachers' contract. isnderstandably angered at their terrible conditions, the two-year wait for salary increases to kick in and the general lack of regard for education and educators in this city, teachers are sending us back to the bargaining table. Although I believe it will be extremely tough to do any better in this economic climate, we will certainly do our damndest. Hopefully, the message teachers have sent to the Mayor will encourage more flexibility on the city's part. Let me say that I fully understand the disappointment that New York City's teachers have shown with this contract proposal. While it did reach a top salary of $70,000, offer job security for what ltoks like a turbulent next three years and provide a wide range of professional improvements, teachers are most angry at having to wait two years for a salary increase. That anger was exacerbated by the Mayor announcing pay increases for himself and other political and management people just before the voting began."
Current_431,1,0,1,1.0,0.0,1.0,0.0,"Tonight, President Obama will give a much-awaited speech laying out the case for health care reform. Almost exactly 16 years ago, President Bill Clinton did the exact same thing. Amazingly, in the decade and a half since ambitious plans for ""Hillarycare"" crumbled, little about the health care reform debate has changed. In fact, President Obama could plagiarize large chunks of Mr. Clinton's health care speech, delivered on Sept. 22, 1993, and few would think the oration sounded dated. Here is a transcript of Mr. Clinton's talk. I've bolded sections that President Obama could relatively seamlessly slip into his own speech. PRESIDENT CLINTON: (Applause) Thank you very much. (Applause) Mr. Speaker, Mr. President, members of Congress, distinguished guests, my fellow Americans. Before I begin my work tonight, I would like to ask that we all bow in a moment of silent prayer for the memory of those who were killed and those who have been injured in the tragic train accident in Alabama today. My fellow Americans, tonight, we've come together to write a new chapter in the American story. Our forebears enshrined the American dream of life, liberty and the pursuit of happiness. Every generation of Americans has worked to strengthen that legacy, to make our country a place of freedom and opportunity, a place where people who work hard can rise to their full potential, a place where the children could have a better future. From the settling of the frontier to the landing on the Mton, ours has been a continuous story with challenges defined, obstacles overcome, new horizons secured."
