llm_name,article_key,gold_epu,disagreement_flag,newspaper,year,content_len,orig_content_len,eval_content_len,was_truncated,condition,bundle,order,condition_kind,requested_task_count,epu_pred,epu_correct,confidence,focus_excerpt,excerpt_in_target,json_valid,parse_status,task_completion_count,completion_share,aux_mean,who_pred,who_correct,who_requested,who_present,actions_pred,actions_correct,actions_requested,actions_present,effects_pred,effects_correct,effects_requested,effects_present,mention_foreign_pred,mention_foreign_correct,mention_foreign_requested,mention_foreign_present,mainly_foreign_pred,mainly_foreign_correct,mainly_foreign_requested,mainly_foreign_present
openai/gpt-5.4-2026-03-05,Midcentury_7569,1,0,NYT,1993,5832,5832,4989,1,single_focus,,,single,0,1.0,1.0,0.81,uncertainty over the fate of the Administration's budget and health plans is widely cited as a source of restraint,0,1,ok,0,,,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0
openai/gpt-5.4-2026-03-05,Midcentury_7569,1,0,NYT,1993,5832,5832,4989,1,single_long_control,,,single_control,0,1.0,1.0,0.85,uncertainty over the fate of the Administration's budget and health plans is widely cited as a source of restraint,0,1,ok,0,,,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0
openai/gpt-5.4-2026-03-05,Midcentury_7569,1,0,NYT,1993,5832,5832,4989,1,full_focus_epu_first,full,epu_first,multi,5,1.0,1.0,0.9,uncertainty over the fate of the Administration's budget and health plans is widely cited as a source of restraint,0,1,ok,5,1.0,0.8,1.0,0.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,0.0,1.0,1,1,0.0,1.0,1,1
openai/gpt-5.4-2026-03-05,Midcentury_7569,1,0,NYT,1993,5832,5832,4989,1,full_focus_epu_last,full,epu_last,multi,5,1.0,1.0,0.73,uncertainty over the fate of the Administration's budget and health plans is widely cited as a source of restraint,0,1,ok,5,1.0,0.8,1.0,0.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,0.0,1.0,1,1,0.0,1.0,1,1
openai/gpt-5.4-2026-03-05,Current_840,1,1,DMNB,1995,3268,3268,3268,0,single_focus,,,single,0,1.0,1.0,0.83,bond prices resumed drifting lower in a lightly traded market that is increasingly uncertain whether Federal Reserve policy-makers will cut interest rates next week,0,1,ok,0,,,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0
openai/gpt-5.4-2026-03-05,Current_840,1,1,DMNB,1995,3268,3268,3268,0,single_long_control,,,single_control,0,1.0,1.0,0.94,bond prices resumed drifting lower in a lightly traded market that is increasingly uncertain whether Federal Reserve policy-makers will cut interest rates next week,0,1,ok,0,,,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0
openai/gpt-5.4-2026-03-05,Current_840,1,1,DMNB,1995,3268,3268,3268,0,full_focus_epu_first,full,epu_first,multi,5,1.0,1.0,0.91,the market that is increasingly uncertain whether Federal Reserve policy-makers will cut interest rates next week,0,1,ok,5,1.0,0.6,1.0,0.0,1,1,1.0,1.0,1,1,1.0,0.0,1,1,0.0,1.0,1,1,0.0,1.0,1,1
openai/gpt-5.4-2026-03-05,Current_840,1,1,DMNB,1995,3268,3268,3268,0,full_focus_epu_last,full,epu_last,multi,5,1.0,1.0,0.9,uncertain whether Federal Reserve policy-makers will cut interest rates next week,0,1,ok,5,1.0,0.6,1.0,0.0,1,1,1.0,1.0,1,1,1.0,0.0,1,1,0.0,1.0,1,1,0.0,1.0,1,1
openai/gpt-5.4-2026-03-05,Current_1795,0,0,SFC,2008,7887,7887,4989,1,single_focus,,,single,0,1.0,0.0,0.73,"Thanks to a new U.S. policy, Nid Paw hopes to become one of 18,000 Burmese refugees allowed to settle in the United States in 2008.",0,1,ok,0,,,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0
openai/gpt-5.4-2026-03-05,Current_1795,0,0,SFC,2008,7887,7887,4989,1,single_long_control,,,single_control,0,1.0,0.0,0.85,"Thanks to a new is.S. policy, Nid Paw hopes to become one of 18,000 Burmese refugees allowed to settle in the isnited States in 2008.",1,1,ok,0,,,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0
openai/gpt-5.4-2026-03-05,Current_1795,0,0,SFC,2008,7887,7887,4989,1,full_focus_epu_first,full,epu_first,multi,5,1.0,0.0,0.82,"Thanks to a new U.S. policy, Nid Paw hopes to become one of 18,000 Burmese refugees allowed to settle in the United States in 2008.",0,1,ok,5,1.0,0.0,1.0,0.0,1,1,1.0,0.0,1,1,1.0,0.0,1,1,1.0,0.0,1,1,1.0,0.0,1,1
openai/gpt-5.4-2026-03-05,Current_1795,0,0,SFC,2008,7887,7887,4989,1,full_focus_epu_last,full,epu_last,multi,5,1.0,0.0,0.84,"Thanks to a new U.S. policy, Nid Paw hopes to become one of 18,000 Burmese refugees allowed to settle in the United States in 2008.",0,1,ok,5,1.0,0.2,0.0,1.0,1,1,1.0,0.0,1,1,1.0,0.0,1,1,1.0,0.0,1,1,1.0,0.0,1,1
