llm_name,article_key,gold_epu,disagreement_flag,newspaper,year,content_len,condition,target_section_id,selected_section_id,target_position,n_sections,selected_target_correct,epu_pred,epu_correct,joint_correct,confidence,focus_excerpt,excerpt_in_target,json_valid
deepseek-ai/deepseek-v3.2,Current_1373,0,0,MIHB,2006,7085,easy,S2,S2,2,3,1,0,1.0,1,0.9,Trying to figure out which disappeared with more finality last week The University of Miami men's basketball team's NCAA Tournament hopes? Or Pokey Reese?,0,1
deepseek-ai/deepseek-v3.2,Current_1373,0,0,MIHB,2006,7085,medium,S3,S3,3,5,1,0,1.0,1,0.9,NFL owners meeting in Dallas today will vote to ratify or reject a new labor agreement with the players.,1,1
deepseek-ai/deepseek-v3.2,Current_1373,0,0,MIHB,2006,7085,hard,S4,S4,5,4,1,0,1.0,1,0.9,NFL owners meeting in Dallas today will vote to ratify or reject a new labor agreement with the players.,1,1
deepseek-ai/deepseek-v3.2,Current_1373,0,0,MIHB,2006,7085,very_hard,S8,S8,8,8,1,0,1.0,1,0.85,"Warning: Persons who have read the preceding paragraph concerning revenue sharing, Paul Tagliabue and a rtomful of lawyers are advised to not operate heavy machinery.",1,1
deepseek-ai/deepseek-v3.2,Current_319,1,1,MIHB,1990,5383,easy,S2,S2,2,3,1,0,0.0,0,0.9,some cruise-line executives find it hard to imagine that times will ever get tough. But others say that they already have. ... some people familiar with the industry say the impact of a recession would be impossible to avoid.,0,1
deepseek-ai/deepseek-v3.2,Current_319,1,1,MIHB,1990,5383,medium,S3,S3,3,5,1,0,0.0,0,0.95,some cruise-line executives find it hard to imagine that times will ever get tough. But others say that they already have... recessionary signs are at barely detectable levels... the impact of a recession would be impossible to avoid.,0,1
deepseek-ai/deepseek-v3.2,Current_319,1,1,MIHB,1990,5383,hard,S5,S5,5,6,1,0,0.0,0,0.9,some cruise-line executives find it hard to imagine that times will ever get tough... they already have... the impact of a recession would be impossible to avoid.,0,1
deepseek-ai/deepseek-v3.2,Current_319,1,1,MIHB,1990,5383,very_hard,S8,S8,8,8,1,0,0.0,0,0.95,"AFTER watching their industry average 10 percent annual passenger growth for an entire decade, some cruise-line executives find it hard to imagine that times will ever get tough. But others say that they already have.",1,1
deepseek-ai/deepseek-v3.2,Current_861,1,0,SFC,2003,15056,easy,S2,S2,2,3,1,0,0.0,0,0.85,"Home of the San Francisco Chronicle Subscribe to the weekend Chronicle Jim Doyle, Chronicle Staff Writer Sunday, June 1, 2003",1,1
deepseek-ai/deepseek-v3.2,Current_861,1,0,SFC,2003,15056,medium,S3,S3,3,5,1,1,1.0,1,0.85,"The searchlight flap is just one of many signs of a looming backlash against California's latest gold rush: Indian gaming. In the brave new world of Native American casinos, local communities across the state are butting heads with tribes over issues",0,1
deepseek-ai/deepseek-v3.2,Current_861,1,0,SFC,2003,15056,hard,S5,S5,5,6,1,1,1.0,1,0.9,"State and local regulators felt powerless, even though the Hopland Band of Pomo Indians had vowed to use minimal lighting to preserve the valley's charm. The searchlight flap is just one of many signs of a looming backlash against California's latest",0,1
deepseek-ai/deepseek-v3.2,Current_861,1,0,SFC,2003,15056,very_hard,S8,S8,8,8,1,0,0.0,0,0.9,"latest gold rush: Indian gaming. In the brave new world of Native American casinos, local communities across the state are butting heads with tribes over issues of sovereignty, ethics, regulatory power and Big Money.",1,1
deepseek-ai/deepseek-v3.2,Current_826,0,1,MIHB,2000,3271,easy,S2,S2,2,3,1,0,1.0,1,0.95,"Big Blue gave financial markets the blues Wednesday, when a horribly disappointing earnings report for IBM, combined with a serious inflation scare, knocked stocks cold at the opening bell.",1,1
deepseek-ai/deepseek-v3.2,Current_826,0,1,MIHB,2000,3271,medium,S3,S3,3,5,1,0,1.0,1,0.9,"It was the first time since March that the Dow fell below 10,000 - considered a psychological level whose breach suggests investors are reducing their expectations, perhaps portending further declines, analysts say.",1,1
deepseek-ai/deepseek-v3.2,Current_826,0,1,MIHB,2000,3271,hard,S5,S6,5,6,0,1,0.0,0,0.9,The schedule of Treasury financings this week is uncertain because Congress has not yet approved an increase in the Federal debt ceiling.,0,1
deepseek-ai/deepseek-v3.2,Current_826,0,1,MIHB,2000,3271,very_hard,S8,S8,8,8,1,0,1.0,1,0.95,"The company, which in earlier generations was considered an unassailable technology leader, was downgraded by a slew of analysts, who upbraided the company with uncharacteristically tough talk.",1,1
deepseek-ai/deepseek-v3.2,Current_836,0,0,MIHB,2003,4294,easy,S2,S2,2,3,1,0,1.0,1,0.95,the Confederate flag remains a troublesome issue for national presidential candidates who stump in the state,0,1
deepseek-ai/deepseek-v3.2,Current_836,0,0,MIHB,2003,4294,medium,S3,S3,3,5,1,0,1.0,1,0.95,the Confederate flag was lowered from the dome of South Carolina's statehouse,1,1
deepseek-ai/deepseek-v3.2,Current_836,0,0,MIHB,2003,4294,hard,S5,S5,5,6,1,0,1.0,1,0.9,prompting the NAACP to launch an economic and tourism boycott of the state,1,1
deepseek-ai/deepseek-v3.2,Current_836,0,0,MIHB,2003,4294,very_hard,S8,S8,8,8,1,0,1.0,1,0.95,prompting the NAACP to launch an economic and tourism boycott of the state,1,1
deepseek-ai/deepseek-v3.2,Current_1795,0,0,SFC,2008,7887,easy,S2,S2,2,3,1,0,1.0,1,0.95,"Thanks to a new U.S. policy, Nid Paw hopes to become one of 18,000 Burmese refugees allowed to settle in the United States in 2008.",0,1
deepseek-ai/deepseek-v3.2,Current_1795,0,0,SFC,2008,7887,medium,S3,S3,3,5,1,0,1.0,1,0.95,"A Burmese refugee who identifies herself as Nid Paw unwraps a toy with her son, Saw, in their apartment in Mae Sot, Thailand.",1,1
deepseek-ai/deepseek-v3.2,Current_1795,0,0,SFC,2008,7887,hard,S5,S5,5,6,1,0,1.0,1,0.8,"Nid Paw, 28, who asked that her real name not be used because she is an illegal immigrant.",1,1
deepseek-ai/deepseek-v3.2,Current_1795,0,0,SFC,2008,7887,very_hard,S8,S8,8,8,1,0,1.0,1,0.9,"Thanks to a new U.S. policy, Nid Paw hopes to become one of 18,000 Burmese refugees allowed to settle in the United States in 2008. Before the change in law...",0,1
deepseek-ai/deepseek-v3.2,Current_1932,0,0,DMNB,2001,3314,easy,S2,S2,2,3,1,0,1.0,1,0.95,"Investors refrained from making any big commitments Wednesday on Wall Street, leaving stocks little changed as the market tried to discern a trend in earnings and the economy.",0,1
deepseek-ai/deepseek-v3.2,Current_1932,0,0,DMNB,2001,3314,medium,S3,S3,3,5,1,0,1.0,1,0.95,"Investors refrained from making any big commitments Wednesday on Wall Street, leaving stocks little changed as the market tried to discern a trend in earnings and the economy.",0,1
deepseek-ai/deepseek-v3.2,Current_1932,0,0,DMNB,2001,3314,hard,S5,S5,5,6,1,0,1.0,1,0.9,"Wall Street's overall mood seems optimistic, but there's some uncertainty about whether bad earnings news has been factored completely into the cheaper prices of many stocks.",0,1
deepseek-ai/deepseek-v3.2,Current_1932,0,0,DMNB,2001,3314,very_hard,S8,S8,8,8,1,0,1.0,1,0.9,The general tone is positive even though the market is weighing things,1,1
deepseek-ai/deepseek-v3.2,Current_657,1,1,NYT,1990,1073,easy,S2,S2,2,3,1,1,1.0,1,0.9,he said on Friday that he would face a confidence test in the lower house of Parliament,0,1
deepseek-ai/deepseek-v3.2,Current_657,1,1,NYT,1990,1073,medium,S3,S3,3,5,1,1,1.0,1,0.85,he would face a confidence test in the lower house of Parliament,1,1
deepseek-ai/deepseek-v3.2,Current_657,1,1,NYT,1990,1073,hard,S5,S5,5,6,1,1,1.0,1,0.9,Nearly a week of political uncertainty ended today when Chandra Shekhar... was installed as Prime Minister. He said on Friday that he would face a confidence test in the lower house of Parliament... Mr. Shekhar was given the opportunity to form a gov,0,1
deepseek-ai/deepseek-v3.2,Current_657,1,1,NYT,1990,1073,very_hard,S8,S8,8,8,1,1,1.0,1,0.95,"Shekhar, was sworn in as India's eighth Prime Minister... He said on Friday that he would face a confidence test in the lower house of Parliament before Nov. 20 to prove his support.",0,1
deepseek-ai/deepseek-v3.2,Current_1233,0,0,MIHB,2002,3774,easy,S2,S2,2,3,1,0,1.0,1,0.95,What had promised to be a season of expansion has turned out to be one of sheer survival for Maximum Dance Company.,1,1
deepseek-ai/deepseek-v3.2,Current_1233,0,0,MIHB,2002,3774,medium,S3,S3,3,5,1,0,1.0,1,0.95,a program the company repeats this weekend in Broward County.,1,1
deepseek-ai/deepseek-v3.2,Current_1233,0,0,MIHB,2002,3774,hard,S5,S5,5,6,1,0,1.0,1,0.9,"The economic downturn, which has hurt many local and national arts organizations, hit newly ambitious groups such as Maximum especially hard.",1,1
deepseek-ai/deepseek-v3.2,Current_1233,0,0,MIHB,2002,3774,very_hard,S8,S8,8,8,1,0,1.0,1,0.95,a series of budget-cutting moves that included a temporary layoff of dancers and staff and generous support from patrons,1,1
deepseek-ai/deepseek-v3.2,Current_427,1,1,NYT,1988,1014,easy,S2,S2,2,3,1,1,1.0,1,0.9,there is tremendous uncertainty among Hong Kong residents about China's intentions toward the regions,1,1
deepseek-ai/deepseek-v3.2,Current_427,1,1,NYT,1988,1014,medium,S3,S3,3,5,1,1,1.0,1,0.95,"Despite China's assurances of autonomy, however, there is tremendous uncertainty among Hong Kong residents about China's intentions toward the regions.",1,1
deepseek-ai/deepseek-v3.2,Current_427,1,1,NYT,1988,1014,hard,S5,S5,5,6,1,1,1.0,1,0.9,"Despite China's assurances of autonomy, however, there is tremendous uncertainty among Hong Kong residents about China's intentions toward the regions.",1,1
deepseek-ai/deepseek-v3.2,Current_427,1,1,NYT,1988,1014,very_hard,S8,S8,8,8,1,1,1.0,1,0.9,"Despite China's assurances of autonomy, however, there is tremendous uncertainty among Hong Kong residents about China's intentions toward the regions.",1,1
deepseek-ai/deepseek-v3.2,Current_1157,0,1,MIHB,2009,5390,easy,S2,S2,2,3,1,1,0.0,0,0.95,"Our immigration system has been broken for tto long, and the costs of that failure are growing. Getting immigration policy right is fundamental to our national interests -- our economic vitality, our diplomacy and our national security.",1,1
deepseek-ai/deepseek-v3.2,Current_1157,0,1,MIHB,2009,5390,medium,S3,S3,3,5,1,0,1.0,1,0.85,"Our immigration system has been broken for tto long, and the costs of that failure are growing. Getting immigration policy right is fundamental to our national interests -- our economic vitality, our diplomacy and our national security.",1,1
deepseek-ai/deepseek-v3.2,Current_1157,0,1,MIHB,2009,5390,hard,S5,S5,5,6,1,0,1.0,1,0.8,"Long processing delays and arbitrary quota backlogs keep out many would-be immigrants, or leave them in an uncertain temporary status for years.",1,1
deepseek-ai/deepseek-v3.2,Current_1157,0,1,MIHB,2009,5390,very_hard,S8,S8,8,8,1,1,0.0,0,0.9,"Our immigration system has been broken for tto long, and the costs of that failure are growing. Getting immigration policy right is fundamental to our national interests -- our economic vitality, our diplomacy and our national security.",1,1
deepseek-ai/deepseek-v3.2,Current_9,0,0,SFC,2009,5949,easy,S2,S2,2,3,1,0,1.0,1,0.9,Transcending our past and beginning a new future - these are heady undertakings whose complexity and uncertainty explains the apprehension many sensed rumbling beneath their inaugural elation.,1,1
deepseek-ai/deepseek-v3.2,Current_9,0,0,SFC,2009,5949,medium,S3,S3,3,5,1,0,1.0,1,0.95,"History undoubtedly spurred some of our national outpouring this week. A black man being sworn in to lead a country built on slavery, segregation and persistent racism is an unfathomable landmark.",1,1
deepseek-ai/deepseek-v3.2,Current_9,0,0,SFC,2009,5949,hard,S5,S5,5,6,1,0,1.0,1,0.85,There were also tears of prospective jubilation. Hearing a new president deliver a Rooseveltian 'we're all in this together' speech...,0,1
deepseek-ai/deepseek-v3.2,Current_9,0,0,SFC,2009,5949,very_hard,S8,S8,8,8,1,1,0.0,0,0.9,Transcending our past and beginning a new future - these are heady undertakings whose complexity and uncertainty explains the apprehension many sensed rumbling beneath their inaugural elation.,1,1
deepseek-ai/deepseek-v3.2,Midcentury_1448,0,0,NYT,1992,1409,easy,S2,S2,2,3,1,1,0.0,0,0.9,"might fail to post a third-quarter profit and likely would not be able to meet Federal standards for financial soundness... If GlenFed fails to meet the new standard, it could be required to submit a capital plan to regulators or consent to other reg",0,1
deepseek-ai/deepseek-v3.2,Midcentury_1448,0,0,NYT,1992,1409,medium,S3,S3,3,5,1,1,0.0,0,0.9,"it was 'unlikely' the bank would be able to meet the new, more stringent Federal requirements for capital reserve",0,1
deepseek-ai/deepseek-v3.2,Midcentury_1448,0,0,NYT,1992,1409,hard,S5,S5,5,6,1,1,0.0,0,0.95,"If GlenFed fails to meet the new standard, it could be required to submit a capital plan to regulators or consent to other regulatory action.",0,1
deepseek-ai/deepseek-v3.2,Midcentury_1448,0,0,NYT,1992,1409,very_hard,S8,S8,8,8,1,1,0.0,0,0.95,"GlenFed Inc. said today that it might fail... and likely would not be able to meet Federal standards for financial soundness. If GlenFed fails to meet the new standard, it could be required to submit a capital plan to regulators or consent to other r",0,1
deepseek-ai/deepseek-v3.2,Midcentury_4045,1,0,NYT,1997,4068,easy,S2,S2,2,3,1,0,0.0,0,0.95,"Starts of Housing isp 2.6%, But Key Category Is Weak: Growth Is Sluggish in Single-Family Home",1,1
