llm_name,article_key,gold_epu,disagreement_flag,newspaper,year,single_focus_epu_pred,full_focus_epu_first_epu_pred,full_focus_epu_last_epu_pred,single_focus_focus_excerpt,full_focus_epu_first_focus_excerpt,full_focus_epu_last_focus_excerpt,single_to_last_hurt,first_to_last_hurt
google/gemini-3.1-pro-preview,Midcentury_7618,1,0,NYT,2001,0.0,1,0,Democrats criticized the tax cut as a giveaway to the rich that threatened the drive to reduce government debt. The warnings were echoed by many mainstream economists,Democrats criticized the tax cut as a giveaway to the rich that threatened the drive to reduce government debt. The warnings were echoed by many mainstream economists,The nation depended tto much on foreign lend­ing. He saw the stock market as so wildly overvalued that he dumped his own stocks a few years ago,0,1
google/gemini-3.1-pro-preview,Current_1953,1,0,MIHB,1999,0.0,1,0,"In coming years, during which new leaders may replace aging ones in Saudi Arabia, Syria, Egypt, the Palestinian Authority and perhaps Iraq, the U.S. regional interests may not be so easily protected, say analysts who have long studied the region.","this means that the entitlement system of free housing, education and health care and guaranteed employment may be a thing of the past.","The outcome could signal new directions in the Israeli-Palestinian peace talks, or they could signal more of the same, a standstill.",0,1
google/gemini-3.1-pro-preview,Current_34,1,1,MIHB,1995,1.0,1,0,"The optimists, who believe China values Hong Kong's economy tto highly to meddle with it","The optimists, who believe China values Hong Kong's economy tto highly to meddle with it, got a btost recently from the tale of the Xiying teapot.",But his bridge-building is one of a thousand points of light in a future darkened by uncertainty.,1,1
google/gemini-3.1-pro-preview,Current_320,1,0,DMNB,1993,0.0,1,0,People are more willing to defer needed expenditures in times of economic need and uncertainty,"Faced with new information on the severity of the enrollment crisis, voters would probably approve a bond measure the second time around, Mr. Muns said. ""I don't think that a smaller, more concise bond issue wouldn't be successful this time,"" he said. ""I think it would."" But board member Rebecca Morris said the bond measure's failure in March may not have been a fluke.","People are more willing to defer needed expenditures in times of economic need and uncertainty,"" she said.",0,1
google/gemini-3.1-pro-preview,Current_134,1,1,NYT,2010,0.0,1,0,leaving the remaining parcel's fate uncertain,leaving the remaining parcel's fate uncertain. ... It's simply protected by the creation of a county plan that could be changed at any point.,"leaving the remaining parcel's fate uncertain. ""What we had wanted them to do was create a written document where they legally put the land in a conservation trust though an easement,"" Mr. Longstreth said.",0,1
google/gemini-3.1-pro-preview,Current_1824,1,0,MIHB,1989,0.0,1,0,A spokesman for Wallace refused to say what the board plans to do next. He would not speculate on when there will be another announcement. The uncertainty has angered management.,A spokesman for Wallace refused to say what the board plans to do next. He would not speculate on when there will be another announcement. The uncertainty has angered management.,A spokesman for Wallace refused to say what the board plans to do next. He would not speculate on when there will be another announcement. The uncertainty has angered management.,0,1
google/gemini-3.1-pro-preview,Current_27,0,0,DMNB,1993,0.0,0,1,"In the present uncertainty, not even Mr. Shevardnadze is expecting an overnight transformation.","In the present uncertainty, not even Mr. Shevardnadze is expecting an overnight transformation.","He told a diplomatic gathering recently that he intended to go ahead with new laws designed to attract foreign investment. In the present uncertainty, not even Mr. Shevardnadze is expecting an overnight transformation.",1,1
google/gemini-3.1-pro-preview,Current_1022,1,0,DMNB,2006,0.0,1,0,Disestablishing Wilmer-Hutchins and having those children go to DISD will resolve some uncertainty in the development community,"The impact of the independent schtol district change from Wilmer-Hutchins to Dallas is still new. Dallas [test] scores are much higher than Wilmer-Hutchins', but we'll have to see what impact it has on development.",Disestablishing Wilmer-Hutchins and having those children go to DISD will resolve someuncertaintyin the development community,0,1
google/gemini-3.1-pro-preview,Current_616,1,1,NYT,1990,1.0,1,0,Reunification spurs uncertainty in East German industry,Reunification spurs uncertainty in East German industry,Reunification spurs uncertainty in East German industry,1,1
google/gemini-3.1-pro-preview,Current_1285,0,0,MIHB,2007,0.0,1,1,"The isnited States will continue to be the preponderant geopolitical force in Central America, but the region will not rank high among is.S. foreign policy priorities.","If, and when, CAFTA [the Central America-Dominican Republic Free Trade Agreement] is finally ratified by all parties, there will be little incentive for the United States to give additional consideration to the isthmus outside the strict limits of its national security strategy","If, and when, CAFTA [the Central America-Dominican Republic Free Trade Agreement] is finally ratified by all parties, there will be little incentive for the isnited States to give additional consideration to the isthmus outside the strict limits of its national security strategy",1,0
google/gemini-3.1-pro-preview,Current_728,0,0,MIHB,2002,0.0,1,1,To be prudent you don't want to start any new projects while you're in a big uncertainty .,"Miami-Dade County is reviewing its plans and may want to modify its capital improvement program or extend it over a longer period of time, Shiver said.","Miami-Dade County is reviewing its plans and may want to modify its capital improvement program or extend it over a longer period of time, Shiver said.",1,0
google/gemini-3.1-pro-preview,Current_2029,0,0,NYT,1998,1.0,0,1,"Spreading worries about labor unrest, the regional effect of the Japanese yen's declining value and a slowdown in the pace of changes requested by the International Monetary Fund","Spreading worries about labor unrest, the regional effect of the Japanese yen's declining value and a slowdown in the pace of changes requested by the International Monetary Fund have combined to help create the setback in South Korea.","Spreading worries about labor unrest, the regional effect of the Japanese yen's declining value and a slowdown in the pace of changes requested by the International Monetary Fund have combined to help create the setback in South Korea.",0,1
google/gemini-3.1-pro-preview,Midcentury_7369,0,0,WSJ,1989,0.0,1,1,None,It remains unclear whether the group of non-OPEC producers will follow up its meeting last month in London by offering to reduce production,It remains unclear whether the group of non-OPEC producers will follow up its meeting last month in London by offering to reduce production,1,0
google/gemini-3.1-pro-preview,Current_1561,1,1,LAT,2010,1.0,1,0,new worries over the potential cost of the government's bailout of its major banks.,new worries over the potential cost of the government's bailout of its major banks.,There's all sorts of uncertainty surrounding not only Europe but currencies in general and the whole global economic situation,1,1
google/gemini-3.1-pro-preview,Midcentury_2467,1,0,WSJ,1985,0.0,1,0,Investors have been especially jittery about the Treasury financing because of uncertainty over the economic outltok.,Investors aren't willing to make any commitments until they can size up the government's financing package,Investors have been especially jittery about the Treasury financing because of uncertainty over the economic outltok.,0,1
google/gemini-3.1-pro-preview,Current_524,1,1,NYT,1996,0.0,1,0,"Without how-to details from Mr. Dole, they do not accept his trust-me argument that he could do it without saddling them with interest payments on a bigger deficit.","Without how-to details from Mr. Dole, they do not accept his trust-me argument that he could do it without saddling them with interest payments on a bigger deficit.","Without how-to details from Mr. Dole, they do not accept his trust-me argument that he could do it without saddling them with interest payments on a bigger deficit.",0,1
google/gemini-3.1-pro-preview,Current_437,0,0,DMNB,2000,0.0,1,1,And in tackling global warming - which many scientists believe is aggravated by burning fossil fuels such as crude oil - it's grappling with an issue that is by no means clear-cut in its policy solutions.,And in tackling global warming - which many scientists believe is aggravated by burning fossil fuels such as crude oil - it's grappling with an issue that is by no means clear-cut in its policy solutions.,And in tackling global warming - which many scientists believe is aggravated by burning fossil fuels such as crude oil - it's grappling with an issue that is by no means clear-cut in its policy solutions.,1,0
google/gemini-3.1-pro-preview,Current_703,0,0,LAT,1988,0.0,1,1,None,There was particular concern that imminent passage of the new is.S. immigration law might trigger an exodus of Mexicans back to Tijuana from the isnited States.,There was particular concern that imminent passage of the new is.S. immigration law might trigger an exodus of Mexicans back to Tijuana from the isnited States.,1,0
google/gemini-3.1-pro-preview,Current_1922,0,0,DMNB,2006,0.0,0,1,"Given all theuncertaintiesabout the C-17 program, it's tto ston to forecast what our employment levels will be in 2009","Given all the uncertainties about the C-17 program, it's too soon to forecast what our employment levels will be in 2009","""Given all the uncertainties about the C-17 program, it's tto ston to forecast what our employment levels will be in 2009,"" said Vought spokesman Mike Schwarz.",1,1
google/gemini-3.1-pro-preview,Current_1932,0,0,DMNB,2001,0.0,0,1,"Wall Street's overall mtod seems optimistic, but there's someuncertaintyabout whether bad earnings news has been factored completely into the cheaper prices of many stocks.","Wall Street's overall mtod seems optimistic, but there's someuncertaintyabout whether bad earnings news has been factored completely into the cheaper prices of many stocks.",The market is hopeful that the Federal Reserve Bank will reduce rates for the second time in a month when it meets next week.,1,1
